adder | *nadrō | exp nǣdre | afb *n*æ*d*r*ō | ar *n*a*d*r*ō
bake | *bakăną | exp bacan | afb *b*æ*k*ă*n*ą | ar *b*a*k*ă*n*ą
ban | *banną | exp bannan | afb *b*æ*n*n*ą | ar *b*a*n*n*ą
bast | *bastą | exp bæst | afb *b*æ*s*t*ą | ar *b*a*s*t*ą
bath | *baθą | exp bæþ | afb *b*æ*θ*ą | ar *b*a*θ*ą
belly | *balgiz | exp bielġ | afb *b*æ*l*ʤ*i | ar *b*a*l*ʤ*i
brand | *brandăz | exp brand | afb *b*r*æ*n*d | ar *b*r*a*n*d
comb | *kambăz | exp camb | afb *k*æ*m*b | ar *k*a*m*b
craft | *kraftiz | exp cræft | afb *k*r*æ*f*t*i | ar *k*r*a*f*t*i
dale | *dalăz | exp dæl | afb *d*æ*l | ar *d*a*l
day | *dagăz | exp dæġ | afb *d*æ*g | ar *d*a*g
dew | *dawwō | exp dēaw | afb *d*æ*w*ō | ar *d*a*w*ō
drench | *dranką | exp drenċ | afb *d*r*æ*n*k*ą | ar *d*r*a*n*k*ą
fare | *farăną | exp fær | afb *f*æ*r*ă*n*ą | ar *f*a*r*ă*n*ą
fast | *fastēną | exp fæst | afb *f*æ*s*t*ē*n*ą | ar *f*a*s*t*ē*n*ą
father | *fadēr | exp fæder | afb *f*æ*d*ē*r | ar *f*a*d*ē*r
flask | *flaskō | exp flasce | afb *f*l*æ*s*k*ō | ar *f*l*a*s*k*ō
gang | *gangăz | exp gangan | afb *g*æ*n*g | ar *g*a*n*g
goose | *gansz | exp gōs | afb *g*æ*n*s | ar *g*a*n*s
grass | *grasą | exp græs | afb *g*r*æ*s*ą | ar *g*r*a*s*ą
grave | *grabăną | exp græf | afb *g*r*æ*b*ă*n*ą | ar *g*r*a*b*ă*n*ą
guest | *gastiz | exp appear | afb *g*æ*s*t*i | ar *g*a*s*t*i
hail | *xaglą | exp hæġl | afb *x*æ*g*l*ą | ar *x*a*g*l*ą
hammer | *xamarăz | exp hamor | afb *x*æ*m*æ*r | ar *x*a*m*a*r
hand | *xanduz | exp hand | afb *x*æ*n*d*u | ar *x*a*n*d*u
handle | *xandlōjăną | exp handle | afb *x*æ*n*d*l*ō*j*ă*n*ą | ar *x*a*n*d*l*ō*j*ă*n*ą
have | *xabēną | exp habban | afb *x*æ*b*ē*n*ą | ar *x*a*b*ē*n*ą
haw | *xagōn | exp haga | afb *x*æ*g*ō*n | ar *x*a*g*ō*n
hay | *xawwją | exp hīeġ | afb *x*æ*w*j*ą | ar *x*a*w*j*ą
hazel | *xaslăz | exp hæsl | afb *x*æ*s*l | ar *x*a*s*l
hedge | *xagjăz | exp heġġ | afb *x*æ*g*j | ar *x*a*g*j
hew | *xawwăną | exp hēawan | afb *x*æ*w*ă*n*ą | ar *x*a*w*ă*n*ą
lade | *laθōjăną | exp hladan | afb *l*æ*θ*ō*j*ă*n*ą | ar *l*a*θ*ō*j*ă*n*ą
land | *landą | exp land | afb *l*æ*n*d*ą | ar *l*a*n*d*ą
lap | *labbăz | exp læppa | afb *l*æ*b*b | ar *l*a*b*b
laugh | *lakăną | exp hlæhhan | afb *l*æ*k*ă*n*ą | ar *l*a*k*ă*n*ą
make | *makōjăną | exp macian | afb *m*æ*k*ō*j*ă*n*ą | ar *m*a*k*ō*j*ă*n*ą
man | *marīn | exp mann | afb *m*æ*r*ī*n | ar *m*a*r*ī*n
mast | *mastăz | exp mæst | afb *m*æ*s*t | ar *m*a*s*t
nail | *naglăz | exp næġl | afb *n*æ*g*l | ar *n*a*g*l
name | *namōn | exp nama | afb *n*æ*m*ō*n | ar *n*a*m*ō*n
nave | *nabō | exp nafu | afb *n*æ*b*ō | ar *n*a*b*ō
navel | *nablōn | exp nafola | afb *n*æ*b*l*ō*n | ar *n*a*b*l*ō*n
net | *natją | exp net | afb *n*æ*t*j*ą | ar *n*a*t*j*ą
nettle | *natilōn | exp netle | afb *n*æ*t*i*l*ō*n | ar *n*a*t*i*l*ō*n
nightmare | *marōn | exp mære | afb *m*æ*r*ō*n | ar *m*a*r*ō*n
nose | *nasō | exp nosu | afb *n*æ*s*ō | ar *n*a*s*ō
raven | *xrabnăz | exp hræfn | afb *x*r*æ*b*n | ar *x*r*a*b*n
rest | *rastō | exp ræst | afb *r*æ*s*t*ō | ar *r*a*s*t*ō
sake | *sakō | exp sacu | afb *s*æ*k*ō | ar *s*a*k*ō
sap | *sapōn | exp sæp | afb *s*æ*p*ō*n | ar *s*a*p*ō*n
send | *sandjăną | exp sendan | afb *s*æ*n*d*j*ă*n*ą | ar *s*a*n*d*j*ă*n*ą
set | *satjăną | exp settan | afb *s*æ*t*j*ă*n*ą | ar *s*a*t*j*ă*n*ą
shaft | *skaftą | exp sċeaft | afb *s*k*æ*f*t*ą | ar *s*k*a*f*t*ą
shame | *skamō | exp sċamu | afb *s*k*æ*m*ō | ar *s*k*a*m*ō
show | *skawōjăną | exp scēawian | afb *s*k*æ*w*ō*j*ă*n*ą | ar *s*k*a*w*ō*j*ă*n*ą
singe | *sangjăną | exp senġan | afb *s*æ*n*g*j*ă*n*ą | ar *s*a*n*g*j*ă*n*ą
span | *spannăną | exp spann | afb *s*p*æ*n*n*ă*n*ą | ar *s*p*a*n*n*ă*n*ą
span | *spannō | exp spann | afb *s*p*æ*n*n*ō | ar *s*p*a*n*n*ō
spare | *sparēną | exp spær | afb *s*p*æ*r*ē*n*ą | ar *s*p*a*r*ē*n*ą
staff | *stabiz | exp stæf | afb *s*t*æ*b*i | ar *s*t*a*b*i
stem | *stamnăz | exp stemn | afb *s*t*æ*m*n | ar *s*t*a*m*n
straw | *strawą | exp strēaw | afb *s*t*r*æ*w*ą | ar *s*t*r*a*w*ą
stretch | *strakkjăną | exp streċċan | afb *s*t*r*æ*k*k*j*ă*n*ą | ar *s*t*r*a*k*k*j*ă*n*ą
strew | *strawjăną | exp strewian | afb *s*t*r*æ*w*j*ă*n*ą | ar *s*t*r*a*w*j*ă*n*ą
string | *strangiz | exp strenġ | afb *s*t*r*æ*n*ʤ*i | ar *s*t*r*a*n*ʤ*i
swan | *swanăz | exp swan | afb *s*w*æ*n | ar *s*w*a*n
tap | *tappōn | exp tæppa | afb *t*æ*p*p*ō*n | ar *t*a*p*p*ō*n
thanks | *θankăz | exp þancas | afb *θ*æ*n*k | ar *θ*a*n*k
thatch | *θaką | exp þæc | afb *θ*æ*k*ą | ar *θ*a*k*ą
think | *θankăz | exp þenċan | afb *θ*æ*n*k | ar *θ*a*n*k
tongs | *tangō | exp tange | afb *t*æ*n*g*ō | ar *t*a*n*g*ō
wade | *wadăną | exp wadan | afb *w*æ*d*ă*n*ą | ar *w*a*d*ă*n*ą
wain | *wagnăz | exp wæġn | afb *w*æ*g*n | ar *w*a*g*n
wake | *wakēną | exp wacan | afb *w*æ*ʧ*ē*n*ą | ar *w*a*ʧ*ē*n*ą
wash | *waskăną | exp wasċan | afb *w*æ*s*k*ă*n*ą | ar *w*a*s*k*ă*n*ą
wasp | *wabsăz | exp wæsp | afb *w*æ*b*s | ar *w*a*b*s
water | *watną | exp wæter | afb *w*æ*t*n*ą | ar *w*a*t*n*ą
whale | *walăz | exp hwæl | afb *w*æ*l | ar *w*a*l
