lexical_item	selected_input	old_deleting_rule	new_deleting_rule	form_before_new_rule	form_after_new_rule	before_checkpoint_bin	after_checkpoint_bin	phase0_proposed_process	adjudicated_process_matches
beard	*bárdaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*á*r*d*a*z	*b*á*r*d*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
beaver	*bébruz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*é*b*r*u*z	*b*é*b*r*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
belly	*bálgiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*á*l*g*i*z	*b*á*l*g*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
birth	*búrdiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*ú*r*d*i*z	*b*ú*r*d*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
book	*bōkz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC096 RootNounNomZLoss	*b*ō*k*z	*b*ō*k	old_english_sandbox_after_rhotacism.bin	old_english_sandbox_after_root_noun_nom_z_loss.bin	later_northern_final_z_loss	yes; Phase 0 proposed later_northern, superseded by Dossier A (root-noun nominative)
bosom	*bōsmaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*ō*s*m*a*z	*b*ō*s*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
bottom	*búttmaz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*ó*t*t*m*a*z	*b*ó*t*t*m*a	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
bough	*bōguz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*ō*g*u*z	*b*ō*g*u	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
breeches	*brōkiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*r*ō*k*i*z	*b*r*ō*k*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
bride	*brūdiz	SC020 EAFFinalZDeletion (unconditional _ .#.)	SC020 EAFFinalZDeletion	*b*r*ū*d*i*z	*b*r*ū*d*i	old_english_sandbox_after_pnwgmc_final_long_o_raising.bin	old_english_sandbox_after_eaf_final_z_deletion.bin	early_unstressed_final_z_loss	yes
