row_id	lexical_item	counterpart	selected_input	form_before_sc020	form_after_sc020	final_z_syllable	stress_status	monosyllabic_or_polysyllabic	morphological_category	proposed_historical_process	historical_stage	source_evidence	confidence	notes
1	beard	beard	*bárdaz	bárdaz	bárda	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
2	beaver	befer	*bébruz	bébruz	bébru	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
3	belly	bielġ	*bálgiz	bálgiz	bálgi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
4	birth	byrd	*búrdiz	búrdiz	búrdi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
5	book	bōc	*bōkz	bōkz	bōk	kz	stressed (root is the only syllable)	monosyllabic	monosyllabic lexical root + *z	later_northern_final_z_loss	Northern West Germanic / Ingvaeonic (proposed)	Crist2002 §§6-7 (Ingvaeonic/secondary); cf. *wīz,*miz analogues	B	stressed monosyllabic lexical word; *z directly on stressed root; candidate for later/northern deletion distinct from early unstressed-ending loss
6	bosom	bōsm	*bōsmaz	bōsmaz	bōsma	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
7	bottom	botm	*búttmaz	bóttmaz	bóttma	az	unstressed ending (stress on root)	polysyllabic	nom.sg. masc. a-stem (*-az)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
8	bough	bōg	*bōguz	bōguz	bōgu	uz	unstressed ending (stress on root)	polysyllabic	u-stem nom.sg. (*-uz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
9	breeches	brēċ	*brōkiz	brōkiz	brōki	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
10	bride	brȳd	*brūdiz	brūdiz	brūdi	iz	unstressed ending (stress on root)	polysyllabic	i-stem nom.sg. (*-iz)	early_unstressed_final_z_loss	Proto-West Germanic (proposed)	Crist2002 §5; Campbell p.166; Hogg p.37	A	polysyllabic inflectional ending; root stressed, *z-bearing ending unstressed; matches pan-WGmc unstressed final-*z loss
