# GENERATED FILE — DO NOT EDIT.
# Source: registry/sc_registry.tsv + registry/sc_inventory_notes.tsv (human) joined with Germanic/fsts/germanic.txt and the coverage census (machine)
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
#
# rule_source_anchor is deliberately a STABLE anchor with no line number:
# inserting lines above a definition must not dirty any committed file.
# Run tools/executable_facts.py NAME for the current line.
#
# firing_count/firing_lexemes are the CURRENT corpus firing population
# (machine evidence). illustrative_lexemes are examples a human chose
# (editorial). The two are never interchangeable.
change_id	trace_stage	rule_source_path	rule_source_anchor	foma_definition_raw	plain_description_draft	appears_in_compact_trace	firing_count	firing_lexemes	illustrative_lexemes	literature_status	order_sensitivity_status	notes	review_note	needs_human_review
SC001	Proto-Germanic consonant inheritance	Germanic/fsts/germanic.txt	define EnglishProtoInput	define EnglishProtoInput pgrmWord;	Proto Input	no	0			not_started	not_started	sandbox stage ProtoInput applies EnglishProtoInput; support stage rather than a reader-facing sound-change label in the compact trace	Input handoff stage feeding the cascade, not a historical sound change entry.	no
SC002	Proto-Germanic consonant inheritance	Germanic/fsts/germanic.txt	define PGmcGmSimplification	define PGmcGmSimplification [{*g} -> 0 || _ {*m}];	Gm Simplification	yes	2	dream, team		not_started	not_started	sandbox stage GmSimplification applies PGmcGmSimplification		no
SC003	West Germanic	Germanic/fsts/germanic.txt	define EAFRhotacism	define EAFRhotacism [ {*z} -> {*r} || EnglishStarVocalic _ ? ];	Rhotacism	yes	7	berry, deer, hoard, learn, meed, learn (iptv.2sg), learn (3sg)		not_started	not_started	sandbox stage Rhotacism applies EAFRhotacism	West Germanic rhotacism (R/T vol.2 §3.3.1 p.98; Hogg p.37; Crist2002 §6: parallel WGmc/NGmc innovation, non-uniform). Medial *z>*r; final *-z deleted (SC020), never rhotacized. Identifier EAFRhotacism retained as stable impl name; display stage is WGmc, not PGmc.	no
SC004	Early Anglo-Frisian	Germanic/fsts/germanic.txt	define EAFAiMonophthongization	define EAFAiMonophthongization [ {*ái} -> {*ā} ];	EAF Ai Monophthongization	yes	23	bone, deal, dough, flesh, ghost, heal, heath, home, last, lead, loam, loath, mean, one, rope, sea, sheath, snow, soul, spread, stone, toe, token		not_started	not_started	Split from the former bundled PWGmcAiMonophthongization; stressed/root *ái → *ā only (Early Anglo-Frisian / North Sea Germanic, later, areally diffused; Versloot 2017). Unstressed *ai is the separate SC014. Diagnostic stressed applications include loam *láimą (stressed by its PROTOFORM) and roe *ráixōn (unattested); for the current firing population see the generated firing census. Carries the SC036 soul boundary. Former identifier PWGmcAiMonophthongization retained as a documented compatibility alias.		no
SC005	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcAToUBeforeM	define PNWGmcAToUBeforeM [ {*a} -> {*u} || EnglishStarVocalic EnglishStarConsonant+ _ {*m} ({*i})? ({*z})? .#. ];	NWGmc A To U Before M	yes	1	shoulder		not_started	not_started		NWGmc-labeled rule remains inside the PWGmcChanges pipeline bundle; preserve bundle order but flag the historical label split.	yes
SC006	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcEarlyIApocope	define PWGmcEarlyIApocope [ {*i} -> 0 || PGmcStarStressedVowel PGmcStarConsonant+ PGmcStarVocalic PGmcStarConsonant+ _ .#., {*i} -> 0 || PGmcStarStressedVowel PGmcStarConsonant+ PGmcStarVocalic PGmcStarConsonant+ _ {*z} .#. ];	PWGmc Early I Apocope	yes	9	have, live, shoulder, thousand, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (3sg)		not_started	not_started			no
SC007	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcFinalOrLowering	define PWGmcFinalOrLowering [ {*ō} -> {*a} || _ {*r} .#. ];	PWGmc Final Or Lowering	yes	2	four, water		not_started	not_started			no
SC008	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcCoronalWAssimilation	define PWGmcCoronalWAssimilation [ {*d} -> {*w} || _ {*w}, {*z} -> {*w} || _ {*w} ];	PWGmc Coronal W Assimilation	yes	2	four, you		not_started	not_started			no
SC009	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcIjContraction	define PWGmcIjContraction [ {*i} {*j} {*ō} -> {*iu} || _ EnglishStarConsonant, {*í} {*j} {*ō} -> {*íu} || _ EnglishStarConsonant ];	PWGmc Ij Contraction	yes	1	friend		not_started	not_started			no
SC010	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcJGemination	define PWGmcJGemination [ {*p} -> {*p} {*p} || EnglishStarShortVowel _ {*j}, {*b} -> {*b} {*b} || EnglishStarShortVowel _ {*j}, {*t} -> {*t} {*t} || EnglishStarShortVowel _ {*j}, {*d} -> {*d} {*d} || EnglishStarShortVowel _ {*j}, {*k} -> {*k} {*k} || EnglishStarShortVowel _ {*j}, {*g} -> {*g} {*g} || EnglishStarShortVowel _ {*j}, {*f} -> {*f} {*f} || EnglishStarShortVowel _ {*j}, {*s} -> {*s} {*s} || EnglishStarShortVowel _ {*j}, {*m} -> {*m} {*m} || EnglishStarShortVowel _ {*j}, {*n} -> {*n} {*n} || EnglishStarShortVowel _ {*j}, {*l} -> {*l} {*l} || EnglishStarShortVowel _ {*j}, {*ŋ} -> {*ŋ} {*ŋ} || EnglishStarShortVowel _ {*j}, {*x} -> {*x} {*x} || EnglishStarShortVowel _ {*j} ];	PWGmc J Gemination	yes	8	hedge, laugh, lung, net, set, sit, will		not_started	not_started			no
