# GENERATED FILE — DO NOT EDIT.
# Source: registry/reader_chapters.tsv + registry/reader_files.tsv (editorial) + registry/sc_registry.tsv + oe_pipeline (cascade positions)
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
# Version 1 book manifest: reader-facing files in presentation order.
# File order inside a chapter is DERIVED from the minimum executable
# cascade position of the SCs each file contains; never edit order here.
# The book builder (Germanic/tools/build_reader_book.py) consumes this
# manifest and contains no file list of its own.
reader_order	chapter_id	chapter_title	reader_file	sc_ids	min_cascade_position
1	1	From Proto-Germanic to Proto-Northwest Germanic	103-pgmc-nasal-loss-before-x.md	SC103	1
2	2	From Proto-Northwest Germanic to Proto-West Germanic	096-root-noun-nominative-z-loss.md	SC096	2
3	2	From Proto-Northwest Germanic to Proto-West Germanic	014-015-opening-vowel-prelude.md	SC014;SC015	3
4	2	From Proto-Northwest Germanic to Proto-West Germanic	005-unstressed-a-raising-before-final-m.md	SC005	4
5	2	From Proto-Northwest Germanic to Proto-West Germanic	024-long-e-lowering.md	SC024	5
6	2	From Proto-Northwest Germanic to Proto-West Germanic	006-early-i-apocope.md	SC006	6
7	2	From Proto-Northwest Germanic to Proto-West Germanic	007-final-o-lowering-before-r.md	SC007	7
8	2	From Proto-Northwest Germanic to Proto-West Germanic	008-coronal-w-assimilation.md	SC008	8
9	2	From Proto-Northwest Germanic to Proto-West Germanic	009-ij-contraction-in-friend.md	SC009	9
10	2	From Proto-Northwest Germanic to Proto-West Germanic	010-west-germanic-j-gemination.md	SC010	10
11	2	From Proto-Northwest Germanic to Proto-West Germanic	011-syllabic-j-after-final-vowel-loss.md	SC011	11
12	2	From Proto-Northwest Germanic to Proto-West Germanic	028-preconsonantal-x-loss.md	SC028	12
13	2	From Proto-Northwest Germanic to Proto-West Germanic	012-lth-voicing.md	SC012	13
14	2	From Proto-Northwest Germanic to Proto-West Germanic	013-dental-hardening.md	SC013	14
15	2	From Proto-Northwest Germanic to Proto-West Germanic	017-nwgmc-u-lowering.md	SC017	16
16	2	From Proto-Northwest Germanic to Proto-West Germanic	018-stressed-monosyllable-o-raising.md	SC018	17
17	2	From Proto-Northwest Germanic to Proto-West Germanic	019-nwgmc-final-long-o-raising.md	SC019	18
18	3	From Proto-West Germanic to Anglo-Frisian	020-wgmc-final-z-deletion.md	SC020	19
19	3	From Proto-West Germanic to Anglo-Frisian	098-early-apocope-in-unstressed-words.md	SC098	20
20	3	From Proto-West Germanic to Anglo-Frisian	097-monosyllabic-final-z-loss.md	SC097	21
21	3	From Proto-West Germanic to Anglo-Frisian	003-west-germanic-rhotacism.md	SC003	22
22	3	From Proto-West Germanic to Anglo-Frisian	022-mn-dissimilation.md	SC022	23
23	3	From Proto-West Germanic to Anglo-Frisian	023-n-stem-n-loss.md	SC023	24
24	3	From Proto-West Germanic to Anglo-Frisian	026-027-nasal-spirant-changes.md	SC026;SC027	25
25	3	From Proto-West Germanic to Anglo-Frisian	102-hiatus-w-insertion.md	SC102	27
26	3	From Proto-West Germanic to Anglo-Frisian	025-long-a-nasal-rounding.md	SC025	28
27	3	From Proto-West Germanic to Anglo-Frisian	104-nasalized-low-vowel-rounding.md	SC104	29
28	3	From Proto-West Germanic to Anglo-Frisian	101-long-a-fronting.md	SC101	30
29	3	From Proto-West Germanic to Anglo-Frisian	004-pwgmc-ai-monophthongization.md	SC004	31
30	4	From Anglo-Frisian to Old English	029-030-awj-glide-and-au-fronting.md	SC029;SC030	32
31	4	From Anglo-Frisian to Old English	033-long-eow-diphthong.md	SC033	34
32	4	From Anglo-Frisian to Old English	031-ww-simplification.md	SC031	35
33	4	From Anglo-Frisian to Old English	032-diphthong-leveling.md	SC032	36
34	4	From Anglo-Frisian to Old English	034-long-eaw-diphthong.md	SC034	37
35	4	From Anglo-Frisian to Old English	035-037-prefix-and-compound-adjustments.md	SC035;SC036;SC037	38
36	4	From Anglo-Frisian to Old English	039-040-medial-unstressed-vowel-changes.md	SC039;SC040	42
37	4	From Anglo-Frisian to Old English	041-final-bare-a-loss.md	SC041	43
38	4	From Anglo-Frisian to Old English	042-surviving-bimoric-o-unrounding.md	SC042	44
39	4	From Anglo-Frisian to Old English	043-anglo-frisian-brightening.md	SC043	45
