# sc_inventory_notes.tsv — SOURCE (hand-edited).
#
# HUMAN JUDGEMENTS ONLY. Everything in this file is something a person
# decided: how to describe a change in plain words, how order-sensitive it
# is, which examples are worth showing a reader, what the literature says,
# and whether a human still needs to look at it.
#
# Mechanically derivable facts are NOT kept here and must never be added:
#   * the Foma definition text      -> Germanic/fsts/germanic.txt
#   * where a rule is written       -> tools/executable_facts.py
#   * source line numbers           -> computed for display, never stored
#   * executable order/position     -> cascade_baseline/executable_model.tsv
#   * whether/how often a rule fires-> cascade_baseline/rule_coverage_census.tsv
#   * the lexemes a rule fires on   -> the same census
# Copying any of those into this file makes a second authority that goes
# stale silently. tests/test_inventory_authority.py fails if one appears.
#
# illustrative_lexemes is EDITORIAL: examples a human chose because they
# explain the change well. It is NOT a claim about the current corpus. The
# complete live firing population is the generated firing_lexemes column of
# registry/sc_inventory_annotations.tsv.
#
# Joined with sc_registry.tsv, the executable model and the coverage census
# by tools/generate_registry_views.py. Keyed by change_id.
change_id	plain_description_draft	order_sensitivity_status	illustrative_lexemes	notes	review_note	needs_human_review
SC001	Proto Input	not_started		sandbox stage ProtoInput applies EnglishProtoInput; support stage rather than a reader-facing sound-change label in the compact trace	Input handoff stage feeding the cascade, not a historical sound change entry.	no
SC002	Gm Simplification	not_started		sandbox stage GmSimplification applies PGmcGmSimplification		no
SC003	Rhotacism	not_started		sandbox stage Rhotacism applies EAFRhotacism	West Germanic rhotacism (R/T vol.2 §3.3.1 p.98; Hogg p.37; Crist2002 §6: parallel WGmc/NGmc innovation, non-uniform). Medial *z>*r; final *-z deleted (SC020), never rhotacized. Identifier EAFRhotacism retained as stable impl name; display stage is WGmc, not PGmc.	no
SC004	EAF Ai Monophthongization	not_started		Split from the former bundled PWGmcAiMonophthongization; stressed/root *ái → *ā only (Early Anglo-Frisian / North Sea Germanic, later, areally diffused; Versloot 2017). Unstressed *ai is the separate SC014. Diagnostic stressed applications include loam *láimą (stressed by its PROTOFORM) and roe *ráixōn (unattested); for the current firing population see the generated firing census. Carries the SC036 soul boundary. Former identifier PWGmcAiMonophthongization retained as a documented compatibility alias.		no
SC005	NWGmc A To U Before M	not_started			NWGmc-labeled rule remains inside the PWGmcChanges pipeline bundle; preserve bundle order but flag the historical label split.	yes
SC006	PWGmc Early I Apocope	not_started				no
SC007	PWGmc Final Or Lowering	not_started				no
SC008	PWGmc Coronal W Assimilation	not_started				no
SC009	PWGmc Ij Contraction	not_started				no
SC010	PWGmc J Gemination	not_started				no
SC011	PWGmc Syllabic J	not_started				no
SC012	PWGmc L Th Voicing	not_started			Scope north_wgmc (confidence B): comparative evidence supports lþ>ld most clearly in northern West Germanic, not as an unqualified pan-PWGmc change (R/T pp.170-171; Campbell §414). Identifier EAFLThVoicing retained as stable impl name.	no
SC013	PWGmc Dental Hardening	not_started				no
SC014	NWGmc Unstressed Ai Monophthongization	not_started		Unstressed *ai → *ē in final AND nonfinal environments (Ringe-Taylor's rule is unstressed *ai > *ē, not merely word-final; Proto-Northwest Germanic, early; R/T pp.37-41, §6.1.5). Split out of the former bundled SC004; executes at the head of EarlyEnglishLineChanges (former SC004 slot). Diagnostic witnesses by PROTOFORM: span (*spánnai dat.sg → spanne) and meed (*mízdai → meorde). Former no-op {*ăi}->{*ē} removed.		no
SC015	NWGmc I Lowering	not_started				no
