sc_id	fst_identifier	implemented_transformation	current_reader_name	current_book_chapter	current_hist_stage	current_hist_scope	current_confidence	staging_chronology_problem	reader_facing_file	change_report_full	change_report_review	literature_dossier	book_dossier	chronology_card
SC003	PGmcRhotacism	define PGmcRhotacism [ {*z} -> {*r} || EnglishStarVocalic _ ? ];	Rhotacism	3	wgmc	pan_wgmc	A	Internal rule name PGmcRhotacism is historically inaccurate; historically post-PWGmc WGmc rhotacism per Ringe-Taylor, Crist, Hogg; name is a legacy identifier only	Germanic/docs/sound_changes/reader_facing/003-west-germanic-rhotacism.md	Germanic/docs/sound_changes/change_reports/full/003-pgmc-rhotacism.md		Germanic/docs/sound_changes/literature_dossiers/003-pgmc-rhotacism.dossier.md	Germanic/docs/sound_changes/book_dossiers/003-pgmc-rhotacism.book-dossier.md	
SC004	PWGmcAiMonophthongization	define PWGmcAiMonophthongization [ [{*ai} -> {*ē} || _ .#.] .o. [{*ai} -> {*ā}] .o. [{*ái} -> {*ā}] ];	PWGmc Ai Monophthongization	2	pnwgmc_pwgmc_transition	pan_wgmc	B	Ringe-Taylor place as post-PNWGmc shared NWGmc/WGmc; inventory labels as PWGmc; transition-period status is analysis-dependent	Germanic/docs/sound_changes/reader_facing/004-pwgmc-ai-monophthongization.md	Germanic/docs/sound_changes/change_reports/full/004-pwgmc-ai-monophthongization.md		Germanic/docs/sound_changes/literature_dossiers/004-pwgmc-ai-monophthongization.dossier.md	Germanic/docs/sound_changes/book_dossiers/004-pwgmc-ai-monophthongization.book-dossier.md	
SC005	NWGmcAToUBeforeM	define NWGmcAToUBeforeM [ {*a} -> {*u} || EnglishStarVocalic EnglishStarConsonant+ _ {*m} ({*i})? ({*z})? .#. ];	NWGmc A To U Before M	2	nwgmc	pan_nwgmc	A	none	Germanic/docs/sound_changes/reader_facing/005-unstressed-a-raising-before-final-m.md	Germanic/docs/sound_changes/change_reports/full/005-nwgmc-a-to-u-before-m.md		Germanic/docs/sound_changes/literature_dossiers/005-nwgmc-a-to-u-before-m.dossier.md	Germanic/docs/sound_changes/book_dossiers/005-nwgmc-a-to-u-before-m.book-dossier.md	
SC006	PWGmcEarlyIApocope	define PWGmcEarlyIApocope [ {*i} -> 0 || PGmcStarStressedVowel PGmcStarConsonant+ PGmcStarVocalic PGmcStarConsonant+ _ .#., {*i} -> 0 || PGmcStarStressedVowel PGmcStarConsonant+ PGmcStarVocalic PGmcStarConsonant+ _ {*z} .#. ];	PWGmc Early I Apocope	2	pwgmc	pan_wgmc	A	none	Germanic/docs/sound_changes/reader_facing/006-early-i-apocope.md	Germanic/docs/sound_changes/change_reports/full/006-pwgmc-early-i-apocope.md		Germanic/docs/sound_changes/literature_dossiers/006-pwgmc-early-i-apocope.dossier.md	Germanic/docs/sound_changes/book_dossiers/006-pwgmc-early-i-apocope.book-dossier.md	
SC007	PWGmcFinalOrLowering	define PWGmcFinalOrLowering [ {*ō} -> {*a} || _ {*r} .#. ];	PWGmc Final Or Lowering	2	pwgmc	pan_wgmc	A	none	Germanic/docs/sound_changes/reader_facing/007-final-o-lowering-before-r.md	Germanic/docs/sound_changes/change_reports/full/007-pwgmc-final-or-lowering.md		Germanic/docs/sound_changes/literature_dossiers/007-pwgmc-final-or-lowering.dossier.md	Germanic/docs/sound_changes/book_dossiers/007-pwgmc-final-or-lowering.book-dossier.md	
SC008	PWGmcCoronalWAssimilation	define PWGmcCoronalWAssimilation [ {*d} -> {*w} || _ {*w}, {*z} -> {*w} || _ {*w} ];	PWGmc Coronal W Assimilation	2	pwgmc	pan_wgmc	A	none	Germanic/docs/sound_changes/reader_facing/008-coronal-w-assimilation.md	Germanic/docs/sound_changes/change_reports/full/008-pwgmc-coronal-w-assimilation.md		Germanic/docs/sound_changes/literature_dossiers/008-pwgmc-coronal-w-assimilation.dossier.md	Germanic/docs/sound_changes/book_dossiers/008-pwgmc-coronal-w-assimilation.book-dossier.md	
SC009	PWGmcIjContraction	define PWGmcIjContraction [ {*i} {*j} {*ō} -> {*iu} || _ EnglishStarConsonant, # Stressed variant (stress preserved): {*í} {*j} {*ō} -> {*íu} || _ EnglishStarConsonant ];	PWGmc Ij Contraction	2	pwgmc	pan_wgmc	A	none	Germanic/docs/sound_changes/reader_facing/009-ij-contraction-in-friend.md	Germanic/docs/sound_changes/change_reports/full/009-pwgmc-ij-contraction.md		Germanic/docs/sound_changes/literature_dossiers/009-pwgmc-ij-contraction.dossier.md	Germanic/docs/sound_changes/book_dossiers/009-pwgmc-ij-contraction.book-dossier.md	
SC010	PWGmcJGemination	define PWGmcJGemination [ {*p} -> {*p} {*p} || EnglishStarShortVowel _ {*j}, {*b} -> {*b} {*b} || EnglishStarShortVowel _ {*j}, {*t} -> {*t} {*t} || EnglishStarShortVowel _ {*j}, {*d} -> {*d} {*d} || EnglishStarShortVowel _ {*j}, {*k} -> {*k} {*k} || EnglishStarShortVowel _ {*j}, {*g} -> {*g} {*g} || EnglishStarShortVowel _ {*j}, {*f} -> {*f} {*f} || EnglishStarShortVowel _ {*j}, {*s} -> {*s} {*s} || EnglishStarShortVowel _ {*j}, {*m} -> {*m} {*m} || EnglishStarShortVowel _ {*j}, {*n} -> {*n} {*n} || EnglishStarShortVowel _ {*j}, {*l} -> {*l} {*l} || EnglishStarShortVowel _ {*j}, {*ŋ} -> {*ŋ} {*ŋ} || EnglishStarShortVowel _ {*j}, {*x} -> {*x} {*x} || EnglishStarShortVowel _ {*j} ];	PWGmc J Gemination	2	pwgmc	pan_wgmc	A	none	Germanic/docs/sound_changes/reader_facing/010-west-germanic-j-gemination.md	Germanic/docs/sound_changes/change_reports/full/010-pwgmc-j-gemination.md		Germanic/docs/sound_changes/literature_dossiers/010-pwgmc-j-gemination.dossier.md	Germanic/docs/sound_changes/book_dossiers/010-pwgmc-j-gemination.book-dossier.md	
SC011	PWGmcSyllabicJ	define PWGmcSyllabicJ [ {*j} {*a} -> {*i} || EnglishStarShortVowel EnglishStarConsonant _ .#., {*j} {*ą} -> {*i} || EnglishStarShortVowel EnglishStarConsonant _ .#. ];	PWGmc Syllabic J	2	pwgmc	pan_wgmc	A	none	Germanic/docs/sound_changes/reader_facing/011-syllabic-j-after-final-vowel-loss.md	Germanic/docs/sound_changes/change_reports/full/011-pwgmc-syllabic-j.md		Germanic/docs/sound_changes/literature_dossiers/011-pwgmc-syllabic-j.dossier.md	Germanic/docs/sound_changes/book_dossiers/011-pwgmc-syllabic-j.book-dossier.md	
SC012	PWGmcLThVoicing	define PWGmcLThVoicing [ {*θ} -> {*d} || {*l} _ ];	PWGmc L Th Voicing	2	pwgmc	pan_wgmc	A	none	Germanic/docs/sound_changes/reader_facing/012-lth-voicing.md	Germanic/docs/sound_changes/change_reports/full/012-pwgmc-l-th-voicing.md		Germanic/docs/sound_changes/literature_dossiers/012-pwgmc-l-th-voicing.dossier.md	Germanic/docs/sound_changes/book_dossiers/012-pwgmc-l-th-voicing.book-dossier.md	
