concept	proto	proto_norm	counterpart	accepted	output_count	match	outputs
begin	*bigínnaną	bigínnaną	beġinnan	1	1	1	beġinnan
blood	*blōdą	blōdą	blōd	1	1	1	blōd
brand	*brándas	brándas	brandes	1	1	1	brandes
bread	*bráudą	bráudą	brēad	1	1	1	brēad
break	*brékaną	brékaną	brecan	1	1	1	brecan
burst	*bréstaną	bréstaną	berstan	1	1	1	berstan
breast	*bréustą	bréustą	brēost	1	1	1	brēost
bring	*brínganą	brínganą	bringan	1	1	1	bringan
breeches	*brōkiz	brōkiz	brēċ	1	1	1	brēċ
bride	*brūdiz	brūdiz	brȳd	1	1	1	brȳd
brook	*brūkaną	brūkaną	brūcan	1	1	1	brūcan
bone	*báiną	báiną	bān	1	1	1	bān
bake	*bákaną	bákaną	bacan	1	1	1	bacan
belly	*bálgiz	bálgiz	bielġ	1	1	1	bielġ
ban	*bánnas	bánnas	bannes	1	1	1	bannes
beard	*bárdaz	bárdaz	beard	1	1	1	beard
bast	*bástą	bástą	bæst	1	1	1	bæst
bow	*báug	báug	bēag	1	1	1	bēag
bow	*báugijaną	báugijaną	bīeġan	1	1	1	bīeġan
berry	*bázjas	bázjas	berġes	1	1	1	berġes
bath	*báθą	báθą	bæþ	1	1	1	bæþ
beaver	*bébruz	bébruz	befer	1	1	1	befer
barrow	*bérgą	bérgą	beorg	1	1	1	beorg
bind	*bíndaną	bíndaną	bindan	1	1	1	bindan
bow	*búgô	búgô	boga	1	1	1	boga
buck	*búkkaz	búkkaz	bucc	1	1	0	bocc
birth	*búrdiz	búrdiz	byrd	1	1	1	byrd
board	*búrdą	búrdą	bord	1	1	1	bord
bore (iptv.2sg)	*búrô	búrô	bora	1	1	1	bora
bore	*búrōjaną	búrōjaną	borian	1	1	1	borian
bore (3sg)	*búrōθi	búrōθi	boraþ	1	1	1	boraþ
bottom	*búttmaz	búttmaz	botm	1	1	1	botm
both	*bō	bō	bū	1	1	1	bū
bough	*bōguz	bōguz	bōg	1	1	1	bōg
book	*bōkz	bōkz	bōc	1	1	1	bōc
beech	*bōkō	bōkō	bōc	1	1	1	bōc
bosom	*bōsmaz	bōsmaz	bōsm	1	1	1	bōsm
bower	*būrą	būrą	būr	1	1	1	būr
bier	*bḗrō	bḗrō	bǣr	1	1	1	bǣr
drench	*dránkiz	dránkiz	drenċ	1	1	1	drenċ
dream	*dráugmaz	dráugmaz	drēam	1	1	1	drēam
drink	*drínkaną	drínkaną	drincan	1	1	1	drincan
drive	*drḯbaną	drḯbaną	drīfan	1	1	1	drīfan
day	*dágaz	dágaz	dæġ	1	1	1	dæġ
dough	*dáigaz	dáigaz	dāg	1	1	1	dāg
deal	*dáiliz	dáiliz	dǣl	1	1	1	dǣl
dale	*dálaz	dálaz	dæl	1	1	1	dæl
dew	*dáwwō	dáwwō	dēaw	1	1	1	dēaw
dill	*déliz	déliz	dile	1	1	1	dile
deer	*déuzą	déuzą	dēor	1	1	1	dēor
door	*dúrą	dúrą	dor	1	1	1	dor
do	*dōną	dōną	dōn	1	1	1	dōn
deed	*dḗdiz	dḗdiz	dǣd	1	1	1	dǣd
flesh	*fláiskiz	fláiskiz	flǣsċ	1	1	1	flǣsċ
flask	*fláskōn	fláskōn	flasce	1	1	1	flasce
flea	*fláuxz	fláuxz	flēah	1	1	1	flēah
flax	*fláxsą	fláxsą	fleax	1	1	1	fleax
fly	*fléuganą	fléuganą	flēogan	1	1	1	flēogan
flee	*fléuxaną	fléuxaną	flēon	1	1	1	flēon
flood	*flōduz	flōduz	flōd	1	1	1	flōd
freeze	*fréusaną	fréusaną	frēosan	1	1	1	frēosan
friend	*fríjōndz	fríjōndz	frēond	1	1	1	frēond
frost	*frústą	frústą	forst	1	1	1	forst
father	*fádēr	fádēr	fæder	1	1	1	fæder
fall	*fállaną	fállaną	feallan	1	1	1	feallan
fold	*fálθaną	fálθaną	fealdan	1	1	1	fealdan
fare	*fáraną	fáraną	faran	1	1	1	faran
fern	*fárnaz	fárnaz	fearn	1	1	1	fearn
fast	*fástijaną	fástijaną	festan	1	1	1	festan
four	*fédwōr	fédwōr	fēower	1	1	1	fēower
fell	*féllą	féllą	fell	1	1	1	fell
field	*félθuz	félθuz	feld	1	1	1	feld
fight	*féxtaną	féxtaną	feohtan	1	1	1	feohtan
fee	*féxu	féxu	feoh	1	1	1	feoh
finger	*fíngraz	fíngraz	finger	1	1	1	finger
fish	*fískaz	fískaz	fisċ	1	1	1	fisċ
fowl	*fúglaz	fúglaz	fugol	1	1	0	fogol
follow	*fúlgijaną	fúlgijaną	fylġan	1	1	1	fylġan
folk	*fúlką	fúlką	folc	1	1	1	folc
foal	*fúlô	fúlô	fola	1	1	1	fola
fist	*fúnxstiz	fúnxstiz	fȳst	1	1	1	fȳst
find	*fúnðanǭ	fúnðanǭ	fundene	1	1	1	fundene
furrow	*fúrx	fúrx	furh	1	1	1	furh
fright	*fúrxtīnaz	fúrxtīnaz	fyrhte	1	1	1	fyrhte
fox	*fúxsaz	fúxsaz	fox	1	1	1	fox
fodder	*fōdrą	fōdrą	fōdor	1	1	1	fōdor
fire	*fūri	fūri	fȳre	1	1	0	fȳr
believe	*galáubijaną	galáubijaną	ġelīefan	1	1	1	ġelīefan
grave	*grábaną	grábaną	grafan	1	1	1	grafan
grass	*grásą	grásą	græs	1	1	1	græs
ground	*grúnduz	grúnduz	grund	1	1	1	grund
gripe	*grḯpaną	grḯpaną	grīpan	1	1	1	grīpan
ghost	*gáistaz	gáistaz	gāst	1	1	1	gāst
gall	*gállô	gállô	ġealla	1	1	1	ġealla
gang	*gángaz	gángaz	gang	1	1	1	gang
goose	*gánsz	gánsz	gōs	1	1	1	gōs
yarn	*gárną	gárną	ġearn	1	1	1	ġearn
guest	*gástiz	gástiz	ġiest	1	1	1	ġiest
give	*gébaną	gébaną	ġiefan	1	1	1	ġiefan
gift	*géftiz	géftiz	ġift	1	1	1	ġift
god	*gúdą	gúdą	god	1	1	1	god
gold	*gúlθą	gúlθą	gold	1	1	1	gold
youth	*júgunθ	júgunθ	ġeoguþ	1	1	1	ġeoguþ
yoke	*júką	júką	ġeoc	1	1	1	ġeoc
year	*jḗrą	jḗrą	ġēar	1	1	1	ġēar
climb	*klímbaną	klímbaną	climban	1	1	1	climban
knead	*knédaną	knédaną	cnedan	1	1	1	cnedan
knee	*knéwą	knéwą	cnēow	1	1	1	cnēow
knight	*knéxtaz	knéxtaz	cniht	1	1	1	cniht
knob	*knúbbô	knúbbô	cnobba	1	1	1	cnobba
craft	*kráftaz	kráftaz	cræft	1	1	1	cræft
crop	*krúppaz	krúppaz	cropp	1	1	1	cropp
cud	*kwéðuz	kwéðuz	cwedu	1	1	1	cwedu
calf	*kálbaz	kálbaz	ċealf	1	1	1	ċealf
comb	*kámbaz	kámbaz	camb	1	1	1	camb
chew	*kéwwaną	kéwwaną	ċēowan	1	1	1	ċēowan
corn	*kúrną	kúrną	corn	1	1	1	corn
cow	*kūi	kūi	cȳ	1	1	1	cȳ
lead	*láidijaną	láidijaną	lǣdan	1	1	1	lǣdan
loam	*láimą	láimą	lām	1	1	1	lām
last	*láistijaną	láistijaną	lǣstan	1	1	1	lǣstan
loath	*láiθaz	láiθaz	lāþ	1	1	1	lāþ
land	*lándą	lándą	land	1	1	1	land
lap	*láppô	láppô	lappa	1	1	1	lappa
leaf	*láubą	láubą	lēaf	1	1	1	lēaf
lye	*láugō	láugō	lēag	1	1	1	lēag
leek	*láukaz	láukaz	lēac	1	1	1	lēac
forlorn	*léusaną	léusaną	lēosan	1	1	1	lēosan
light	*léuxtijaną	léuxtijaną	līehtan	1	1	1	līehtan
leather	*léθrą	léθrą	leþer	1	1	1	leþer
liver	*líbrō	líbrō	lifer	1	1	1	lifer
live	*líbēθi	líbēθi	lifeþ	1	1	1	lifeþ
lick (iptv.2sg)	*líkkô	líkkô	licca	1	1	1	licca
lick	*líkkōjaną	líkkōjaną	liccian	1	1	1	liccian
lick (3sg)	*líkkōθi	líkkōθi	liccaþ	1	1	1	liccaþ
linden	*líndō	líndō	lind	1	1	1	lind
learn (iptv.2sg)	*líznô	líznô	liorna	1	1	1	liorna
learn	*líznōjaną	líznōjaną	liornian	1	1	1	liornian
learn (3sg)	*líznōθi	líznōθi	liornaþ	1	1	1	liornaþ
lock	*lúkkaz	lúkkaz	locc	1	1	1	locc
lock	*lúką	lúką	loc	1	1	1	loc
lung	*lúnganjō	lúnganjō	lungen	1	1	1	lungen
lust	*lústuz	lústuz	lust	1	1	1	lust
louse	*lūsz	lūsz	lūs	1	1	1	lūs
let	*lḗtaną	lḗtaną	lǣtan	1	1	1	lǣtan
life	*lḯbą	lḯbą	līf	1	1	1	līf
lime	*lḯmą	lḯmą	līm	1	1	1	līm
line	*lḯnōn	lḯnōn	līne	1	1	1	līne
list	*lḯstōn	lḯstōn	līste	1	1	1	līste
mean	*máinijaną	máinijaną	mǣnan	1	1	1	mǣnan
make (iptv.2sg)	*mákô	mákô	maca	1	1	1	maca
make	*mákōjaną	mákōjaną	macian	1	1	1	macian
make (3sg)	*mákōθi	mákōθi	macaþ	1	1	1	macaþ
malt	*máltaz	máltaz	mealt	1	1	1	mealt
man	*mánnas	mánnas	mannes	1	1	1	mannes
march	*márkō	márkō	mearc	1	1	1	mearc
nightmare	*márōn	márōn	mare	1	1	1	mare
mast	*mástaz	mástaz	mæst	1	1	1	mæst
might	*máxtiz	máxtiz	miht	1	1	1	miht
milk	*mélukz	mélukz	meoloc	1	1	1	meoloc
meed	*mízdai	mízdai	meorde	1	1	1	meorde
mood	*mōdaz	mōdaz	mōd	1	1	1	mōd
mother	*mōdēr	mōdēr	mōder	1	1	1	mōder
meal	*mḗlą	mḗlą	mǣl	1	1	1	mǣl
month	*mḗnōθz	mḗnōθz	mōnaþ	1	1	1	mōnaþ
navel	*nábulô	nábulô	nafola	1	1	1	nafola
nave	*nábō	nábō	nafu	1	1	1	nafu
nail	*náglaz	náglaz	næġl	1	1	1	næġl
name	*námô	námô	nama	1	1	1	nama
nettle	*nátilōn	nátilōn	netle	1	1	1	netle
net	*nátją	nátją	nett	1	1	1	nett
need	*náudiz	náudiz	nīed	1	1	1	nīed
night	*náxti	náxti	niht	1	1	1	niht
nine	*nígun	nígun	nigon	1	1	1	nigon
nest	*nístą	nístą	nest	1	1	1	nest
nose	*núsō	núsō	nosu	1	1	1	nosu
adder	*nḗdrōn	nḗdrōn	nǣdre	1	1	1	nǣdre
needle	*nḗðlō	nḗðlō	nǣdl	1	1	1	nǣdl
rope	*ráipą	ráipą	rāp	1	1	1	rāp
rest	*rástōz	rástōz	ræste	1	1	1	ræste
reek	*ráukaz	ráukaz	rēac	1	1	1	rēac
rainbow	*régna-bùgô	régna-bùgô	reġnboga	1	1	1	reġnboga
rain	*régną	régną	reġn	1	1	1	reġn
rind	*ríndō	ríndō	rind	1	1	1	rind
run	*rínnaną	rínnaną	rinnan	1	1	1	rinnan
rye	*rúgiz	rúgiz	ryġe	1	1	1	ryġe
coat	*rúkkaz	rúkkaz	rocc	1	1	1	rocc
rust	*rústō	rústō	rust	1	1	0	rost
rood	*rōdō	rōdō	rōd	1	1	1	rōd
rudder	*rōθraz	rōθraz	rōþor	1	1	1	rōþor
room	*rūmą	rūmą	rūm	1	1	1	rūm
read	*rḗdaną	rḗdaną	rǣdan	1	1	1	rǣdan
ride	*rḯdaną	rḯdaną	rīdan	1	1	1	rīdan
shaft	*skáftą	skáftą	sċeaft	1	1	1	sċeaft
sheath	*skáiθiz	skáiθiz	sċēaþ	1	1	1	sċēaþ
shame	*skámō	skámō	sċamu	1	1	1	sċamu
shove	*skáub	skáub	sċēaf	1	1	1	sċēaf
show (iptv.2sg)	*skáwô	skáwô	sċēawa	1	1	1	sċēawa
show	*skáwōjaną	skáwōjaną	sċēawian	1	1	1	sċēawian
show (3sg)	*skáwōθi	skáwōθi	sċēawaþ	1	1	1	sċēawaþ
shield	*skélduz	skélduz	sċield	1	1	1	sċield
shear	*skéraną	skéraną	sċieran	1	1	1	sċieran
shilling	*skíllingaz	skíllingaz	sċilling	1	1	1	sċilling
shovel	*skúflō	skúflō	sċofl	1	1	1	sċofl
shoulder	*skúldramiz	skúldramiz	sċuldrum	1	1	1	sċuldrum
shower	*skūrō	skūrō	sċūr	1	1	1	sċūr
sheep	*skḗpą	skḗpą	sċēap	1	1	1	sċēap
shine	*skḯnaną	skḯnaną	sċīnan	1	1	1	sċīnan
slay	*sláxaną	sláxaną	slēan	1	1	1	slēan
sleep	*slḗpaną	slḗpaną	slǣpan	1	1	1	slǣpan
slime	*slḯmą	slḯmą	slīm	1	1	1	slīm
smear	*smérwijaną	smérwijaną	smierwan	1	1	1	smierwan
snow	*snáiwaz	snáiwaz	snāw	1	1	1	snāw
spread	*spráidijaną	spráidijaną	sprǣdan	1	1	1	sprǣdan
span	*spánnai	spánnai	spanne	1	1	1	spanne
span	*spánnaną	spánnaną	spannan	1	1	1	spannan
spar	*spárrô	spárrô	spearra	1	1	1	spearra
spare	*spárōjaną	spárōjaną	sparian	1	1	1	sparian
spindle	*spénnilō	spénnilō	spinl	1	1	1	spinl
spear	*spéru	spéru	speoru	1	1	1	speoru
spin	*spínnaną	spínnaną	spinnan	1	1	1	spinnan
spur	*spúrô	spúrô	spora	1	1	1	spora
spoon	*spḗnuz	spḗnuz	spōn	1	1	1	spōn
stretch	*strákkijaną	strákkijaną	streċċan	1	1	1	streċċan
string	*strángiz	strángiz	strenġ	1	1	1	strenġ
stream	*stráumaz	stráumaz	strēam	1	1	1	strēam
strew	*stráwjaną	stráwjaną	strīeġan	1	1	1	strīeġan
straw	*stráwą	stráwą	strēaw	1	1	1	strēaw
staff	*stábaz	stábaz	stæf	1	1	1	stæf
stone	*stáinaz	stáinaz	stān	1	1	1	stān
stem	*stámniz	stámniz	stefn	1	1	1	stefn
steal	*stélaną	stélaną	stelan	1	1	1	stelan
still	*stéllijaną	stéllijaną	stillan	1	1	1	stillan
starve	*stérbaną	stérbaną	steorfan	1	1	1	steorfan
stock	*stúkkaz	stúkkaz	stocc	1	1	1	stocc
stork	*stúrkaz	stúrkaz	storc	1	1	1	storc
storm	*stúrmaz	stúrmaz	storm	1	1	1	storm
start	*stúrtijaną	stúrtijaną	styrtan	1	1	1	styrtan
stud	*stōdą	stōdą	stōd	1	1	1	stōd
stool	*stōlaz	stōlaz	stōl	1	1	1	stōl
swallow	*swálwōn	swálwōn	swealwe	1	1	1	swealwe
swan	*swánas	swánas	swanes	1	1	1	swanes
swell	*swéllaną	swéllaną	swellan	1	1	1	swellan
sword	*swérdą	swérdą	sweord	1	1	1	sweord
sister	*swéstēr	swéstēr	swester	1	1	1	swester
swim	*swímmaną	swímmaną	swimman	1	1	1	swimman
swine	*swḯną	swḯną	swīn	1	1	1	swīn
soul	*sáiwalō	sáiwalō	sāwol	1	1	1	sāwol
sea	*sáiwiz	sáiwiz	sǣ	1	1	1	sǣ
sake	*sákō	sákō	sacu	1	1	1	sacu
salve	*sálbō	sálbō	sealf	1	1	1	sealf
salt	*sáltą	sáltą	sealt	1	1	1	sealt
send	*sándijaną	sándijaną	sendan	1	1	1	sendan
singe	*sángijaną	sángijaną	senġan	1	1	1	senġan
sap	*sápą	sápą	sæp	1	1	1	sæp
set	*sátjaną	sátjaną	settan	1	1	1	settan
seam	*sáumaz	sáumaz	sēam	1	1	1	sēam
seven	*sébun	sébun	seofon	1	1	1	seofon
sail	*séglą	séglą	seġl	1	1	1	seġl
sit	*sétjaną	sétjaną	sittan	1	1	1	sittan
six	*séxs	séxs	six	1	1	1	six
sieve	*síbi	síbi	sife	1	1	1	sife
sing	*síngwaną	síngwaną	singan	1	1	1	singan
summer	*súmaraz	súmaraz	sumer	1	1	1	sumer
sunder	*súndrōjaną	súndrōjaną	sundrian	1	1	1	sundrian
sun	*súnnōn	súnnōn	sunne	1	1	1	sunne
sorrow	*súrgō	súrgō	sorg	1	1	1	sorg
seek	*sōkijaną	sōkijaną	sēċan	1	1	1	sēċan
sup	*sūpaną	sūpaną	sūpan	1	1	1	sūpan
side	*sḯdōn	sḯdōn	sīde	1	1	1	sīde
tread	*trédaną	trédaną	tredan	1	1	1	tredan
trough	*trúgą	trúgą	trog	1	1	1	trog
token	*táikną	táikną	tācn	1	1	1	tācn
toe	*táixōn	táixōn	tā	1	1	1	tā
tongs	*tángō	tángō	tang	1	1	1	tang
tap	*táppô	táppô	tæppa	1	1	0	tappa
team	*táugmaz	táugmaz	tēam	1	1	1	tēam
ten	*téxun	téxun	tēon	1	1	1	tēon
tick	*tíkkô	tíkkô	ticca	1	1	1	ticca
timber	*tímbrą	tímbrą	timber	1	1	1	timber
tongue	*túngōn	túngōn	tunge	1	1	1	tunge
town	*tūną	tūną	tūn	1	1	1	tūn
tide	*tḯdiz	tḯdiz	tīd	1	1	1	tīd
wring	*wrínganą	wrínganą	wringan	1	1	1	wringan
wasp	*wábsaz	wábsaz	wæfs	1	1	1	wæfs
wade	*wádaną	wádaną	wadan	1	1	1	wadan
wain	*wágnaz	wágnaz	wæġn	1	1	1	wæġn
wake	*wákaną	wákaną	wacan	1	1	1	wacan
wield	*wáldaną	wáldaną	wealdan	1	1	1	wealdan
wold	*wálθuz	wálθuz	weald	1	1	1	weald
warp	*wárpą	wárpą	wearp	1	1	1	wearp
wart	*wártōn	wártōn	wearte	1	1	1	wearte
wash	*wáskaną	wáskaną	wascan	1	1	1	wascan
water	*wátōr	wátōr	wæter	1	1	1	wæter
wax	*wáxsaną	wáxsaną	weaxan	1	1	1	weaxan
wax	*wáxsą	wáxsą	weax	1	1	1	weax
weave	*wébaną	wébaną	wefan	1	1	1	wefan
weather	*wédrą	wédrą	weder	1	1	1	weder
way	*wégaz	wégaz	weġ	1	1	1	weġ
will	*wéljaną	wéljaną	willan	1	1	1	willan
will	*wéljô	wéljô	willa	1	1	1	willa
warp	*wérpaną	wérpaną	weorpan	1	1	1	weorpan
