baʊər	*būrą
biːvər	*bebruz
biːʧ	*bōkō
blʌd	*blōdą
brɛd	*braudą
brɛst	*brustz
bærəʊ	*bergą
bɑːθ	*baθą
bɔtəm	*budmaz
bɛlɪ	*balgiz
bɛrɪ	*bazją
bɜːst	*brestaną
bɜːθ	*burdiz
bɪliːv	*laubjaną
bɪəd	*bardaz
bɪər	*barwōn
bɪɡɪn	*gennaną
bʊzəm	*bōsmaz
bʌk	*bukkaz
djuː	*dawwō
draɪv	*drībaną
drɛnʧ	*dranką
drɪŋk	*drenkaną
dɪər	*deuzą
dʌv	*dūbōn
faɪər	*fuwer
faʊl	*fuglaz
flæks	*flaxsą
flɑːsk	*flaskō
flɛʃ	*flaiskaz
flʌd	*flōduz
friːz	*freusaną
fɑːst	*fastēną
fɑːðər	*fadēr
fɔdər	*fōdrą
fɔks	*fuxsaz
fɔləʊ	*fulgēną
fəlɔːn	*leusaną
fɛl	*fellą
fɛər	*faraną
fɜːn	*farnan
fɪŋɡər	*fengraz
fɪʃ	*fiskaz
fʌrəʊ	*furxō
heɪzḷ	*xaslaz
hæmər	*xamaraz
hændḷ	*xandlōjaną
hæv	*xabēną
hɑːvɪst	*xarbistuz
hɑːθ	*xerθaz
hɛd	*xaubudą
hɛlm	*xelmaz
hɛlp	*xelpaną, *xelpō
hɛvṇ	*xemenaz
hɛər	*xazwaz
hɛʤ	*xagjaz
hɜːd	*xerdō
hʌnɪ	*xunagą
jɑːn	*garnan
jɪər	*jērą
krɑːft	*kraftiz
kɑːf	*kalbaz
kʌd	*kwiθuz
laɪv	*libēną
lɑːf	*lakaną
lɑːst	*laistjaną
lɛðər	*leθrą
lɜːn	*liznōjaną
lɪndən	*lendō
lɪvər	*librō
lʌst	*lustuz
lʌŋ	*lungwą
mɑːst	*mastaz
mɑːʧ	*markō
mʌnθ	*mēnōθz
mʌðər	*mōdēr
naɪtmɛər	*marōn
neɪv	*nabō
neɪvḷ	*nablōn
niːdḷ	*nēθlō
nəʊz	*nasō
nɛk	*xnakkaz
nɛst	*nistą
nɛtḷ	*natilōn
reɪnbəʊ	*regna-bugōn
rævṇ	*xrabnaz
rɛst	*rastō
rʌdər	*rōθraz
rʌn	*rennaną
rʌst	*rustō
smɪər	*smerwjaną
snəʊ	*snaigwaz
sprɛd	*spraidjaną
spɑːr	*sparrōn
spɛər	*sparēną
spɜːr	*spuran
spɪndḷ	*spennilō
spɪər	*speru
strɛʧ	*strakkjaną
stɑːf	*stabiz
stɑːv	*sterbaną
stʌd	*stōdą
sælv	*salbō
sɑːkɪ	*sakō
sɔrəʊ	*surgō
sɛvṇ	*sebun
sɪks	*sexs
sɪnʤ	*sangjaną
sɪstər	*swestēr
sɪv	*sibaz
sʋɔləʊ	*swalgwōn
sʋɛl	*swellaną
sʌmər	*sumeraz
sʌn	*sunnōn
sʌndər	*sundrōjaną
sʌp	*sūpaną
trɛd	*tredaną
tɔŋz	*tangō
təʊkən	*taiknan
tɛn	*texun
tɪmbər	*temrą
tʌŋ	*tungōn
ædər	*utraz
ɔks	*uxsōn
ɜːθ	*erθo
ɡraɪp	*grīpaną
ɡraʊnd	*grunduz
ɡrɑːs	*grasą
ɡrɑːv	*grabaną
ɡuːs	*gansz
ɡæŋ	*gangaz
ɡɔd	*gud
ɡɔːl	*gallą
ɡəʊld	*gulθą
ɡəʊst	*gaistaz
ɡɛst	*gastiz
ɡɪft	*geftiz
ɡɪv	*gebaną
ʃaɪn	*skīnaną
ʃaʊər	*skūrō
ʃeɪm	*skamō
ʃiːld	*skelduz
ʃiːp	*skēpą
ʃiːθ	*skaiθiz
ʃɑːft	*skaftą
ʃəʊ	*skawōjaną
ʃəʊldər	*skuldrō
ʃɪlɪŋ	*skellin)az
ʃɪər	*skeraną
ʃʌv	*skeubaną
ʃʌvḷ	*skūflō
ʋiːv	*webaną
ʋiːzḷ	*weslon
ʋæks	*waxsaną, *waxsą
ʋɔsp	*wabsaz
ʋɔʃ	*waskaną
ʋɔːtər	*watną
ʋɛpən	*wēpnan
ʋɛst	*westanē
ʋɛðər	*wedrą, *wiθra
ʋɜːd	*wurdą
ʋɜːld	*wira-aldiz
ʋɜːm	*wurmaz/wurmiz
ʋɪdəʊ	*widuwōn
ʋɪntər	*wentruz
ʋɪðɪ	*waiθiz
ʋʌn	*end
ʋʌndər	*wundrą
ʌvṇ	*ufnaz
ʧuː	*kewwaną
θaʊzṇd	*θūs-undī
θræʃ	*θreskaną
θæŋks	*θankaz
θæʧ	*θaką
θɜːst	*θurstuz
θɪsḷ	*θestilaz
θɪŋk	*θankaz
θʌndər	*θunraz
