ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
510	ɑ d ə r	*utrăz	ɑ d ə r ( - - )	ɑdər	adder	139	Dutch				adder	*utrăz	1
509	æ d ə r	*utrăz	æ d ə r ( - - )	ædər	adder	139	English				adder	*utrăz	1
508	ɔ t ə r	*utrăz	ɔ t ə r ( - - )	ɔtər	Otter	139	German				adder	*utrăz	1
1431	b ɑ k ə	*bakanăn	b ɑ k ə - ( - - )	bɑkə	bakken	391	Dutch				bake	*bakanăn	2
1430	b eɪ k	*bakanăn	b eɪ k - - ( - - )	beɪk	bake	391	English				bake	*bakanăn	2
1429	b a k ə n	*bakanăn	b a k ə n ( - - )	bakən	backen	391	German	BOR	C V c v c		bake	*bakanăn	2
314	b ɑ l	*balluz	b ɑ l ( - - )	bɑl	bal	87	Dutch				ball	*balluz	3
313	b ɔː l	*balluz	b ɔː l ( - - )	bɔːl	ball	87	English				ball	*balluz	3
312	b a l	*balluz	b a l ( - - )	bal	Ball	87	German		C V C		ball	*balluz	3
521	b ɑ n	*bannăn	b ɑ n ( - - )	bɑn	ban	142	Dutch				ban	*bannăn	4
520	b æ n	*bannăn	b æ n ( - - )	bæn	ban	142	English				ban	*bannăn	4
519	b a n	*bannăn	b a n ( - - )	ban	Bann	142	German		C V C		ban	*bannăn	4
221	b ɛ r x	*bergăn	b ɛ r x ( - - )	bɛrx	berg	61	Dutch				barrow	*bergăn	5
220	b æ r əʊ	*bergăn	b æ r əʊ ( - - )	bærəʊ	barrow	61	English				barrow	*bergăn	5
219	b ɛ r k	*bergăn	b ɛ r k ( - - )	bɛrk	Berg	61	German				barrow	*bergăn	5
1634	b ɑ s t	*bastăn	b ɑ s t ( - - )	bɑst	bast	448	Dutch				bast	*bastăn	6
1633	b æ s t	*bastăn	b æ s t ( - - )	bæst	bast	448	English				bast	*bastăn	6
1632	b a s t	*bastăn	b a s t ( - - )	bast	Bast	448	German		C V C C		bast	*bastăn	6
1313	b ɑ t	*baθăn	b ɑ t ( - - )	bɑt	bad	360	Dutch				bath	*baθăn	7
1312	b ɑː θ	*baθăn	b ɑː θ ( - - )	bɑːθ	bath	360	English				bath	*baθăn	7
1311	b aː d	*baθăn	b aː d ( - - )	baːt	Bad	360	German				bath	*baθăn	7
1177	b aː r t	*bardăz	b aː r t ( - - )	baːrt	baard	322	Dutch				beard	*bardăz	8
1176	b ɪə d	*bardăz	b ɪə - d ( - - )	bɪəd	beard	322	English				beard	*bardăz	8
1175	b aː r t	*bardăz	b aː r t ( - - )	baːrt	Bart	322	German		C V C C		beard	*bardăz	8
1854	b eː v ə r	*bebruz	b eː v ə r ( - - )	beːvər	bever	508	Dutch				beaver	*bebruz	9
1853	b iː v ə r	*bebruz	b iː v ə r ( - - )	biːvər	beaver	508	English				beaver	*bebruz	9
1852	b iː b ə r	*bebruz	b iː b ə r ( - - )	biːbər	Biber	508	German				beaver	*bebruz	9
1865	b øː k ə b oː m	*bōkō	b øː k ( ə b oː m )	bøːkəboːm	beukeboom	511	Dutch				beech	*bōkō	10
1864	b iː ʧ	*bōkō	b iː ʧ ( - - - - )	biːʧ	beech	511	English				beech	*bōkō	10
1863	b uː x ə	*bōkō	b uː x ( ə - - - )	buːxə	Buche	511	German				beech	*bōkō	10
1154	b ə ɣ ɪ n ə	*gennanăn	( b ə ) ɣ ɪ n ə - ( - - )	bəɣɪnə	beginnen	316	Dutch				begin	*gennanăn	11
1153	b ɪ ɡ ɪ n	*gennanăn	( b ɪ ) ɡ ɪ n - - ( - - )	bɪɡɪn	begin	316	English				begin	*gennanăn	11
1152	b ə ɡ ɪ n ə n	*gennanăn	( b ə ) ɡ ɪ n ə n ( - - )	bəɡɪnən	beginnen	316	German				begin	*gennanăn	11
266	x ə l oː v ə	*laubjanăn	( x ə ) l oː v - ə - ( - - )	xəloːvə	geloven	73	Dutch				believe	*laubjanăn	12
265	b ɪ l iː v	*laubjanăn	( b ɪ ) l iː v - - - ( - - )	bɪliːv	believe	73	English				believe	*laubjanăn	12
264	ɡ l au b ə n	*laubjanăn	( ɡ - ) l au b - ə n ( - - )	ɡlaubən	glauben	73	German				believe	*laubjanăn	12
1688	b ɑ l x	*balgiz	b ɑ l x ( - - )	bɑlx	balg	462	Dutch				belly	*balgiz	13
1687	b ɛ l ɪ	*balgiz	b ɛ l ɪ ( - - )	bɛlɪ	belly	462	English				belly	*balgiz	13
1686	b a l k	*balgiz	b a l k ( - - )	balk	Balg	462	German		C V C C		belly	*balgiz	13
262	b ɛ s	*bazjăn	b ɛ s - ( - - )	bɛs	bes	72	Dutch				berry	*bazjăn	14
261	b ɛ r ɪ	*bazjăn	b ɛ r - ( ɪ - )	bɛrɪ	berry	72	English				berry	*bazjăn	14
260	b eː r ə	*bazjăn	b eː r - ( ə - )	beːrə	Beere	72	German				berry	*bazjăn	14
546	b iː d ə	*beudanăn	b iː d ə - ( - - )	biːdə	bieden	149	Dutch				bid	*beudanăn	15
1453	b ɪ d ə	*bidjanăn	b ɪ d - ə - ( - - )	bɪdə	bidden	397	Dutch				bid	*bidjanăn	15
545	b ɪ d	*beudanăn	b ɪ d - - ( - - )	bɪd	bid	149	English				bid	*beudanăn	15
1452	b ɪ d	*bidjanăn	b ɪ d - - - ( - - )	bɪd	bid	397	English				bid	*bidjanăn	15
544	b iː t ə n	*beudanăn	b iː t ə n ( - - )	biːtən	bieten	149	German				bid	*beudanăn	15
1451	b ɪ t ə n	*bidjanăn	b ɪ t - ə n ( - - )	bɪtən	bitten	397	German				bid	*bidjanăn	15
472	b aː r	*barwōn	b aː r ( - - - )	baːr	baar	129	Dutch				bier	*barwōn	16
471	b ɪə r	*barwōn	b ɪə r ( - - - )	bɪər	bier	129	English				bier	*barwōn	16
470	b aː r ə	*barwōn	b aː r ( - ə - )	baːrə	Bahre	129	German		C V C		bier	*barwōn	16
584	b ɪ n d ə	*bendanăn	b ɪ n d ə - ( - - )	bɪndə	binden	160	Dutch				bind	*bendanăn	17
