ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO
510	ɑ d ə r	*utrăz	ɑ d ə r ( - - )	ɑdər	adder	139	Dutch				adder	*utrăz
1431	b ɑ k ə	*bakanăn	b ɑ k ə - ( - - )	bɑkə	bakken	391	Dutch				bake	*bakanăn
314	b ɑ l	*balluz	b ɑ l ( - - )	bɑl	bal	87	Dutch				ball	*balluz
521	b ɑ n	*bannăn	b ɑ n ( - - )	bɑn	ban	142	Dutch				ban	*bannăn
221	b ɛ r x	*bergą	b ɛ r x ( - - )	bɛrx	berg	61	Dutch				barrow	*bergăn
1634	b ɑ s t	*bastą	b ɑ s t ( - - )	bɑst	bast	448	Dutch				bast	*bastăn
1313	b ɑ t	*baθą	b ɑ t ( - - )	bɑt	bad	360	Dutch				bath	*baθăn
1177	b aː r t	*bardăz	b aː r t ( - - )	baːrt	baard	322	Dutch				beard	*bardăz
1854	b eː v ə r	*bebruz	b eː v ə r ( - - )	beːvər	bever	508	Dutch				beaver	*bebruz
1865	b øː k ə b oː m	*bōkō	b øː k ( ə b oː m )	bøːkəboːm	beukeboom	511	Dutch				beech	*bōkō
1154	b ə ɣ ɪ n ə	*gennanăn	( b ə ) ɣ ɪ n ə - ( - - )	bəɣɪnə	beginnen	316	Dutch				begin	*gennanăn
266	x ə l oː v ə	*laubjanăn	( x ə ) l oː v - ə - ( - - )	xəloːvə	geloven	73	Dutch				believe	*laubjanăn
1688	b ɑ l x	*balgiz	b ɑ l x ( - - )	bɑlx	balg	462	Dutch				belly	*balgiz
262	b ɛ s	*bazją	b ɛ s - ( - - )	bɛs	bes	72	Dutch				berry	*bazjăn
546	b iː d ə	*beudanăn	b iː d ə - ( - - )	biːdə	bieden	149	Dutch				bid	*beudanăn
1453	b ɪ d ə	*bidjanăn	b ɪ d - ə - ( - - )	bɪdə	bidden	397	Dutch				bid	*bidjanăn
472	b aː r	*barwōn	b aː r ( - - - )	baːr	baar	129	Dutch				bier	*barwōn
584	b ɪ n d ə	*bendanăn	b ɪ n d ə - ( - - )	bɪndə	binden	160	Dutch				bind	*bendanăn
390	x ə b oː r t ə	*burdiz	( x ə ) b oː r t ( ə - )	xəboːrtə	geboorte	107	Dutch				birth	*burdiz
856	b l uː t	*blōdą	b l uː t ( - - )	bluːt	bloed	235	Dutch				blood	*blōdăn
1302	b ɔ r t	*burdą	b ɔ r t ( - - )	bɔrt	bord	357	Dutch				board	*burdăn
1037	b eː n	*bainăn	b eː n ( - - )	beːn	been	284	Dutch				bone	*bainăn
937	b uː k	*bōkz	b uː k ( - )	buːk	boek	257	Dutch				book	*bōkz
382	b oː r ə	*burōjanăn	b oː r ( - ) - ə - ( - - )	boːrə	boren	105	Dutch				bore	*burōjanăn
26	b uː z ə m	*bōsmăz	b uː z ə m ( - - )	buːzəm	boezem	7	Dutch				bosom	*bōsmăz
641	b ɛɪ d ə	*bō	b ɛɪ ( d ə )	bɛɪdə	beide	176	Dutch				both	*bō
818	b oː d ə m	*budmăz	b oː d ə m ( - - )	boːdəm	bodem	224	Dutch				bottom	*budmăz
1298	b œy ɣ ə	*baugjanăn	b œy ɣ - ə - ( - - )	bœyɣə	buigen	356	Dutch				bow	*baugjanăn
930	b œy ɣ ə	*beuganăn	b œy ɣ ə - ( - - )	bœyɣə	buigen	255	Dutch				bow	*beuganăn
1420	b oː x	*bugōn	b oː x - -	boːx	boog	388	Dutch				bow	*bugōn
1033	b uː r	*būrą	b uː - r ( - - )	buːr	boer	283	Dutch				bower	*būrăn
798	b r ɑ n t	*brandăz	b r ɑ n t ( - - )	brɑnt	brand	218	Dutch				brand	*brandăz
1158	b r oː t	*braudą	b r oː t ( - - )	broːt	brood	317	Dutch				bread	*braudăn
503	b r eː k ə	*brekanăn	b r eː k ə - ( - - )	breːkə	breken	137	Dutch				break	*brekanăn
1773	b ɔ r s t	*brustz	b ɔ r - s t ( - )	bɔrst	borst	485	Dutch				breast	*brustz
1516	b r uː k	*brekăną	b r uː k ( - - )	bruːk	broek	415	Dutch				breeches	*brekanăn
296	b r œy t	*brūdiz	b r œy t ( - - )	brœyt	bruid	82	Dutch				bride	*brūdiz
1652	b r ɛ ŋ ə	*brenganăn	b r ɛ ŋ - ə - ( - - )	brɛŋə	brengen	453	Dutch				bring	*brenganăn
1136	x ə b r œy k ə	*brūkanăn	( x ə ) b r œy k ə - ( - - )	xəbrœykə	gebruiken	311	Dutch				brook	*brūkanăn
34	b ɔ k	*bukkăz	b ɔ k ( - - )	bɔk	bok	9	Dutch				buck	*bukkăz
1754	b ɑ r s t ə	*brestanăn	b ɑ r - s t ə - ( - - )	bɑrstə	barsten	480	Dutch				burst	*brestanăn
193	k ɑ l f	*kalbăz	k ɑ l f ( - - )	kɑlf	kalf	54	Dutch				calf	*kalbăz
993	k ɑu ʋ ə	*kewwanăn	k ɑu ʋ ə - ( - - )	kɑuʋə	kauwen	272	Dutch				chew	*kewwanăn
557	k l ɪ m ə	*klembanăn	k l ɪ m - ə - ( - - )	klɪmə	klimmen	152	Dutch				climb	*klembanăn
1680	k ɑ m	*kambăz	k ɑ m - ( - - )	kɑm	kam	460	Dutch				comb	*kambăz
8	k oː r ə	*kurnăn	k oː r - ( ə - )	koːrə	koren	533	Dutch				corn	*kurnăn
1093	k uː	*kōwz	k uː ( - - )	kuː	koe	299	Dutch				cow	*kōwz
1508	k r ɑ x t	*kraftiz	k r ɑ x t ( - - )	krɑxt	kracht	413	Dutch				craft	*kraftiz
881	k r ɔ p	*kruppăz	k r ɔ p ( - - )	krɔp	krop	242	Dutch				crop	*kruppăz
1247	k ɪ t	*kwiθuz	k ɪ t ( - - )	kɪt	kit	342	Dutch				cud	*kwiθuz
1184	d ɑ l	*dalăz	d ɑ l ( - - )	dɑl	dal	324	Dutch				dale	*dalăz
783	d ɑ x	*dagăz	d ɑ x ( - - )	dɑx	dag	214	Dutch				day	*dagăz
1085	d eː l	*dailiz	d eː l ( - - )	deːl	deel	297	Dutch				deal	*dailiz
