proto	status	category	reason	refs	added
*búkkaz	wontfix	u_lowering_near_labial	NWGmc u-lowering near labials non-Neogrammarian: u retained sporadically before labials/velars in lexical items (Luick §105-6)	notable_findings#2;DEV_NOTES.md u-lowering	2026-04-25
*fúglaz	wontfix	u_lowering_near_labial	Same u-lowering near labials issue (R/T vol.2 §2.3.1 explicit example)	notable_findings#2	2026-04-25
*wúlfaz	wontfix	u_lowering_near_labial	Same u-lowering near labials issue (R/T vol.2 §2.3.1 explicit example)	notable_findings#2	2026-04-25
*wúllō	wontfix	u_lowering_near_labial	Same u-lowering near labials issue	notable_findings#2	2026-04-25
*rústō	wontfix	u_lowering_near_labial	u retention before /st/; also separate metathesis bug (orst output)	notable_findings#2	2026-04-25
*ráukaz	wontfix	smoothing_anglian_relic	OE rēc has velar [k] (per ModE reek /riːk/, not /iːtʃ/). Etymon switched from i-stem *ráukiz to a-stem *ráukaz (Kroonen, p.c.; analogical replacement; cf. Ger. Rauch). FST output rēac is regular; rēc requires Anglian smoothing (ēa→ē / _velar) which is dialectally restricted — adding it as a cascade rule would regress WS bēacen, hēah, ēage, sēah, tēah. Treated as Anglian relic loaned into WS, no FST fix.	notable_findings#10;DEV_NOTES.md §17.22;dossier-reek-2026.md	2026-04-26
*fūri	exception	analogical_dat_e	FST correctly produces fȳr (regular nom./acc.sg. outcome of *fūri after i-umlaut + high-vowel apocope); target fȳre has analogically restored dat.sg. -e (four-part analogy with word:worde) — morphological process the FST cannot model	DEV_NOTES.md §6084-6268 (esp. 6189, 6262-6268)	2026-04-25
*táppô	exception	analogical_n_stem_levelling	FST correctly produces tappa (lautgesetzlich nom.sg. of n-stem masc *táppô with A-restoration before back *-ô; cf. crabba, racca, maþa per R/T p.207); attested tæppa has analogical æ — every paradigm cell traps into either A-restoration → tappa/tappan or i-umlaut → teppan, so no PGmc input yields lautgesetzlich tæpp- (Fulk §12.19 n.6 stæppan parallel; plausibly levelled from co-radical j-stems)	DEV_NOTES.md §3097, §14077, §17.10.16a-c, §17.27	2026-04-26
*búgun	exception	analogical_un_to_on_levelling	FST correctly produces bugun (Lautgesetzlich early-OE / Mercian outcome of cogset row 1962 *búgun, 3pl pret. of *beuganą "to bow"); the -un>-on lowering is phonologically blocked here because OEMedUnstressedULowering (germanic.txt:2298) has a left-context exclusion [EnglishStarVocalic - [{*u}|{*ū}|{*ú}]], parallel to the stem-u + single-C harmony environment that protects wuduwe / munuc / duguþ (Brunner §44 Anm. 7; Luick §326.2). Attested lWS bugon is an analogical overlay levelling on the dominant 3pl pret. -on ending of other strong-verb classes (ridon, bundon, drifon, wǣron) (Campbell §735(e); Brunner §364.2 Anm. 4). Cross-Germanic confirms -un preservation (OS budun, dribun, wurdun) and Ép./VP/Ru.1 show -un dominant for class-II verbs; but no -un form survives for būgan/ābūgan/onbūgan/gebūgan in the OE corpus — every locatable 3pl pret. token (Chronicle 901/919/959/999/1086, Ælfric, Wulfstan, Gregory's Dialogues, Maldon 185) shows -on, so bugun is paradigm-regular but type-unattested.	DEV_NOTES.md §17.51.A1.3;dossiers/un-to-on-chronology.md;dossiers/bugun-scufun-attestation.md;dossiers/widuwe-u-preservation.md Appendix D	2026-04-30
*skúbun	exception	analogical_un_to_on_levelling	FST correctly produces sċufun (Lautgesetzlich early-OE / Mercian outcome of cogset row 2184 *skúbun, 3pl pret. of *skūbaną "to shove"); the -un>-on lowering is phonologically blocked here because OEMedUnstressedULowering (germanic.txt:2298) has a left-context exclusion [EnglishStarVocalic - [{*u}|{*ū}|{*ú}]], parallel to the stem-u + single-C harmony environment that protects wuduwe / munuc / duguþ (Brunner §44 Anm. 7; Luick §326.2). Attested lWS sċufon is an analogical overlay levelling on the dominant 3pl pret. -on ending of other strong-verb classes (ridon, bundon, drifon, wǣron) (Campbell §735(e); Brunner §364.2 Anm. 4). Cross-Germanic confirms -un preservation (OS budun, dribun, wurdun) and Ép./VP/Ru.1 show -un dominant for class-II verbs; but no -un form survives for sċūfan/bescūfan/āscūfan in the OE corpus — every locatable 3pl pret. token (Beowulf 215 scufon, Ælfric bescufon, Cockayne's Shrine sceufon, even Northumbrian Durham Ritual scyufon) shows -on, so sċufun is paradigm-regular but type-unattested.	DEV_NOTES.md §17.51.A1.3;dossiers/un-to-on-chronology.md;dossiers/bugun-scufun-attestation.md;dossiers/widuwe-u-preservation.md Appendix D	2026-04-30
