ENGLISH	OE_FORM	SOURCE	DETAIL	PAGE
adder	nǣdre	inh	template:inh	adder
bake	bacan	inh	template:inh	bake
ball	-	inh	template:inh (unattested; reconstructed *beall)	ball
ban	bannan	inh	template:inh	ban
barrow	beorg	inh	template:inh	barrow
bast	bæst	inh	template:inh	bast
bath	bæþ	inh	template:inh	bath
beard	beard	inh	template:inh	beard
beaver	befer	inh	template:inh	beaver
beech	bēċe	inh	template:inh	beech
begin	beginnan	inh	template:inh	begin
believe	belīefan	inh	template:inh	believe
belly	bielġ	inh	template:inh	belly
berry	berġe	inh	template:inh	berry
bid	-	der	template:der	bid
bier	bēr	inh	template:inh	bier
bind	bindan	inh	template:inh	bind
birth	ġebyrd	text	Old English link	birth
blood	blōd	inh	template:inh	blood
board	bord	inh	template:inh	board
bone	bān	inh	template:inh	bone
book	bōc	inh	template:inh	book
bore	borian	inh	template:inh	bore
bosom	bōsm	inh	template:inh	bosom
both	bā]] [[þā	inh	template:inh	both
bottom	botm	inh	template:inh	bottom
bough	bōg	inh	template:inh	bough
bow	boga	inh	template:inh	bow
bower	būr	inh	template:inh	bower
brand	brand	inh	template:inh	brand
bread	brēad	inh	template:inh	bread
break	brecan	inh	template:inh	break
breast	brēost	inh	template:inh	breast
breeches	brēċ	inh	template:inh	breeches
bride	brȳd	inh	template:inh	bride
bring	bringan	inh	template:inh	bring
brook	brūcan	inh	template:inh	brook
buck	buc	inh	template:inh	buck
burst	berstan	der	template:der	burst
calf	ọmọ	text	Old English link	calf
chew	ċēowan	inh	template:inh	chew
climb	climban	inh	template:inh	climb
comb	camb	inh	template:inh	comb
corn	corn	inh	template:inh	corn
cow	cū	inh	template:inh	cow
craft	cræft	inh	template:inh	craft
crop	crop	inh	template:inh	crop
cud	cudu	inh	template:inh	cud
dale	dæl	inh	template:inh	dale
day	dæġ	inh	template:inh	day
deal	dǣl	inh	template:inh	deal
deed	dēd	inh	template:inh	deed
deer	dēor	inh	template:inh	deer
dew	dēaw	inh	template:inh	dew
dill	dile	inh	template:inh	dill
do	don	inh	template:inh	do
door	duru	inh	template:inh	door
dough	dāg	inh	template:inh	dough
dove	-	inh	template:inh (unattested; reconstructed *dūfe) (attested OE culfre not cognate; reconstructed *dūfe unattested)	dove
dream	drēam	inh	template:inh	dream
drench	drenċ	inh	template:inh	drench
drink	drincan	inh	template:inh	drink
drive	drīfan	der	template:der	drive
earth	eorþe	inh	template:inh	earth
eat	etan	inh	template:inh	eat
eel	ǣl	inh	template:inh	eel
fall	feallan	inh	template:inh	fall
fare	fær	der	template:der	fare
fast	fæst	inh	template:inh	fast
fee	feoh	inh	template:inh	fee
fell	fellan	inh	template:inh	fell
fern	fearn	inh	template:inh	fern
field	feld	inh	template:inh	field
fight	feohtan	inh	template:inh	fight
find	findan	inh	template:inh	find
finger	finger	der	template:der	finger
fire	fȳr	inh	template:inh	fire
fish	fisċ	inh	template:inh	fish
fist	fȳst	inh	template:inh	fist
