emission_id	representative_occurrence_id	emission_path	site	index_command	language	variety	display	sort_key	form_role	source_scope	source_ref	source_occurrence_count	source_occurrence_ids
Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:1	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:1	explicit_tag	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!sculdrum@\iventry{sċuldrum}{}}	oe		sċuldrum	sculdrum	evidence_form	explicit_tag	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33	1	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:1
Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:2	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:2	explicit_tag	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!skuldramiz@\iventry{*skúldramiz}{}}	pgmc		*skúldramiz	skuldramiz	evidence_form	explicit_tag	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33	1	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:2
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:21:1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:21:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:21	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nadra@\iventry{*nadra-}{}}	pgmc		*nadra-	nadra	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:21	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:21:1
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:3	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:3	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}	oe		næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:3
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:2	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nǣdre}{}}	oe		nǣdre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:2
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nedron@\iventry{*nēdrōn-}{}}	pgmc		*nēdrōn-	nedron	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:22:1
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:2	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nadron@\iventry{*nadrōn}{}}	pgmc		*nadrōn	nadron	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:2
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!nedron@\iventry{*nēdrōn}{}}	pgmc		*nēdrōn	nedron	source_protoform	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:24:1
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:2	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:2	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naeddre@\iventry{næddre}{}}	oe		næddre	naeddre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:2
Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:1	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!naedre@\iventry{nǣdre}{}}	oe		nǣdre	naedre	evidence_form	explicit_tag	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31	1	Germanic/docs/lexeme_reports/model_entries/1933-adder-nǣdre.model.md:31:1
