occurrence_id	disposition	emission_id	index_command	exclusion_reason	language	variety	form	display	sort_key	form_role	source_scope	source_ref
Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:1	emit	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:1	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!sculdrum@\iventry{sċuldrum}{}}		oe		sċuldrum	sċuldrum	sculdrum	evidence_form	explicit_tag	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33
Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:2	emit	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33:2	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!skuldramiz@\iventry{*skúldramiz}{}}		pgmc		skúldramiz	*skúldramiz	skuldramiz	evidence_form	explicit_tag	Germanic/docs/assembly/capr_book_intro_alpha_01.md:33
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:54:1	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:54:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!draugma@\iventry{*draugma-}{}}		pgmc		draugma-	*draugma-	draugma	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:54
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:55:1	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:55:1	\index[iv]{03pgmc@\ivlangheader{Proto-Germanic}{}!taugma@\iventry{*taugma-}{}}		pgmc		taugma-	*taugma-	taugma	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:55
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:2	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:2	\index[iv]{08on@\ivlangheader{Old Norse}{}!dogum@\iventry{dǫgum}{}}		on		dǫgum	dǫgum	dogum	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:3	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:3	\index[iv]{02oe@\ivlangheader{Old English}{West Saxon normalization unmarked}!dagum@\iventry{dagum}{}}		oe		dagum	dagum	dagum	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:4	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:4	\index[iv]{12os@\ivlangheader{Old Saxon}{}!dagun@\iventry{dagun}{}}		os		dagun	dagun	dagun	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:5	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:5	\index[iv]{09ohg@\ivlangheader{Old High German}{}!tagum@\iventry{tagum}{}}		ohg		tagum	tagum	tagum	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:6	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:6	\index[iv]{11goth@\ivlangheader{Gothic}{}!dagam@\iventry{dagam}{}}		goth		dagam	dagam	dagam	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:7	emit	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258:7	\index[iv]{08on@\ivlangheader{Old Norse}{}!godum@\iventry{góðum}{}}		on		góðum	góðum	godum	evidence_form	explicit_tag	Germanic/docs/sound_changes/reader_facing/reader_facing_local_section_19.md:258
