language	form_role	sort_key	occurrence_id	variety
oe	comparison_form	aerende	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md:49:1	
oe	comparison_form	asceaf	Germanic/docs/lexeme_reports/model_entries/2184-shove-sċēaf.model.md:32:2	
oe	comparison_form	ba	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:22:2	
oe	comparison_form	ba	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:37:2	
oe	comparison_form	ba	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:68:1	
oe	evidence_form	bacan	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:2	
oe	evidence_form	bacan	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:3	
oe	evidence_form	bacan	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:21:5	
oe	evidence_form	bacan	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:25:1	
oe	evidence_form	bacan	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:2	
oe	evidence_form	bacan	Germanic/docs/lexeme_reports/model_entries/1934-bake-bacan.model.md:29:4	
oe	comparison_form	baem	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:40:1	
oe	evidence_form	baer	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:21:3	
oe	evidence_form	baer	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:25:1	
oe	evidence_form	baer	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:29:1	
oe	evidence_form	baer	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:25:3	
oe	evidence_form	baer	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:29:3	
oe	evidence_form	baer	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:33:2	
oe	comparison_form	ban	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:42:1	
oe	evidence_form	ban	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:21:3	
oe	evidence_form	ban	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25:1	
oe	evidence_form	ban	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25:2	
oe	evidence_form	ban	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:33:1	
oe	evidence_form	bane	Germanic/docs/lexeme_reports/model_entries/1954-bone-bān.model.md:25:3	
oe	target_form	bannes	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:34:1	
oe	target_form	bannes	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:41:1	
oe	target_form	bannes	Germanic/docs/lexeme_reports/model_entries/1936-ban-bannes.model.md:53:2	
oe	evidence_form	bar	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:21:2	
oe	evidence_form	bar	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:25:2	
oe	evidence_form	bar	Germanic/docs/lexeme_reports/model_entries/1949-bier-bǣr.model.md:29:2	
oe	evidence_form	beag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:30:1	
oe	evidence_form	beag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:36:1	
oe	evidence_form	beag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:42:1	
oe	evidence_form	beag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:48:1	
oe	evidence_form	beag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:65:2	
oe	evidence_form	beag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:65:3	
oe	evidence_form	beag	Germanic/docs/lexeme_reports/model_entries/1962-bow-bēag.model.md:69:1	
oe	evidence_form	bece	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:21:1	
oe	evidence_form	bece	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:1	
oe	evidence_form	bece	Germanic/docs/lexeme_reports/model_entries/1942-beech-bōc.model.md:25:2	
oe	comparison_form	begen	Germanic/docs/lexeme_reports/model_entries/1958-both-bū.model.md:22:1	
