source_ref	form	display	sort_key	evidence_text	proposed_variety	decision	rationale	upstream_source
Germanic/docs/lexeme_reports/model_entries/1983-cud-cwedu.model.md:32	cweodu	cweodu	cweodu	note late West Saxon [`cweodu`]{.iv lang=oe variety=lws sort=cweodu role=comparison_form} 'cud'; Clark Hall gives [`cwudu`]{.iv lang=oe sort=cwudu role=comparison_form} 'cud', [`cweodu`]{.iv lang=oe variety=lws sort=cweodu role=comparison_form} 'cud', and [`cudu`]{.iv lang=oe sort=cudu role=comparis	lws	annotated	source explicitly labels this occurrence late West Saxon; encoded as narrowest supported assignable variety 'lws'	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/1987-deed-dǣd.model.md:25	dēd	dēd	ded	Campbell states that Primitive Germanic `ē` appears as West Saxon `ǣ` but in other Old English dialects mostly as `ē`, and Brunner gives the contrast explicitly as West Saxon `dǣd` 'deed' beside non-West-Saxon `dēd` 'deed' [@Campbell1959; @SieversBrunner1965]. Clark Hall likewise lists `dæd` 'deed' 	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	broad-prose decision (index_verborum_broad_prose_decisions.tsv)
Germanic/docs/lexeme_reports/model_entries/2022-fly-flēogan.model.md:29	flégan	flégan	flegan	Ringe and Taylor also list related `fléoge` 'fly' / `flége` 'fly' and Anglian `flégan` 'fly', which belong to the same family but do not replace the infinitive `flēogan` 'fly' treated here [@RingeTaylor2014].	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	broad-prose decision (index_verborum_broad_prose_decisions.tsv)
Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md:38	galla	galla	galla	[`gealla`]{.iv lang=oe sort=gealla role=target_form} 'gall' with Anglian [`galla`]{.iv lang=oe variety=angl sort=galla role=comparison_form} 'gall' [@Campbell1959, §486]. The target of this entry is the	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md:61	galla	galla	galla	| dialectal Anglian continuation | weak noun branch | Anglian [`galla`]{.iv lang=oe variety=angl sort=galla role=comparison_form} 'gall' type | [`galla`]{.iv lang=oe variety=angl sort=galla role=comparison_form} 'gall' | genuine OE variant, but not the selected West Saxon target |	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:21	for-geofan	for-geofan	forgeofan	Kroonen reconstructs the strong verb as `*geban-` and cites Old English [`giefan`]{.iv lang=oe sort=giefan role=comparison_form} 'give' among its reflexes [@Kroonen2013]. Ringe and Taylor contrast West Saxon `giefan` 'give' with Mercian `for-geofan` 'give' and Northumbrian `geafa` 'give', showing th	merc	annotated	source explicitly labels this occurrence Mercian; encoded as narrowest supported assignable variety 'merc'	broad-prose decision (index_verborum_broad_prose_decisions.tsv)
Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:21	geafa	geafa	geafa	Kroonen reconstructs the strong verb as `*geban-` and cites Old English [`giefan`]{.iv lang=oe sort=giefan role=comparison_form} 'give' among its reflexes [@Kroonen2013]. Ringe and Taylor contrast West Saxon `giefan` 'give' with Mercian `for-geofan` 'give' and Northumbrian `geafa` 'give', showing th	north	annotated	source explicitly labels this occurrence Northumbrian; encoded as narrowest supported assignable variety 'north'	broad-prose decision (index_verborum_broad_prose_decisions.tsv)
Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:29	for-geofan	for-geofan	forgeofan	non-West-Saxon forms such as geafa or for-geofan		not_variety_evidence	this occurrence only described generically as 'non-West-Saxon' (no assignable narrower code); the :21 occurrence is encoded merc	broad-prose decision
Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md:29	geafa	geafa	geafa	non-West-Saxon forms such as geafa or for-geofan		not_variety_evidence	this occurrence only 'non-West-Saxon' generically; the :21 occurrence is encoded north	broad-prose decision
Germanic/docs/lexeme_reports/model_entries/2058-have-hæfeþ.model.md:35	hæfed	hæfed	haefed	Campbell's Anglian paradigm includes unsyncopated 3sg forms of the [`hæfed`]{.iv lang=oe variety=angl sort=haefed role=comparison_form} 'has' type,	angl	annotated	source labels this occurrence Anglian (or 'Anglian and/or Mercian', i.e. the broader Anglian class); encoded as 'angl' without sharpening	model-entry .iv span
