entry	class_bucket	source_key	current_citation	surrounding_claim	source_layer	candidate_locator	locator_basis	action	file_changed	note
bake — OE bacan	regular	Orel2003	[@Orel2003; @Campbell1959, 61; @RingeTaylor2014, 270]	Orel reconstructs _\*bakanan_, and Campbell cites _bacan_ as a standard example of A-restoration [@Orel2003; @Campbell1959, 61; @RingeTaylor2014, 270]. Bosworth-Toller and Clark Hall record _bacan_ as the Old English infinitive [@BosworthToller1898, 72; @ClarkHall1960, 19]. The selected input _\*bákaną_ represents the same weak verb in the accent notation used here. From _\*bákaną_, Anglo-Frisian brightening first gives _\*bækaną_. A-restoration before single _k_ returns the stem vowel to _a_, and later weak-tail reductions yield _bacan_.	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=141
begin — OE beġinnan	regular	RingeTaylor2014	[@RingeTaylor2014]	The verb is modeled here as inherited _\*bigínnaną_. Ringe and Taylor state that intervocalic _\*g_ is palatalized between front vowels in Old English [@RingeTaylor2014], and Campbell lists _ginnan_ among familiar examples of palatal _g_ in this verb family [@Campbell1959, 174]. Bosworth-Toller and Clark Hall lemmatize the verb as _be-ginnan_ / _beginnan_ [@BosworthToller1898, 84; @ClarkHall1960]. From _\*bigínnaną_, heavy-syllable nasal apocope yields _\*bigínnan_. Ringe and Taylor explicitly cite _bi- > be-_ as an Old English unstressed-prefix development [@RingeTaylor2014].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=231
begin — OE beġinnan	regular	ClarkHall1960	[@BosworthToller1898, 84; @ClarkHall1960]	The verb is modeled here as inherited _\*bigínnaną_. Ringe and Taylor state that intervocalic _\*g_ is palatalized between front vowels in Old English [@RingeTaylor2014], and Campbell lists _ginnan_ among familiar examples of palatal _g_ in this verb family [@Campbell1959, 174]. Bosworth-Toller and Clark Hall lemmatize the verb as _be-ginnan_ / _beginnan_ [@BosworthToller1898, 84; @ClarkHall1960]. From _\*bigínnaną_, heavy-syllable nasal apocope yields _\*bigínnan_. Ringe and Taylor explicitly cite _bi- > be-_ as an Old English unstressed-prefix development [@RingeTaylor2014].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=231
begin — OE beġinnan	regular	RingeTaylor2014	[@RingeTaylor2014]	The verb is modeled here as inherited _\*bigínnaną_. Ringe and Taylor state that intervocalic _\*g_ is palatalized between front vowels in Old English [@RingeTaylor2014], and Campbell lists _ginnan_ among familiar examples of palatal _g_ in this verb family [@Campbell1959, 174]. Bosworth-Toller and Clark Hall lemmatize the verb as _be-ginnan_ / _beginnan_ [@BosworthToller1898, 84; @ClarkHall1960]. From _\*bigínnaną_, heavy-syllable nasal apocope yields _\*bigínnan_. Ringe and Taylor explicitly cite _bi- > be-_ as an Old English unstressed-prefix development [@RingeTaylor2014].	regular book-prose overlay		left broad; no safe headword/page pairing was verified in this pass	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=231
birth — OE byrd	regular	Kroonen2013	[@Kroonen2013]	Kroonen cites the noun under stem-level _\*burdi-_ and gives Old English _(ge-)byrd_ among the reflexes [@Kroonen2013]. The selected input _\*búrdiz_ is the nominative-style form that stands behind that stem label. Clark Hall and Bosworth-Toller both attest simplex _byrd_ as an Old English noun meaning 'birth' [@ClarkHall1960; @BosworthToller1898, 125]. From _\*búrdiz_, loss of final _z_ gives _\*búrdi_.	regular book-prose overlay	122	Kroonen *burdi- entry with OE (ge-)byrd in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/1951-birth-byrd.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=321; verified in local page-marked source and applied in compact regular book prose
birth — OE byrd	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898, 125]	Kroonen cites the noun under stem-level _\*burdi-_ and gives Old English _(ge-)byrd_ among the reflexes [@Kroonen2013]. The selected input _\*búrdiz_ is the nominative-style form that stands behind that stem label. Clark Hall and Bosworth-Toller both attest simplex _byrd_ as an Old English noun meaning 'birth' [@ClarkHall1960; @BosworthToller1898, 125]. From _\*búrdiz_, loss of final _z_ gives _\*búrdi_.	regular book-prose overlay	70	Clark Hall byrd headword in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/1951-birth-byrd.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=321; verified in local page-marked source and applied in compact regular book prose
birth — OE byrd	regular	Hogg1992	[@Hogg1992]	Form note. The relevant comparator here is the simplex noun _byrd_. The prefixed forms remain related attested material within the same lexical family, and Hogg's discussion of deverbal feminines provides the broader derivational setting [@Hogg1992].	regular book-prose overlay		left broad; outside the targeted high-yield cleanup set	left_broad		same_source_has_locator_elsewhere_in_volume=yes; prior_classification=unresolved; line=323
bone — OE bān	regular	Kroonen2013	[@Kroonen2013; @Orel2003]	Kroonen cites the noun as _\*baina-_, and Orel gives the same lexeme under _\*bainan_ [@Kroonen2013; @Orel2003]. Both are comparative headword conventions for the same neuter noun whose Old English reflex is _bān_. Clark Hall and Bosworth-Toller record _bān_ as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898]. West Germanic monophthongization turns stressed _\*ai_ into _ā_, giving _\*bāną_; heavy-syllable nasal apocope then yields _bān_.	regular book-prose overlay	86	Kroonen *baina- entry with OE bān in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/1954-bone-bān.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=367; verified in local page-marked source and applied in compact regular book prose
bone — OE bān	regular	Orel2003	[@Kroonen2013; @Orel2003]	Kroonen cites the noun as _\*baina-_, and Orel gives the same lexeme under _\*bainan_ [@Kroonen2013; @Orel2003]. Both are comparative headword conventions for the same neuter noun whose Old English reflex is _bān_. Clark Hall and Bosworth-Toller record _bān_ as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898]. West Germanic monophthongization turns stressed _\*ai_ into _ā_, giving _\*bāną_; heavy-syllable nasal apocope then yields _bān_.	regular book-prose overlay	71	Orel *bainan entry with OE bán in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/1954-bone-bān.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=367; verified in local page-marked source and applied in compact regular book prose
bone — OE bān	regular	ClarkHall1960	[@ClarkHall1960; @BosworthToller1898]	Kroonen cites the noun as _\*baina-_, and Orel gives the same lexeme under _\*bainan_ [@Kroonen2013; @Orel2003]. Both are comparative headword conventions for the same neuter noun whose Old English reflex is _bān_. Clark Hall and Bosworth-Toller record _bān_ as the ordinary Old English noun [@ClarkHall1960; @BosworthToller1898]. West Germanic monophthongization turns stressed _\*ai_ into _ā_, giving _\*bāną_; heavy-syllable nasal apocope then yields _bān_.	regular book-prose overlay	44	Clark Hall bān headword in local page-marked OCR.	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/1954-bone-bān.book.md	same_source_has_locator_elsewhere_in_volume=yes; prior_classification=safe; line=367; verified in local page-marked source and applied in compact regular book prose
