manifest_id	entry	source_key	action_taken	locator_added_or_removed	final_status	source_file	notes
CLMM01-0020	fern / fearn	RingeTaylor2014	retained_broad_after_recheck		retained_broad_general_background	Germanic/docs/assembly/book_prose/regular_all_01/2008-fern-fearn.book.md	Broad handbook framing still supports the derivational sentence only at discussion level.
CLMM01-0042	gold / gold	Kroonen2013	retained_broad_after_recheck		claim_not_isolated	Germanic/docs/assembly/book_prose/regular_all_01/2043-gold-gold.book.md	Kroonen's recoverable entry is still bundled with a broader Ringe-Taylor discussion and needs a sentence split.
CLMM01-0044	grave / grafan	RingeTaylor2014	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2046-grave-grafan.book.md	Removed the redundant broad Ringe-Taylor citation after the sentence was tightened around Campbell's already localized a-restoration evidence.
CLMM01-0061	lead / lǣdan	BosworthToller1898	locator_added	612	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2093-lead-lǣdan.book.md	Localized the dictionary evidence to Bosworth-Toller p. 612.
CLMM01-0067	light / līehtan	BosworthToller1898	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/assembly/book_prose/regular_all_01/2102-light-līehtan.book.md	Headword evidence was reverified, but this pass still did not recover a safely citeable printed page.
CLMM01-0079	coat / rocc	BosworthToller1898	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/assembly/book_prose/regular_all_01/2155-coat-rocc.book.md	The garment-noun entry was reverified, but no safe page marker was recovered in the available witness.
CLMM01-0080	coat / rocc	BosworthToller1898	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/assembly/book_prose/regular_all_01/2155-coat-rocc.book.md	The source note about the garment/stone split remains verified but unlocalized.
CLMM01-0097	still / stillan	KlugeSeebold2011	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/assembly/book_prose/regular_all_01/2217-still-stillan.book.md	The lexical-framing entry was found again, but the local Kluge witness still lacks safe page architecture.
CLMM01-0104	sunder / sundrian	BosworthToller1898	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/assembly/book_prose/regular_all_01/2232-sunder-sundrian.book.md	The dictionary material was reverified, but the current Bosworth-Toller witness remains unsafe for a printed-page locator.
CLMM01-0108	think / þenċan	RingeTaylor2014	retained_broad_after_recheck		claim_not_isolated	Germanic/docs/assembly/book_prose/regular_all_01/2248-think-þenċan.book.md	The surviving handbook sentence still compresses lexeme framing, paradigm choice, and sound change into one unsplit clause.
CLMM01-0122	wade / wadan	RingeTaylor2014	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2266-wade-wadan.book.md	Removed the redundant broad Ringe-Taylor citation after Campbell and Luick already anchored the A-restoration/open-syllable claim.
CLMM01-0132	way / weġ	Hogg1992	retained_broad_after_recheck		retained_broad_general_background	Germanic/docs/assembly/book_prose/regular_all_01/2277-way-weġ.book.md	Hogg still functions as broad handbook background rather than a newly isolatable page-bound claim.
CLMM01-0135	will / willa	KlugeSeebold2011	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/assembly/book_prose/regular_all_01/2293-will-willa.book.md	The noun-side entry was reverified, but the Kluge witness still does not yield a safe printed page.
CLMM01-0139	wind / windan	RingeTaylor2014	retained_broad_after_recheck		claim_not_isolated	Germanic/docs/assembly/book_prose/regular_all_01/2294-wind-windan.book.md	The current sentence still mixes lexeme selection and handbook discussion in a way that would need a rewrite before localization.
CLMM01-0146	wold / weald	RingeTaylor2014	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2297-wold-weald.book.md	Removed the redundant broad Ringe-Taylor dialect note after Clark Hall remained sufficient for the surviving sentence.
CLMM01-0147	yarn / ġearn	BosworthToller1898	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/assembly/book_prose/regular_all_01/2305-yarn-ġearn.book.md	The dictionary passage remains verified, but the current witness still does not expose a safe printed page.
CLMM01-0158	dill / dile	ClarkHall1960	locator_added	95	locator_added	Germanic/docs/lexeme_reports/model_entries/1990-dill-dile.model.md	Localized the Clark Hall dictionary cross-reference to p. 95.
CLMM01-0161	fast / festan	ClarkHall1960	retained_broad_after_recheck		source_verified_unlocalized	Germanic/docs/lexeme_reports/model_entries/2004-fast-festan.model.md	The dictionary material was reverified, but this pass still did not recover a safe Clark Hall printed page.
