citekey	entry_type	status_after_audit_02	fields_added	source_used	still_incomplete	reason_if_still_incomplete
Bammesberger1997	article	rechecked-clean	none	local PDF + user-supplied Anglia citation	no	-
Lloyd1966	article	rechecked-clean	none	local JSTOR PDF + prior Crossref confirmation	no	-
GermanicSlavicBaltic2025	misc	rechecked-clean	none	local PDF title page + public Academia URL	no	-
Kroonen2011	book	rechecked-clean	publisher cleanup (restored clean publisher/address split)	local PDF + existing monograph record	no	-
Kaluza1906	book	completed	year;volumes;publisher	local text file + task brief verification	no	-
Erdmann1972	article	completed	author;journal;volume;number;pages;month;url	local JSTOR text file	no	-
Pierce1999	article	completed	journal;volume;number;pages;doi	local review file + Crossref	no	-
Pierce2003	article	completed	journal;volume;number;pages;doi	local text file + Crossref	no	-
Pierce2006	article	completed	journal;volume;number;pages	local text file header	no	-
Kroonen2006	article	completed	title;journal;volume;pages	local PDF first page	no	-
HowellSalmons1988	article	completed	title;journal;year;volume;number;pages	local text file header	no	-
Stiles2012	incollection	completed	entry_type;title;booktitle;editor;pages;publisher;address;doi	local Oxford Scholarship text file + DOI metadata	no	-
Polome1967	article	completed	title;journal;volume;number;pages;doi	local text file + Crossref	no	-
Polome1994	article	completed	journal expansion;pages;doi	local PDF first page + Crossref	no	-
Kylstra1983	article	completed	title;pages	local PDF first page + library/web confirmation	no	-
Hamp1990	incollection	completed	entry_type;title;booktitle;editor;pages;publisher;note	local PDF text and front matter	no	-
vanHelten1905	article	completed	title;journal;volume;number;pages;doi	local PDF + Crossref	no	-
Vine2019	article	completed	title;journal;volume;pages;doi	local text file + DOI metadata	no	-
Mees2020	article	completed	pages;doi	local PDF header	no	-
Stiles2017	unpublished	completed	entry_type;note	local 2017 revised typescript + publication history search	no	-
NeriRingeReview	article	completed	title;journal;volume;pages	local review PDF + targeted web search	no	-
Stiles1985	article	completed	pages;doi	local PDF + Crossref	no	-
Stiles1986a	article	completed	pages;doi	local PDF + Crossref	no	-
Stiles1986b	article	completed	pages;doi	local PDF + Crossref	no	-
Ringe1984	article	completed	journal;volume;number;pages	local OCR file + targeted web search	no	-
Rice1994	article	completed	journal;volume;number;pages;doi	local PDF header	no	-
