manifest_id	entry	source_key	action_taken	locator_added_or_removed	final_status	source_file	notes
CLMM01-0020	fern / fearn	RingeTaylor2014	retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/book_prose/regular_all_01/2008-fern-fearn.book.md	Retained broad after recheck because the remaining Ringe-Taylor support still covers a bundled brightening-plus-breaking statement.
CLMM01-0042	gold / gold	Kroonen2013	sentence_split_and_locator_added	194	locator_added	Germanic/docs/assembly/book_prose/regular_all_01/2043-gold-gold.book.md	Split the mixed-source sentence and localized the Kroonen comparative-headword clause to p. 194.
CLMM01-0067	light / līehtan	BosworthToller1898	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2102-light-līehtan.book.md	Removed the redundant broad Bosworth-Toller support and kept the already localized Clark Hall dictionary evidence.
CLMM01-0079	coat / rocc	BosworthToller1898	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2155-coat-rocc.book.md	Removed the broad Bosworth-Toller garment-entry support because the remaining localized sources already cover the claim.
CLMM01-0080	coat / rocc	BosworthToller1898	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2155-coat-rocc.book.md	Removed the broad Bosworth-Toller garment-versus-stone note and kept the localized Clark Hall support.
CLMM01-0097	still / stillan	KlugeSeebold2011	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2217-still-stillan.book.md	Removed the broad Kluge lexical-framing citation after narrowing the prose to the localized Old English evidence.
CLMM01-0104	sunder / sundrian	BosworthToller1898	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2232-sunder-sundrian.book.md	Removed the broad Bosworth-Toller dictionary support and kept the already localized Orel and Clark Hall claims.
CLMM01-0108	think / þenċan	RingeTaylor2014	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2248-think-þenċan.book.md	Removed the broad Ringe-Taylor clause by tightening the sentence around the localized Kroonen, Campbell, and Hogg support.
CLMM01-0132	way / weġ	Hogg1992	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2277-way-weġ.book.md	Removed the broad handbook background and retained the already localized Ringe-Taylor control citation.
CLMM01-0135	will / willa	KlugeSeebold2011	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2293-will-willa.book.md	Removed the broad Kluge noun-side support because Kroonen and Orel already localize the comparative claim.
CLMM01-0139	wind / windan	RingeTaylor2014	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2294-wind-windan.book.md	Removed the broad handbook aside and kept the localized Kroonen and dictionary evidence for the verb-only framing.
CLMM01-0147	yarn / ġearn	BosworthToller1898	citation_removed		citation_removed	Germanic/docs/assembly/book_prose/regular_all_01/2305-yarn-ġearn.book.md	Removed the redundant broad Bosworth-Toller gloss and kept the localized Clark Hall and comparative sources.
CLMM01-0161	fast / festan	ClarkHall1960	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2004-fast-festan.model.md	Removed the broad Clark Hall citation because Bosworth-Toller 213 already anchors the Old English dictionary evidence.
CLMM01-0186	lap / lappa	KlugeSeebold2011	locator_added	180	locator_added	Germanic/docs/lexeme_reports/model_entries/2090-lap-lappa.model.md	Replaced the broad Kluge citation with localized ClarkHall1960, 180.
CLMM01-0193	laugh / hliehhan	RingeTaylor2014	retained_broad_multi_page_discussion		retained_broad_multi_page_discussion	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	Retained broad because the surviving Ringe-Taylor broken-vowel discussion is still distributed rather than sentence-localizable.
CLMM01-0207	navel / nafola	Ringe2006	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md	Removed the broad literature-note sentence because it was decorative to the OE derivation and not needed after the prose was simplified.
CLMM01-0208	navel / nafola	Mayrhofer1992	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md	Removed the broad literature-note sentence because it was decorative to the OE derivation and not needed after the prose was simplified.
CLMM01-0209	navel / nafola	SieversBrunner1965	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md	Removed the broad literature-note sentence because it was decorative to the OE derivation and not needed after the prose was simplified.
CLMM01-0220	needle / nǣdl	Orel2003	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.model.md	Removed the broad Orel comparative-headword framing and left the entry on the already localized alternant framework.
CLMM01-0295	find / fundene	Luick1914	retained_broad_general_background		retained_broad_general_background	Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.model.md	Luick remains broad paradigm-background support for the participial-analogy claim.
CLMM01-0296	find / fundene	SieversBrunner1965	human_review_needed		human_review_needed	Germanic/docs/lexeme_reports/model_entries/2011-find-fundene.model.md	The remaining Brunner issue is sentence design rather than page recovery and now needs an explicit prose-framing decision.
CLMM01-0322	heaven / heofon	Campbell1959	retained_broad_general_background		retained_broad_general_background	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	The remaining Campbell citation still supports several linked steps at once and would need further atomization to localize safely.
CLMM01-0326	live / lifeþ	ClarkHall1960	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2107-live-lifeþ.model.md	Removed the broad dictionary citations and kept the entry focused on the already localized archaic finite-form evidence.
CLMM01-0332	man / mannes	RingeTaylor2014	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2119-man-mannes.model.md	Removed the broad Ringe-Taylor reconstruction summary and kept the localized Kroonen, Orel, Campbell, and Brunner support.
CLMM01-0340	meed / meorde	RingeTaylor2014	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2124-meed-meorde.model.md	Removed the stale broad Ringe-Taylor comparator note and kept the localized Kroonen, Orel, Fulk, Bright, and Bosworth-Toller support.
CLMM01-0370	thistle / þistles	KlugeSeebold2011	citation_removed		citation_removed	Germanic/docs/lexeme_reports/model_entries/2250-thistle-þistles.model.md	Removed the broad Kluge comparative-headword citation and left the entry on the already localized Orel and Campbell evidence.
