inventory_id	manifest_or_spot_id	entry	source_key	action_taken	outcome_summary	follow_up_needed
AUDIT09-SPOT-0001	AUDIT04-REM-0005	warp / weorpan	RingeTaylor2014	spotcheck_confirmed_safe	Confirmed that pp. 195 and 197 still show the split preterite-versus-infinitive lines and that the prose remains within those pages.	No correction needed.
AUDIT09-SPOT-0002	AUDIT04-REM-0007	fast / festan	RingeTaylor2014	spotcheck_confirmed_safe	Confirmed that p. 110 still states that OE 'to fast' is originally a class-I weak verb and that the narrowed prose matches the clause.	No correction needed.
AUDIT09-SPOT-0003	AUDIT04-REM-0019	world / weorold	SieversBrunner1965	spotcheck_confirmed_safe	Confirmed that §113 still covers the broader OE variant cluster and that the audit-08 evidence row remains accurate.	No correction needed.
AUDIT09-SPOT-0004	AUDIT04-REM-0026	learn (iptv.2sg) / liorna	Fulk2018	spotcheck_confirmed_safe	Confirmed that p. 127 still gives OE liornian 'learn' < *liznō- and that the localized prose stays within the source.	No correction needed.
AUDIT09-SPOT-0005	AUDIT04-REM-0027	lick (iptv.2sg) / licca	RingeTaylor2014	spotcheck_confirmed_safe	Confirmed that p. 50 still gives PWGmc *li/ekkōn > OE liccian, OS likkon, OHG lecchon and that the narrowed prose remains accurate.	No correction needed.
AUDIT09-SPOT-0006	AUDIT04-REM-0028	lick (3sg) / liccaþ	RingeTaylor2014	spotcheck_confirmed_safe	Confirmed that the same p. 50 line still safely supports the companion 3sg entry.	No correction needed.
AUDIT09-ROW-0001	AUDIT04-REM-0001	birth / byrd	Hogg1992	localized_with_locator	Recovered a visible printed page marker and localized the deverbal-setting clause to `Hogg1992, 357`.	No further action on this generated row.
AUDIT09-ROW-0002	AUDIT04-REM-0015	needle / nǣdl	Hogg1992	localized_with_locator	Recovered a visible printed page marker and localized the broader cluster-history clause to `Hogg1992, 95`.	No further action on this generated row.
AUDIT09-ROW-0003	AUDIT04-REM-0020	ban / bannes	Campbell1959	retained_broad_with_final_reason	Campbell still supports the nominative-versus-genitive contrast only through distributed rule discussions rather than one clean locator for the full clause.	Retain broad; defer to human/prose review if further tightening is wanted.
AUDIT09-ROW-0004	AUDIT04-REM-0021	fright / fyrhte	RingeTaylor2014	localized_with_locator_and_reframing	Split the source-backed nominative-remodeling clause from the project inference and localized the external claim to `RingeTaylor2014, 395-396`.	No further action on this generated row.
AUDIT09-ROW-0005	AUDIT04-REM-0024	shove / sċēaf	RingeTaylor2014	retained_broad_with_final_reason	The remaining class-II present-versus-preterite sentence still depends on distributed handbook discussion rather than one page-bound clause.	Retain broad; defer to human/prose review if further tightening is wanted.
AUDIT09-ROW-0006	AUDIT04-REM-0025	span / spanne	SieversBrunner1965	localized_with_locator_and_reframing	Recast the sentence as paradigm background and localized it to `SieversBrunner1965, §252; §255.2`.	No further action on this generated row.
