manifest_id	entry	source_key	current_status	cited_claim_summary	local_source_file_checked	alternate_witnesses_checked	headword_or_rule_found	page_or_section_anchor_found	anchor_reliable	action_taken	new_status	locator_added	source_preparation_needed	notes
CLMM01-0006	bone / bān	BosworthToller1898	source_preparation_needed	Bosworth citation for ordinary OE noun evidence	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt; docs/references/legacy/anglosaxondictio00tolluoft.txt	example-only bān hits, no clean headword		no	citation_removed	resolved		none	Clark Hall 44 already carries the OE noun claim safely; Bosworth was removed after the local witnesses failed to expose a clean headword page.
CLMM01-0023	fly / flēogan	BosworthToller1898	source_preparation_needed	Bosworth citation for ordinary OE strong-verb headword	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt; docs/references/legacy/anglosaxondictio00tolluoft.txt	example-only fleogan hits, no clean simplex headword		no	left_source_preparation_needed	source_preparation_needed		better Bosworth base-dictionary witness or OCR	Current Bosworth witnesses surface examples, not a safely anchorable flēogan headword.
CLMM01-0048	harvest / hierfest	BosworthToller1898	source_preparation_needed	Bosworth citation for hærfest / herfest lexical tradition	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt; docs/references/legacy/anglosaxondictio00tolluoft.txt	scattered herfest examples, no clean headword		no	citation_removed	resolved		none	Clark Hall 158 and 171 already support the lexical-tradition clause, so the unproductive Bosworth citation was removed.
CLMM01-0051	hedge / heġġ	BosworthToller1898	source_preparation_needed	Bosworth citation for hecg / heċġ dictionary evidence	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt; docs/references/legacy/anglosaxondictio00tolluoft.txt	hecg, hegg, e;f. A hedge, fence	495	yes	locator_added	resolved	495		BT PDF exposes a clean printed page header and simplex headword.
CLMM01-0053	hedge / heġġ	BosworthToller1898	source_preparation_needed	Bosworth citation for form note on standard spellings	docs/references/bosworth_toller_anglo_saxon_dictionary.pdf	docs/references/bosworth_toller_anglo_saxon_dictionary.vision.txt; docs/references/legacy/anglosaxondictio00tolluoft.txt	hecg, hegg, e;f. A hedge, fence	495	yes	locator_added	resolved	495		The same BT page safely supports the form-note sentence.
CLMM01-0140	wind / windan	ClarkHall1960	page_markers_unreliable	Clark Hall citation for windan headword	docs/references/clark_hall_concise_anglo_saxon_dictionary.vision.txt	docs/references/clark_hall_concise_anglo_saxon_dictionary.pdf	windan headword recovered earlier	page found but printed numeral still unsafe	no	left_page_markers_unreliable	page_markers_unreliable		better Clark Hall page-exposing witness	Headword evidence exists, but the page number is still not safely exposed in the available Clark Hall layer.
CLMM01-0142	wind / windan	ClarkHall1960	page_markers_unreliable	Companion Clark Hall citation for windan headword	docs/references/clark_hall_concise_anglo_saxon_dictionary.vision.txt	docs/references/clark_hall_concise_anglo_saxon_dictionary.pdf	windan headword recovered earlier	page found but printed numeral still unsafe	no	left_page_markers_unreliable	page_markers_unreliable		better Clark Hall page-exposing witness	Same unresolved Clark Hall anchor problem as the companion row.
CLMM01-0144	wold / weald	ClarkHall1960	page_markers_unreliable	Clark Hall citation for weald / wald / wold family	docs/references/clark_hall_concise_anglo_saxon_dictionary.vision.txt	docs/references/clark_hall_concise_anglo_saxon_dictionary.pdf	weald headword plus variant cross-reference	page found but printed numeral still unsafe	no	left_page_markers_unreliable	page_markers_unreliable		better Clark Hall page-exposing witness	The local Clark Hall evidence is real but still not page-safe.
CLMM01-0145	wold / weald	ClarkHall1960	page_markers_unreliable	Clark Hall citation for variant-note clause	docs/references/clark_hall_concise_anglo_saxon_dictionary.vision.txt	docs/references/clark_hall_concise_anglo_saxon_dictionary.pdf	weald headword plus variant cross-reference	page found but printed numeral still unsafe	no	left_page_markers_unreliable	page_markers_unreliable		better Clark Hall page-exposing witness	Same unresolved Clark Hall anchor problem as the companion row.
CLMM01-0152	brand / brandes	ClarkHall1960	page_markers_unreliable	Clark Hall citation for brand headword	docs/references/clark_hall_concise_anglo_saxon_dictionary.vision.txt	docs/references/clark_hall_concise_anglo_saxon_dictionary.pdf	brand headword recovered earlier	page found but printed numeral still unsafe	no	left_page_markers_unreliable	page_markers_unreliable		better Clark Hall page-exposing witness	The headword is known, but the available Clark Hall witness still does not expose a safe printed page number.
