inventory_id	manifest_or_spot_id	entry	source_key	action_taken	outcome_summary	follow_up_needed
AUDIT06-ROW-0001	AUDIT04-REM-0001	birth / byrd	Hogg1992	retained_broad_with_source_specific_reason	Retained the broad Hogg citation because the deverbal-feminine background remains a distributed handbook discussion.	Keep the broad handbook citation unless the sentence is split to isolate the exact deverbal-feminine point.
AUDIT06-ROW-0002	AUDIT04-REM-0002	still / stillan	KlugeSeebold2011	source_witness_needed	Reconfirmed the Kluge still/stillen family note as witness-blocked: the local OCR confirms the entry family, but no paginated Kluge witness is available.	Use a paginated Kluge-Seebold witness or another page-labeled comparative dictionary for the same entry.
AUDIT06-ROW-0003	AUDIT04-REM-0003	still / stillan	KlugeSeebold2011	source_witness_needed	Reconfirmed the adjective-versus-verb Kluge still/stillen note as witness-blocked for the same pagination reason.	Use a paginated Kluge-Seebold witness or recast the family note around already localized sources only.
AUDIT06-ROW-0004	AUDIT04-REM-0004	think / þenċan	BosworthToller1898	locator_added	Localized the Bosworth-Toller citation in `think / þenċan` to `442` after confirming the printed page marker and the `ge-pencan` headword block.	No further action on this generated row in audit 06.
AUDIT06-ROW-0005	AUDIT04-REM-0005	warp / weorpan	RingeTaylor2014	retained_broad_with_source_specific_reason	Retained the broad Ringe-Taylor citation because the preterite-versus-infinitive distinction remains distributed across the class discussion.	Retain broad unless the preterite/infinitive contrast is split from the rest of the derivational sentence.
AUDIT06-ROW-0006	AUDIT04-REM-0006	fast / festan	Kroonen2013	locator_added	Localized the Kroonen citation in `fast / festan` to `171` and tightened the sentence to the page-safe `*fastu-` / `*fasten-` wording actually shown by the witness.	No further action on this generated row in audit 06.
AUDIT06-ROW-0007	AUDIT04-REM-0007	fast / festan	RingeTaylor2014	retained_broad_with_source_specific_reason	Retained the broad Ringe-Taylor class-history citation for fast because no safer page was recovered.	Retain broad unless a safer page for the class-history clause is recovered.
AUDIT06-ROW-0008	AUDIT04-REM-0009	knight / cniht	KlugeSeebold2011	source_witness_needed	Reconfirmed the Kluge `*knehta-` citation as witness-blocked: the local OCR confirms the family, but no paginated witness is available.	Use a paginated Kluge-Seebold witness or another page-labeled comparative dictionary for the same family.
AUDIT06-ROW-0009	AUDIT04-REM-0011	loam / lām	Orel2003	locator_added	Localized the Orel loam-family citation in `loam / lām` to `272` after confirming the printed page marker and the `*laimōn ... OE neut. lám` entry.	No further action on this generated row in audit 06.
AUDIT06-ROW-0010	AUDIT04-REM-0012	loam / lām	BosworthToller1898	source_preparation_needed	Retained the broad Bosworth-Toller citation: the local search recovered page-safe `clām` on p. 139, but not a page-safe `lām` headword.	Recover a page-image/base-dictionary witness that shows `lām` with a printed page, or keep the broad corroborating citation pending better source preparation.
AUDIT06-ROW-0011	AUDIT04-REM-0013	neck / hnecca	KlugeSeebold2011	source_witness_needed	Reconfirmed the Kluge neck-family citation as witness-blocked pending a paginated witness.	Use a paginated Kluge-Seebold witness for the `Nacken` entry.
AUDIT06-ROW-0012	AUDIT04-REM-0014	neck / hnecca	Orel2003	locator_added	Localized the Orel neck-family citation in `neck / hnecca` to `218` after confirming the printed page marker and the `*xnakkaz *xnakkōn` entry.	No further action on this generated row in audit 06.
AUDIT06-ROW-0013	AUDIT04-REM-0015	needle / nǣdl	Hogg1992	retained_broad_with_source_specific_reason	Retained the broad Hogg citation because the needle cluster history remains a distributed handbook discussion.	Keep the broad handbook citation unless the historical-background sentence is split further.
AUDIT06-ROW-0014	AUDIT04-REM-0016	sieve / sife	KlugeSeebold2011	source_witness_needed	Reconfirmed the Kluge sieve-family citation as witness-blocked pending a paginated witness.	Use a paginated Kluge-Seebold witness for the sieve entry.
AUDIT06-ROW-0015	AUDIT04-REM-0017	world / weorold	Orel2003	locator_added	Localized the Orel world-family citation in `world / weorold` to `501` after confirming the printed page marker and the `*wira-aldiz ... OE weor-old` entry.	No further action on this generated row in audit 06.
AUDIT06-ROW-0016	AUDIT04-REM-0018	world / weorold	KlugeSeebold2011	source_witness_needed	Reconfirmed the Kluge world-family citation as witness-blocked pending a paginated witness.	Use a paginated Kluge-Seebold witness for the world-family entry.
AUDIT06-ROW-0017	AUDIT04-REM-0019	world / weorold	SieversBrunner1965	retained_broad_with_source_specific_reason	Retained the broad Sievers-Brunner world-form-set citation because the variant cluster remains distributed across the paradigm discussion.	Retain broad unless the variant-set sentence is split into a narrower localized clause.
AUDIT06-ROW-0018	AUDIT04-REM-0020	ban / bannes	Campbell1959	retained_broad_with_source_specific_reason	Retained the broad Campbell citation for `ban / bannes` because the nominative-versus-genitive contrast still bundles multiple rule steps.	Retain broad unless a safer Campbell section for the nominative simplification clause is recovered.
