audit_id	prepass_manifest_id	entry	source_key	prepass_citation_span	action_taken	source_passage_checked	locator_or_reason	appears_in_generated_after	postpass_status	notes
AUDIT03-ROW-0001	AUDIT02-REM-0001	birth / byrd	Hogg1992	[@Hogg1992]	retained_broad_with_source_specific_reason	Rechecked Hogg’s broader deverbal-feminine background for simplex _byrd_ and its prefixed relatives.	This surviving Hogg1992 citation still supports the broader deverbal-feminine background behind simplex _byrd_ and its prefixed relatives.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT03-ROW-0002	AUDIT02-REM-0002	forlorn / lēosan	RingeTaylor2014	[@RingeTaylor2014]	locator_added	Verified Ringe-Taylor page marker in the prefixed verb table for _forlēosan / forloren_.	Localized to `[@RingeTaylor2014, 357]`.	no	resolved_in_audit03	Converted the last broad Ringe-Taylor clause to page-specific support.
AUDIT03-ROW-0003	AUDIT02-REM-0003	smear / smierwan	RingeTaylor2014	[@RingeTaylor2014; @ClarkHall1960, 283]	locator_added	Verified the Ringe-Taylor page marker for WS _smierwan_ versus Mercian/Northumbrian forms.	Localized to `[@RingeTaylor2014, 263]`.	no	resolved_in_audit03	The dialect note now rests on a printed-page derivation line.
AUDIT03-ROW-0004	AUDIT02-REM-0004	still / stillan	KlugeSeebold2011	[@KlugeSeebold2011]	retained_broad_with_source_specific_reason	Rechecked the unpaginated Kluge witness for the wider _still/stillen_ family.	Kluge still supports the wider West Germanic _still/stillen_ family here, but the local OCR witness remains unpaginated.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated Kluge-Seebold witness is available or localized comparative support fully replaces it.
AUDIT03-ROW-0005	AUDIT02-REM-0005	still / stillan	KlugeSeebold2011	[@ClarkHall1960, 292; @KlugeSeebold2011]	retained_broad_with_source_specific_reason	Rechecked the unpaginated Kluge witness for the adjective-versus-verb family framing.	Kluge still supports the adjective-versus-verb family framing in this form note, but the local OCR witness remains unpaginated.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated Kluge-Seebold witness is available or the family note is recast around localized sources only.
AUDIT03-ROW-0006	AUDIT02-REM-0006	think / þenċan	BosworthToller1898	[@BosworthToller1898]	retained_broad_with_source_specific_reason	Rechecked Bosworth-Toller for a page-safe _þencan_ headword witness and did not recover one.	The Bosworth-Toller citation still supplies distinct Old English headword support for _þenċan_, and no page-safe headword witness was recovered in this pass.	yes	remaining_generated_broad	Keep the broad dictionary citation until a page-safe Bosworth-Toller headword witness is recovered or the clause is recast around localized evidence.
AUDIT03-ROW-0007	AUDIT02-REM-0007	town / tūn	SieversBrunner1965	[@SieversBrunner1965]	locator_added	Verified Brunner §71 for inherited West Germanic ū > OE ū in _tūn_.	Localized to `[@SieversBrunner1965, §71]`.	no	resolved_in_audit03	The preserved-long-ū clause is now section-specific.
AUDIT03-ROW-0008	AUDIT02-REM-0008	warp / weorpan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked the preterite-versus-infinitive distinction for _weorpan_ and left the combined claim broad.	This Ringe-Taylor citation still carries the preterite-versus-infinitive distinction behind the selected verbal input _*wérpaną_, and that discussion was not isolated to a safer page in this pass.	yes	remaining_generated_broad	Retain broad for now and isolate the exact Ringe-Taylor page if the sentence is kept in its current form.
AUDIT03-ROW-0009	AUDIT02-REM-0009	three / þrīe	Kroonen2013	[@Kroonen2013]	retained_broad_with_source_specific_reason	Rechecked the Kroonen numeral staging clause for _þrīe_ and did not recover a safely isolated article page.	The Kroonen citation still marks the broader numeral headword behind the selected _*θréjez_ cell, but the exact article page was not verified safely in this pass.	yes	remaining_generated_broad	Recover the exact Kroonen article page or soften the sentence to explicit project staging.
AUDIT03-ROW-0010	AUDIT02-REM-0010	breast / brēost	Campbell1959	[@Campbell1959]	locator_added	Verified Campbell §115 for the _eu > ēo_ clause in the _brēost_ development sentence.	Localized to `[@Campbell1959, §115]`.	no	resolved_in_audit03	The development sentence now cites the specific vowel-history section.
AUDIT03-ROW-0011	AUDIT02-REM-0011	dill / dile	Kroonen2013	[@Kroonen2013]	citation_removed_as_redundant	The broader i-stem/ja-stem contrast is now covered by localized Fulk evidence plus localized OE dictionaries.	Removed the redundant broad Kroonen citation from the _dile_ entry.	no	resolved_in_audit03	The comparative clause was rewritten so the remaining evidence stays localized.
AUDIT03-ROW-0012	AUDIT02-REM-0012	dill / dile	Fulk2018	[@Fulk2018]	locator_added	Verified Fulk p. 170 for _dili_ beside OS _dilli_ and the transferred ja-stem background.	Localized to `[@Fulk2018, 170]`.	no	resolved_in_audit03	Both dill sentences now use the same page-specific Fulk support.
AUDIT03-ROW-0013	AUDIT02-REM-0013	fast / festan	Kroonen2013	[@Kroonen2013]	retained_broad_with_source_specific_reason	Rechecked the Kroonen _*fastēną_ family clause and kept it as broader staging support.	The Kroonen citation still supplies only the broader _*fastēną_ family framing rather than the direct Old English class-I verb evidence.	yes	remaining_generated_broad	Either recover the exact Kroonen article page or soften the comparative-family sentence further.
AUDIT03-ROW-0014	AUDIT02-REM-0014	fast / festan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked the Ringe-Taylor class-history clause for _festan_ and kept it broad.	The Ringe-Taylor citation still supports the class-history distinction between the wider _*fastēną_ family and the class-I verb reflected in Old English.	yes	remaining_generated_broad	Isolate the exact Ringe-Taylor page for the class-history clause if the sentence remains combined.
AUDIT03-ROW-0015	AUDIT02-REM-0015	fast / festan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked the analogical _æ_-form clause for _festan_ and kept it broad pending safer isolation.	The remaining Ringe-Taylor citation still carries the analogical _æ_-form discussion behind _fæstan_ versus inherited _festan_.	yes	remaining_generated_broad	Either isolate the exact analogical-leveling page or soften the sentence to explicit project framing.
AUDIT03-ROW-0016	AUDIT02-REM-0016	gall / ġealla	Campbell1959	[@Campbell1959]	locator_added	Verified Campbell §486 for the WS _gealla_ versus Anglian _galla_ contrast.	Localized to `[@Campbell1959, §486]`.	no	resolved_in_audit03	The dialect note now cites the explicit section containing _gealla_ / _galla_.
AUDIT03-ROW-0017	AUDIT02-REM-0017	gall / ġealla	Campbell1959	[@Campbell1959]	locator_added	Verified Campbell §486 for the breaking environment that yields _ġealla_.	Localized to `[@Campbell1959, §486]`.	no	resolved_in_audit03	The development sentence now cites the exact section used in the note above.
AUDIT03-ROW-0018	AUDIT02-REM-0018	knight / cniht	KlugeSeebold2011	[@KlugeSeebold2011]	retained_broad_with_source_specific_reason	Rechecked Kluge’s _*knehta-_ support and confirmed the witness is still unpaginated.	Kluge still corroborates the _*knehta-_ family behind _cniht_, but the local OCR witness remains unpaginated.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated Kluge-Seebold witness is available.
AUDIT03-ROW-0019	AUDIT02-REM-0019	lade / hladan	Kroonen2013	[@Kroonen2013]	citation_removed_as_redundant	The direct OE strong-verb line is already localized to Ringe-Taylor 248, so the broader Kroonen family label is not needed in current prose.	Removed the redundant broad Kroonen citation from the _hladan_ entry.	no	resolved_in_audit03	The sentence now marks `*laθōjaną` only as a project family heading.
AUDIT03-ROW-0020	AUDIT02-REM-0020	lap / lappa	SieversBrunner1965	[@SieversBrunner1965]	retained_broad_with_source_specific_reason	Rechecked the weak-masculine background for _lappa_ and left the Sievers-Brunner citation broad.	The Sievers-Brunner citation still carries the weak-masculine background for the selected _lappa_ outcome, but the exact supporting section was not isolated safely in this pass.	yes	remaining_generated_broad	Retain broad for now or recast the sentence to rely only on already localized Campbell and dictionary evidence.
AUDIT03-ROW-0021	AUDIT02-REM-0021	loam / lām	Orel2003	[@Orel2003; @Kroonen2013, 363]	retained_broad_with_source_specific_reason	Rechecked Orel for a page-safe _lām_ article and did not recover one.	The remaining Orel citation still supports the comparative _*laimōn_ / _*laiman-_ family behind _lām_, but the exact article page was not recovered safely.	yes	remaining_generated_broad	Recheck Orel with a tighter article search or soften the comparative-family sentence.
AUDIT03-ROW-0022	AUDIT02-REM-0022	loam / lām	BosworthToller1898	[@BosworthToller1898; @ClarkHall1960, 196]	retained_broad_with_source_specific_reason	Rechecked Bosworth-Toller for a page-safe _lām_ headword witness and did not recover one.	The remaining Bosworth-Toller citation still provides corroborating Old English dictionary support for _lām_, but no page-safe headword witness was recovered.	yes	remaining_generated_broad	Either recover a Bosworth-Toller page-safe lemma citation or leave the corroborating dictionary support broad.
