audit_id	prepass_manifest_id	entry	source_key	prepass_citation_span	action_taken	source_passage_checked	locator_or_reason	appears_in_generated_after	postpass_status	notes
AUDIT02-ROW-0001	AUDIT01-REM-0001	birth / byrd	Hogg1992	[@Hogg1992]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving Hogg1992 citation still supports the broader deverbal-feminine background behind simplex _byrd_ and its prefixed relatives.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0002	AUDIT01-REM-0002	fly / flēogan	BosworthToller1898	[@BosworthToller1898]	citation_removed_as_redundant	No fresh Bosworth-Toller locator was needed here because Clark Hall 106 and Bright 363 already establish the OE verb and paradigm.	Removed the redundant broad Bosworth-Toller support and left the localized Clark Hall and Bright citations in place.	no	resolved_in_audit02	Removed the redundant broad Bosworth-Toller support and left the localized Clark Hall and Bright citations in place.
AUDIT02-ROW-0003	AUDIT01-REM-0003	forlorn / lēosan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: Kroonen reconstructs the verb under _\*leusan-_ and cites prefixed daughters such as Gothic _fra-liusan_ and Old English _for-lēosan_; Orel likewise gives Old English _for-leósan_ [@Kroonen2013, 374; @Orel2003, 282].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0004	AUDIT01-REM-0004	gang / gang	Orel2003	[@Orel2003]	locator_added	Checked Orel p. 164: `*zanzaz I sb.m. ... OE 3anz` (OCR z-for-g).	Localized the comparative noun citation to `[@Orel2003, 164]`.	no	resolved_in_audit02	Localized the comparative noun citation to `[@Orel2003, 164]`.
AUDIT02-ROW-0005	AUDIT01-REM-0005	shilling / sċilling	Kroonen2013	[@Kroonen2013; @Orel2003, 377]	sentence_split_and_locator_added	Checked Kroonen p. 482: `OE scilling ... continuing *skeld-linga-`.	Rewrote the sentence to retain only the page-supported `*skeld-linga-` analysis and localized it to `[@Kroonen2013, 482]`.	no	resolved_in_audit02	Rewrote the sentence to retain only the page-supported `*skeld-linga-` analysis and localized it to `[@Kroonen2013, 482]`.
AUDIT02-ROW-0006	AUDIT01-REM-0006	shilling / sċilling	Kroonen2013	[@Kroonen2013]	locator_added	Checked Kroonen p. 482 for the retained `*skeld-linga-` background note.	Localized the form note to `[@Kroonen2013, 482]`.	no	resolved_in_audit02	Localized the form note to `[@Kroonen2013, 482]`.
AUDIT02-ROW-0007	AUDIT01-REM-0007	smear / smierwan	RingeTaylor2014	[@RingeTaylor2014; @ClarkHall1960, 283]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports the West Saxon versus Anglian/Mercian dialect split within the _smierwan_ family.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0008	AUDIT01-REM-0008	still / stillan	KlugeSeebold2011	[@KlugeSeebold2011]	citation_restored_or_retained_broad	Verified in the local Kluge OCR around the `still` and derived `stillen` entries; the witness lacks printable page labels or a page map.	Source content was verified in the local Kluge OCR witness, but the available text preserves no printable page labels or page map.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated witness of Kluge-Seebold is available.
AUDIT02-ROW-0009	AUDIT01-REM-0009	still / stillan	KlugeSeebold2011	[@ClarkHall1960, 292; @KlugeSeebold2011]	citation_restored_or_retained_broad	Verified in the local Kluge OCR around the `still` and derived `stillen` entries; the witness lacks printable page labels or a page map.	Source content was verified in the local Kluge OCR witness, but the available text preserves no printable page labels or page map.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated witness of Kluge-Seebold is available.
AUDIT02-ROW-0010	AUDIT01-REM-0010	think / þenċan	BosworthToller1898	[@BosworthToller1898]	retained_broad_with_precise_reason	Searched Bosworth-Toller for `þencan` / `geþencan`; the current witness yielded running-text hits but no safely reusable headword-page anchor.	The surviving broad dictionary citation still supports the OE headword clause, but this pass did not recover a page-safe headword witness.	yes	remaining_generated_broad	Keep the broad dictionary citation until a page-safe headword witness is recovered or the OE-form clause is recast around an already localized source.
AUDIT02-ROW-0011	AUDIT01-REM-0011	town / tūn	SieversBrunner1965	[@SieversBrunner1965]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving SieversBrunner1965 citation still supports a combined scholarly claim rather than a single isolated fact: Kroonen cites _\*tūna-_ 'fenced area', while Orel gives _\*tūnan_ ~ _\*tūnaz_ [@Kroonen2013, 566; @Orel2003, 452].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0012	AUDIT01-REM-0012	warp / weorpan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_precise_reason	No fresh claim-by-claim page recovery was completed in audit 02; the row was retained after sentence-level triage against the current prose.	This surviving RingeTaylor2014 citation still supports a combined scholarly claim rather than a single isolated fact: Ringe and Taylor distinguish preterite _\*warp_ from infinitive _\*werpana_, and the selected input here is the verbal form _\*wérpaną_ [@RingeTaylor2014].	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT02-ROW-0013	AUDIT01-REM-0013	three / þrīe	Kroonen2013	[@Kroonen2013]	retained_broad_with_precise_reason	No fresh page recovery was completed in audit 02 after row-level triage of the current comparative-headword sentence.	This surviving Kroonen2013 citation now sits only on comparative-headword or staging prose: Kroonen cites the numeral under a broader stem-style reconstruction rather than under one Old English-ready paradigm cell [@Kroonen2013].	yes	remaining_generated_broad	Either recover the exact article page or soften the sentence to explicit project framing.
