audit_id	category	prepass_manifest_id	entry	source_key	prepass_citation_span	action_taken	source_passage_checked	locator_or_reason	appears_in_generated_after	postpass_status	notes
AUDIT04-ROW-0001	generated_row	AUDIT03-REM-0001	birth / byrd	Hogg1992	[@Hogg1992]	retained_broad_with_source_specific_reason	Rechecked Hogg’s broader deverbal-feminine background for simplex _byrd_ and its prefixed relatives.	This surviving Hogg1992 citation still supports the broader deverbal-feminine background behind simplex _byrd_ and its prefixed relatives.	yes	remaining_generated_broad	Split the sentence or isolate the exact rule/example before adding a page or section locator.
AUDIT04-ROW-0002	generated_row	AUDIT03-REM-0002	still / stillan	KlugeSeebold2011	[@KlugeSeebold2011]	source_witness_needed	Rechecked the unpaginated Kluge witness for the wider _still/stillen_ family.	Kluge still supports the wider West Germanic _still/stillen_ family here, but the local OCR witness remains unpaginated.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated Kluge-Seebold witness is available or localized comparative support fully replaces it.
AUDIT04-ROW-0003	generated_row	AUDIT03-REM-0003	still / stillan	KlugeSeebold2011	[@ClarkHall1960, 292; @KlugeSeebold2011]	source_witness_needed	Rechecked the unpaginated Kluge witness for the adjective-versus-verb family framing.	Kluge still supports the adjective-versus-verb family framing in this form note, but the local OCR witness remains unpaginated.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated Kluge-Seebold witness is available or the family note is recast around localized sources only.
AUDIT04-ROW-0004	generated_row	AUDIT03-REM-0004	think / þenċan	BosworthToller1898	[@BosworthToller1898]	source_witness_needed	Rechecked Bosworth-Toller for a page-safe _þencan_ headword witness and confirmed that the current multi-column OCR witness still does not bind the headword to a safe printed page.	Bosworth-Toller still supplies distinct Old English headword support for _þenċan_, but the local multi-column OCR witness does not bind the relevant headword to a page safely enough to localize it.	yes	remaining_generated_broad	Recover a page-safe Bosworth-Toller headword witness or keep the broad dictionary support as corroboration.
AUDIT04-ROW-0005	generated_row	AUDIT03-REM-0005	warp / weorpan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked the preterite-versus-infinitive distinction for _weorpan_ and left the combined claim broad.	This Ringe-Taylor citation still carries the preterite-versus-infinitive distinction behind the selected verbal input _*wérpaną_, and that discussion was not isolated to a safer page in this pass.	yes	remaining_generated_broad	Retain broad for now and isolate the exact Ringe-Taylor page if the sentence is kept in its current form.
AUDIT04-ROW-0006	generated_row	AUDIT03-REM-0006	three / þrīe	Kroonen2013	[@Kroonen2013]	locator_added	Verified Kroonen p. 586 for the cardinal numeral entry `*pri-` with the inflectional line `nom. *priz, acc. prins, f. *prīōz, n. *þriō`.	Localized to `[@Kroonen2013, 586]`.	no	resolved_in_audit04	The broader stem-style Kroonen clause is now page-specific.
AUDIT04-ROW-0007	generated_row	AUDIT03-REM-0007	fast / festan	Kroonen2013	[@Kroonen2013]	retained_broad_with_source_specific_reason	Rechecked Kroonen and confirmed that the relevant material is framed through adjective `*fastu-` and secondary derived verb `*fasten-`, not through a clean standalone entry for the selected OE comparison.	Kroonen treats this family through adjective _*fastu-_ and secondary derived verb _*fasten-_, not through a clean standalone entry that directly localizes the class-I Old English verb claim used here.	yes	remaining_generated_broad	Keep the broad Kroonen citation for family framing unless the prose is softened further or a better comparative witness is found.
AUDIT04-ROW-0008	generated_row	AUDIT03-REM-0008	fast / festan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked the Ringe-Taylor class-history clause for _festan_ and kept it broad.	The Ringe-Taylor citation still supports the class-history distinction between the wider _*fastēną_ family and the class-I verb reflected in Old English.	yes	remaining_generated_broad	Isolate the exact Ringe-Taylor page for the class-history clause if the sentence remains combined.
AUDIT04-ROW-0009	generated_row	AUDIT03-REM-0009	fast / festan	RingeTaylor2014	[@RingeTaylor2014]	retained_broad_with_source_specific_reason	Rechecked the analogical _æ_-form clause for _festan_ and kept it broad pending a safer isolated page.	The remaining Ringe-Taylor citation still carries the analogical _æ_-form discussion behind _fæstan_ versus inherited _festan_.	yes	remaining_generated_broad	Either isolate the exact analogical-leveling page or soften the sentence to explicit project framing.
AUDIT04-ROW-0010	generated_row	AUDIT03-REM-0010	knight / cniht	KlugeSeebold2011	[@KlugeSeebold2011]	source_witness_needed	Rechecked Kluge’s _*knehta-_ support and confirmed that the local witness remains unpaginated.	Kluge still corroborates the _*knehta-_ family behind _cniht_, but the local OCR witness remains unpaginated.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated Kluge-Seebold witness is available.
AUDIT04-ROW-0011	generated_row	AUDIT03-REM-0011	lap / lappa	SieversBrunner1965	[@SieversBrunner1965]	retained_broad_with_source_specific_reason	Rechecked the weak-masculine background for _lappa_ and left the Sievers-Brunner citation broad.	The Sievers-Brunner citation still carries the weak-masculine background for the selected _lappa_ outcome, but the exact supporting section was not isolated safely in this pass.	yes	remaining_generated_broad	Retain broad for now or recast the sentence to rely only on already localized Campbell and dictionary evidence.
AUDIT04-ROW-0012	generated_row	AUDIT03-REM-0012	loam / lām	Orel2003	[@Orel2003; @Kroonen2013, 363]	source_witness_needed	Rechecked Orel for a page-safe _lām_ article and did not recover one in the available witness.	Orel still provides useful comparative support for the _*laimōn_ / _*laiman-_ loam family, but this pass did not recover a page-safe article in the available witness.	yes	remaining_generated_broad	Recover a page-safe Orel article or leave the comparative-family citation broad.
AUDIT04-ROW-0013	generated_row	AUDIT03-REM-0013	loam / lām	BosworthToller1898	[@BosworthToller1898; @ClarkHall1960, 196]	source_witness_needed	Rechecked Bosworth-Toller for a page-safe _lām_ headword witness and confirmed that the current witness still does not bind the headword to a safe printed page.	Bosworth-Toller still provides corroborating Old English dictionary support for _lām_, but the available OCR witness does not tie the headword to a page safely enough to localize it.	yes	remaining_generated_broad	Recover a page-safe Bosworth-Toller headword witness or keep the broad corroborating dictionary citation.
AUDIT04-ROW-0014	generated_row	AUDIT03-REM-0014	neck / hnecca	KlugeSeebold2011	[@KlugeSeebold2011]	source_witness_needed	Rechecked Kluge for the _Nacken_ comparison and confirmed that the local witness remains unpaginated.	Kluge still supplies the a-grade _Nacken_ family comparison for _hnecca_, but the local OCR witness remains unpaginated.	yes	remaining_generated_broad	Keep the broad citation openly until a paginated Kluge-Seebold witness is available.
AUDIT04-ROW-0015	generated_row	AUDIT03-REM-0015	neck / hnecca	Orel2003	[@Orel2003]	source_witness_needed	Rechecked Orel for a page-safe neck-family article and did not recover one in the available witness.	The remaining Orel citation still marks the competing a-grade comparative label for the neck family, but the exact article page was not recovered safely.	yes	remaining_generated_broad	Retain broad for now and revisit with a better Orel article recovery.
AUDIT04-ROW-0016	generated_row	AUDIT03-REM-0016	needle / nǣdl	Hogg1992	[@Hogg1992]	retained_broad_with_source_specific_reason	Rechecked Hogg’s broader cluster-history discussion for _nidi_ / _nǣdl_.	The Hogg citation still provides broader cluster-history background for _nidi_ / _nǣdl_, rather than simple dictionary attestation.	yes	remaining_generated_broad	Retain broad for now or split the historical background away from the localized OE attestation.
