issue_type	entry	bad_output	corrected_output	source_layer	file_changed	status	notes
tilde-spacing	heaven / heofon	*hemina-*~ *hemna-*	*hemina- ~ *hemna-	assembly print-normalization on model prose	Germanic/docs/assembly/build_full_lexical_volume.py	fixed	Normalized by stripping the stray stem-final print asterisk and enforcing spaced alternatives before inline-form conversion.
tilde-spacing	water / wæter	*watar-~*watan-	*watar- ~ *watan-	assembly print-normalization on model prose	Germanic/docs/assembly/build_full_lexical_volume.py	fixed	Applied by the generic tilde-spacing rule in normalize_print_text.
tilde-spacing	follow / fylġan	potential unspaced alternative notation around ~	PNWGmc *fulgija- ~ *fulgai- > OE fylgan ~ folgian	assembly print-normalization / verification	Germanic/docs/assembly/build_full_lexical_volume.py	verified	Current compact output now shows spaced alternatives in prose and no raw *~/~* artifacts remain.
print-form-normalization	withy / wīþiġ	*wḯθagą	*wī́θagą	assembly print-normalization on forms	Germanic/docs/assembly/build_full_lexical_volume.py	fixed	Reader-facing output now uses ī + combining acute while internal source notation remains unchanged.
print-form-normalization	whine / hwīnan	*xwḯnaną	*xwī́naną	assembly print-normalization on forms	Germanic/docs/assembly/build_full_lexical_volume.py	fixed	Applied in derivation summary, trace, and prose rendering.
print-form-normalization	swine / swīn	*swḯną	*swī́ną	assembly print-normalization on forms	Germanic/docs/assembly/build_full_lexical_volume.py	fixed	Applies to both regular prose and trace output.
print-form-normalization	tide / tīd	*tḯdiz	*tī́diz	assembly print-normalization on forms	Germanic/docs/assembly/build_full_lexical_volume.py	fixed	Applies to derivation summary, prose, and trace rows.
stem-type-phrase	withy / wīþiġ	*wīþja--type / *wīþja-_-type	a comparative headword of the *wīþja- type	model prose + assembly print-normalization	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md; Germanic/docs/assembly/build_full_lexical_volume.py	fixed	Reworded the prose sentence and retained the table row as a normal spaced stem-type phrase.
stage-label-typo	breeches / brēċ	PNWGmce *brokiz > *breeci > OE bréc	PNWGmc *brokiz > *breeci > OE bréc	regular book-prose source + output regression check	Germanic/docs/assembly/book_prose/regular_all_01/1969-breeches-brēċ.book.md; Germanic/docs/lexeme_reports/model_entries/1969-breeches-brēċ.model.md; Germanic/docs/assembly/build_full_lexical_volume.py	fixed	Added a build-time regression check requiring the normalized breeches phrase in the assembled output.
trace-spacing	shilling / sċilling	PGmc Final Z Deletion*skíllinga	PGmc Final Z / Deletion    *skíllinga (visually separated)	trace render layout	Germanic/docs/assembly/build_full_lexical_volume.py	fixed	Narrow trace columns no longer force this long label into \\mbox; on page 17 the label wraps and the first-line word boxes show a positive 35.16-unit gap before *skíllinga.
