manifest_id	entry	class_bucket	source_key	current_status	current_citation_span	surrounding_sentence	source_layer	local_sources_checked	external_or_alternate_sources_checked	search_terms_used	passage_found	page_or_section_verified	action_taken	locator_added	new_status	file_changed	notes
CLMM01-0023	fly / flēogan	regular	BosworthToller1898	retained_broad_general_background	[@BosworthToller1898]	Ringe and Taylor derive the verb as _\*fleugana_ > OE _fléogan_ and elsewhere contrast West Saxon _fléogan_ with Anglian _flégan_, alongside related forms _fléoge_ / _flége_ [@RingeTaylor2014, 189, 324]. The selected input _\*fléuganą_ represents that inherited strong verb in the notation used here. Bosworth-Toller records _flēogan_ as the ordinary Old English strong verb [@BosworthToller1898]. Clark Hall likewise records _flēogan_ [@ClarkHall1960, 106]. Bright gives the familiar paradigm _flēag_, flugon, flogen with present _fleogeð_ [@BrightCassidyRingler1971, 363]. From _\*fléuganą_, Old English diphthong leveling gives _\*flēoganą_; heavy-syllable nasal apocope and weak-tail reduction then yield _flēogan_ [@RingeTaylor2014, 189].	regular_book_prose	docs/references/legacy/anglosaxondictio00tolluoft.txt		fly	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
CLMM01-0052	hedge / heġġ	regular	ClarkHall1960	retained_broad_general_background	[@ClarkHall1960]	The selected input models a palatal _\*-gj-_ noun whose Old English development includes gemination, palatalization, and i-mutation. The current derivation therefore reaches a palatal-geminate outcome of the _heġġ_ type [@Campbell1959]. Bosworth-Toller records the noun under the standard spelling _hecg_ [@BosworthToller1898, 495], while Clark Hall preserves related lexicographic material under _heċġ_ / _hecg_ [@ClarkHall1960]. From _\*xágjaz_, West Germanic j-gemination first yields a geminate stop, and later Old English palatalization and loss of final _j_ produce _heġġ_.	regular_book_prose	docs/references/legacy/aconciseanglosa01hallgoog.txt		hedge	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
CLMM01-0054	hedge / heġġ	regular	ClarkHall1960	retained_broad_general_background	[@BosworthToller1898, 495; @ClarkHall1960]	Form note. Standard dictionary spelling is _heċġ_ or _hecg_. Normalized _heġġ_ is the selected target here, while the ordinary lexicographic forms remain the main Old English citation evidence [@BosworthToller1898, 495; @ClarkHall1960].	regular_book_prose	docs/references/legacy/aconciseanglosa01hallgoog.txt		hedge	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
CLMM01-0061	lead / lǣdan	regular	BosworthToller1898	retained_broad_general_background	[@ClarkHall1960, 194; @BosworthToller1898]	Ringe and Taylor derive Old English _lǣdan_ from Proto-Germanic _\*laidijaną_, and Kroonen likewise cites a weak verb of the _\*laidjan-_ type for 'lead' [@RingeTaylor2014, 249; @Kroonen2013, 363]. Clark Hall and Bosworth-Toller both record _lædan_ / _lǣdan_ as the ordinary Old English verb 'to lead, guide, conduct' [@ClarkHall1960, 194; @BosworthToller1898]. The selected form is the ordinary infinitive citation form. From _\*láidijaną_, monophthongization of _\*ai_ first gives a _\*lād-_ stage, and later syncope, i-mutation, weak-tail reduction, and loss of _j_ after a heavy stem yield _lǣdan_ [@RingeTaylor2014, 249].	regular_book_prose	docs/references/legacy/anglosaxondictio00tolluoft.txt		lead	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
CLMM01-0067	light / līehtan	regular	BosworthToller1898	retained_broad_general_background	[@ClarkHall1960, 204; @BosworthToller1898]	Fulk gives Proto-Germanic _\*liuxtijanan_ with Old English _līehtan_ 'illuminate', and Ringe and Taylor likewise derive West Saxon _liehtan_ from the same weak-verb formation [@Fulk2018, 81; @RingeTaylor2014, 264]. Clark Hall and Bosworth-Toller preserve the verb family under spellings such as _liehtan_, _lihtan_, and _līhtan_, distinct from the related noun _lēoht_ and adjective _leoht/liht_ [@ClarkHall1960, 204; @BosworthToller1898]. From _\*léuxtijaną_, the regular verbal line preserves _\*xt_, passes through a West Saxon _liehtan_ stage, and is represented here by normalized _līehtan_.	regular_book_prose	docs/references/legacy/anglosaxondictio00tolluoft.txt		light	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
CLMM01-0079	coat / rocc	regular	BosworthToller1898	retained_broad_general_background	[@ClarkHall1960, 259; @BosworthToller1898]	Orel cites a masculine _\*rukkaz_ for the garment word, while Kroonen gives _\*hrukka-_. Both treat this as the garment lexeme and not as the separate stone word [@Orel2003, 347; @Kroonen2013, 290]. Clark Hall and Bosworth-Toller record _rocc_ as an over-garment or tunic and preserve compounds such as _bisceoprocc_ and _breóstrocc_ [@ClarkHall1960, 259; @BosworthToller1898]. With _\*rúkkaz_ as the selected input, Northwest Germanic u-lowering and later loss of final _-a_ yield _rocc_ as a regular outcome.	regular_book_prose	docs/references/legacy/anglosaxondictio00tolluoft.txt		coat	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
CLMM01-0080	coat / rocc	regular	BosworthToller1898	retained_broad_general_background	[@ClarkHall1960, 259; @BosworthToller1898]	Source note. This entry concerns the garment noun only. The stone word seen in _stānrocc_ belongs to a different lexical history [@ClarkHall1960, 259; @BosworthToller1898].	regular_book_prose	docs/references/legacy/anglosaxondictio00tolluoft.txt		coat	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
CLMM01-0096	still / stillan	regular	KlugeSeebold2011	retained_broad_general_background	[@KlugeSeebold2011]	The wider West Germanic family includes adjective _still_ and verb _stillen_ [@KlugeSeebold2011]. The selected input _\*stéllijaną_ represents the verbal j-formation used for the OE row. Clark Hall gives _stillan_ as the verb and separately _stille_ as the adjective [@ClarkHall1960, 292]. As a heavy-stem Class I weak verb, _\*stéllijaną_ undergoes the expected syncope and i-umlaut, and later loss of _j_ after a heavy stem yields _stillan_.	regular_book_prose	docs/references/kluge_seebold_etymologisches_woerterbuch.txt		still	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
CLMM01-0097	still / stillan	regular	KlugeSeebold2011	retained_broad_general_background	[@ClarkHall1960, 292; @KlugeSeebold2011]	Form note. The note concerns lexical framing rather than sound law: _stillan_ is the verb represented here, while _stille_ belongs to the related adjectival branch of the family [@ClarkHall1960, 292; @KlugeSeebold2011].	regular_book_prose	docs/references/kluge_seebold_etymologisches_woerterbuch.txt		still	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
CLMM01-0103	sunder / sundrian	regular	KlugeSeebold2011	retained_broad_general_background	[@KlugeSeebold2011]	Orel distinguishes three related formations: adverbial _\*sunþraz_ > sundor, Class I verbal _\*sunþrjanan_ > syndrian, and Class II verbal _\*sunþrōjanan_ > sundrian [@Orel2003, 426]. Kluge-Seebold aligns the cognate set with German _sondern_ and OE _gesundrian_, so this entry belongs with the Class II verb, not the adverb [@KlugeSeebold2011]. Clark Hall and Bosworth-Toller keep _sundrian_ and _syndrian_ separate from adverbial _sundor_, and both preserve the prefixed verbal family _ā-sundrian_ [@ClarkHall1960, 296; @BosworthToller1898]. From _\*súndrōjaną_, the Class II weak-verb suffix yields regular OE _-ian_, producing _sundrian_.	regular_book_prose	docs/references/kluge_seebold_etymologisches_woerterbuch.txt		sunder	yes		retained_broad_general_background		retained_broad_general_background	Germanic/docs/assembly/citation_locator_remaining_master.tsv	Primary-source recheck verified the entry content in the available local witness; no safe page marker survives in the current witness, so the citation is now retained broad for honest dictionary/etymological background.
