# Retraction trigger-vowel survey
# OE rows with surface 'a' suggesting retraction, n=143
# columns: ID	PROTOFORM	COUNTERPART	vowel-sequence

1934	*bákaną	bacan	á,a,ą
1936	*bánnas	bannes	á,a
1940	*bárdaz	beard	á,a
1943	*bigínnaną	beġinnan	i,í,a,ą
1944	*galáubijaną	ġelīefan	a,á,u,i,a,ą
1950	*bíndaną	bindan	í,a,ą
1956	*búrōjaną	borian	ú,ō,a,ą
1961	*báugijaną	bīeġan	á,u,i,a,ą
1965	*brándas	brandes	á,a
1966	*bráudą	brēad	á,u,ą
1967	*brékaną	brecan	é,a,ą
1971	*brínganą	bringan	í,a,ą
1972	*brūkaną	brūcan	ū,a,ą
1974	*bréstaną	berstan	é,a,ą
1975	*kálbaz	ċealf	á,a
1976	*kéwwaną	ċēowan	é,a,ą
1977	*klímbaną	climban	í,a,ą
1978	*kámbaz	camb	á,a
1989	*dáwwō	dēaw	á,ō
1995	*dráugmaz	drēam	á,u,a
1997	*drínkaną	drincan	í,a,ą
1998	*drībaną	drīfan	ī,a,ą
2000	*étaną	etan	é,a,ą
2002	*fállaną	feallan	á,a,ą
2003	*fáraną	færan	á,a,ą
2004	*fástijaną	festan	á,i,a,ą
2008	*fárnaz	fearn	á,a
2010	*féxtaną	feohtan	é,a,ą
2016	*fláskōn	flasce	á,ō
2017	*fláxsą	fleax	á,ą
2018	*fláuxz	flēah	á,u
2022	*fléuganą	flēogan	é,u,a,ą
2025	*fálθaną	fealdan	á,a,ą
2027	*fúlgijaną	fylġan	ú,i,a,ą
2028	*léusaną	lēosan	é,u,a,ą
2032	*fréusaną	frēosan	é,u,a,ą
2037	*gállô	ġealla	á,ô
2038	*gángaz	gang	á,a
2041	*gébaną	ġiefan	é,a,ą
2046	*grábaną	grafan	á,a,ą
2047	*grīpaną	grīpan	ī,a,ą
2052	*xállō	heall	á,ō
2053	*xámaras	hameres	á,a,a
2054	*xánduz	hand	á,u
2055	*xándlōjaną	handlian	á,ō,a,ą
2056	*xármaz	hearm	á,a
2059	*xágô	haga	á,ô
2060	*xábukaz	hafoc	á,u,a
2063	*xáubudą	hēafod	á,u,u,ą
2064	*xáilijaną	hǣlan	á,i,i,a,ą
2071	*xélpaną	helpan	é,a,ą
2074	*xáwwaną	hēawan	á,a,ą
2077	*xáldaną	healdan	á,a,ą
2084	*knédaną	cnedan	é,a,ą
2088	*xláðaną	hladan	á,a,ą
2089	*lándą	land	á,ą
2090	*láppô	lappa	á,ô
2091	*láistijaną	lǣstan	á,i,i,a,ą
2092	*xláxjaną	hlæhhan	á,a,ą
2093	*láidijaną	lǣdan	á,i,i,a,ą
2094	*láubą	lēaf	á,u,ą
2095	*líznōjaną	liornian	í,ō,a,ą
2097	*láukaz	lēac	á,u,a
2098	*lētaną	lǣtan	ē,a,ą
2099	*líkkōjaną	liccian	í,ō,a,ą
2102	*léuxtijaną	līehtan	é,u,i,a,ą
2116	*láugō	lēag	á,u,ō
2117	*mákōjaną	macian	á,ō,a,ą
2118	*máltaz	mealt	á,a
2119	*mánnas	mannes	á,a
2120	*márkō	mearc	á,ō
2123	*máinijaną	mǣnan	á,i,i,a,ą
2131	*námô	nama	á,ô
2132	*nábō	nafu	á,ō
2133	*náblô	nafola	á,ô
2150	*rēdaną	rǣdan	ē,a,ą
2153	*rīdaną	rīdan	ī,a,ą
2161	*rínnaną	rinnan	í,a,ą
2165	*sákō	sacu	á,ō
2166	*sáltą	sealt	á,ą
2167	*sálbō	sealf	á,ō
2170	*sáumaz	sēam	á,u,a
2171	*sōkijaną	sēċan	ō,i,a,ą
2172	*sándijaną	sendan	á,i,a,ą
2173	*sátjaną	settan	á,a,ą
2175	*skáftą	sċeaft	á,ą
2176	*skámō	sċamu	á,ō
2177	*skéraną	sċieran	é,a,ą
2178	*skáiθiz	sċēaþ	á,i,i
2182	*skīnaną	sċīnan	ī,a,ą
2186	*skáwōjaną	sċēawian	á,ō,a,ą
2190	*síngwaną	singan	í,a,ą
2191	*sángijaną	senġan	á,i,a,ą
2193	*sétjaną	sittan	é,a,ą
2195	*sláxaną	slēan	á,a,ą
2196	*slēpaną	slǣpan	ē,a,ą
2198	*smérwijaną	smierwan	é,i,a,ą
2202	*spánnaną	spannan	á,a,ą
2203	*spánnăi	spanne	á,i
2204	*spárrô	spearra	á,ô
2205	*spárēną	sparian	á,ē,ą
