proto	first_ɔː_Stage	first_ɔː_lexeme	final_stage	final_form
*bō	LiquidLowering	*b*ɔː	Surface [carry]	boː
*bōkō	LiquidLowering	*b*ō*k*ɔː	Surface [carry]	bōcoː
*dawwō	LiquidLowering	*d*a*w*ɔː	Surface [carry]	dawoː
*fedwōrez	LiquidLowering	*f*e*d*w*ɔː*r*e	Surface [carry]	fedwoːre
*flaskō	LiquidLowering	*f*l*a*s*k*ɔː	Surface [carry]	flascoː
*furxō	LiquidLowering	*f*u*r*x*ɔː	Surface [carry]	furhoː
*laugō	LiquidLowering	*l*ēa*g*ɔː	Surface [carry]	lēagoː
*librō	LiquidLowering	*l*i*b*r*ɔː	Surface [carry]	libroː
*lindō	LiquidLowering	*l*i*n*d*ɔː	Surface [carry]	lindoː
*markō	LiquidLowering	*m*ea*r*k*ɔː	Surface [carry]	mearcoː
*mizdō	LiquidLowering	*m*ie*r*d*ɔː	Surface [carry]	mierdoː
*nabō	LiquidLowering	*n*a*b*ɔː	Surface [carry]	naboː
*nadrō	LiquidLowering	*n*a*d*r*ɔː	Surface [carry]	nadroː
*nasō	LiquidLowering	*n*a*s*ɔː	Surface [carry]	nasoː
*nēθlō	LiquidLowering	*n*ē*θ*l*ɔː	Surface [carry]	nē*þloː, nēþloː
*rastō	LiquidLowering	*r*a*s*t*ɔː	Surface [carry]	rastoː
*rindō	LiquidLowering	*r*i*n*d*ɔː	Surface [carry]	rindoː
*rustō	LiquidLowering	*r*u*s*t*ɔː	Surface [carry]	rustoː
*rōdō	LiquidLowering	*r*ō*d*ɔː	Surface [carry]	rōdoː
*saiwălō	LiquidLowering	*s*ā*w*ă*l*ɔː	Surface [carry]	sāwaloː
*sakō	LiquidLowering	*s*a*k*ɔː	Surface [carry]	sacoː
*salbō	LiquidLowering	*s*ea*l*b*ɔː	Surface [carry]	sealboː
*skamō	LiquidLowering	*s*k*a*m*ɔː	Surface [carry]	sċamoː
*skuldrō	LiquidLowering	*s*k*u*l*d*r*ɔː	Surface [carry]	sċuldroː
*skūflō	LiquidLowering	*s*k*ū*f*l*ɔː	Surface [carry]	sċūfloː
*skūrō	LiquidLowering	*s*k*ū*r*ɔː	Surface [carry]	sċūroː
*spannō	LiquidLowering	*s*p*a*n*n*ɔː	Surface [carry]	spannoː
*spennilō	LiquidLowering	*s*p*e*n*n*i*l*ɔː	Surface [carry]	spinnuloː
*stōlăz	LiquidLowering	*s*t*ɔː*l	Surface [carry]	stoːl
*surgō	LiquidLowering	*s*u*r*g*ɔː	Surface [carry]	surgoː
*taixwō	LiquidLowering	*t*ā*x*w*ɔː	Surface [carry]	tāhwoː
*tangō	LiquidLowering	*t*a*n*g*ɔː	Surface [carry]	tangoː
*xallō	LiquidLowering	*x*ea*l*l*ɔː	Surface [carry]	healloː
*xelpō	LiquidLowering	*x*eo*l*p*ɔː	Surface [carry]	heolpoː
*xendjō	LiquidLowering	*x*e*n*d*j*ɔː	Surface [carry]	hindoː
*xerdō	LiquidLowering	*x*eo*r*d*ɔː	Surface [carry]	heordoː
*xwīlō	LiquidLowering	*x*w*ī*l*ɔː	Surface [carry]	hwīloː
*xōrōn	LiquidLowering	*x*ɔː*r*ō*n	Surface [carry]	hoːrōn
