change_id	display_name	source_key	source_year	locator	quotation	quotation_type	paraphrase	conditioning	chronology_claim	exceptions_or_disagreements	terminology_used_by_source	source_file	status	notes
SC043	Anglo Frisian Brightening	Campbell1959	1959	§ 131	By a very early change Prim. Gmc. a > æ in OE and OFris. when not followed by a nasal consonant	definition	Campbell gives the classic handbook statement of first fronting as an early OE and Frisian development with a nasal exception.	Fronting applies when Germanic a is not followed by a nasal consonant.	Treated as very early; later Campbell sections on breaking and restoration presuppose this fronted vowel as input.	Campbell also suggests the English and Frisian developments may have been independent rather than a single undifferentiated shared event.	early change; Prim. Gmc. a > æ	docs/references/campbell_old_english_grammar.txt	verified	Section-safe locator from the local text witness.
SC043	Anglo Frisian Brightening	Campbell1959	1959	§§ 139; 157-158	The restoration of a before a back vowel ... breaking can hardly be regarded otherwise than as a change affecting front vowels	interaction	Campbell explicitly derives later retraction and restoration from an earlier fronted stage, so fronting must precede both breaking and restoration.	Breaking affects front vowels before consonant groups; restoration and retraction arise before following back vowels.	Fronting precedes breaking, and restoration of a follows the breaking stage.	Dialect distribution varies, especially in Anglian and late West Saxon spellings.	breaking; retraction; restoration of a before back vowels	docs/references/campbell_old_english_grammar.txt	verified	Combined row because Campbell builds the relative chronology across these linked sections.
SC043	Anglo Frisian Brightening	Hogg1992	1992	p. 101 (§ 3.3.3.1)	This vowel normally fronted to /ae/ by the sound change of Anglo-Frisian Brightening (or First Fronting).	definition	Hogg supplies a concise modern formulation of the change and its standard label pair.	Fronting is normal for short low a; following nasals block it.	Placed among the very earliest stressed-syllable changes in pre-Old English.	Hogg emphasizes that later developments recreate back /a/ and complicate the synchronic OE vowel system.	Anglo-Frisian Brightening; First Fronting	docs/references/hogg_vol1.txt	verified	Page number is visible in the local OCR witness.
SC043	Anglo Frisian Brightening	Hogg1992	1992	p. 119	By First Fronting (see §3.3.4.1) / a / became /ae/ as in stressed syllables	conditioning	Hogg extends first fronting into the unstressed-vowel system, which is useful support for the transducer's unstressed clause.	Unstressed a fronts to æ; the resulting unstressed front vowels later merge toward e.	Unstressed fronting precedes the later reduction and merger of unstressed front vowels.	Hogg marks the accompanying unstressed o > a step as only perhaps a chain shift.	First Fronting	docs/references/hogg_vol1.txt	verified	Useful specifically for the current FOMA unstressed clause.
SC043	Anglo Frisian Brightening	Hogg1992	1992	p. 445	Campbell offers a summary of traditional scholarly opinion ... (3) Fronting of West Gmc */a/ to /æ/ (4) Breaking and the related processes of retraction (5) Restoration of /a/ before back vowels	chronology	Hogg's volume preserves Toon's summary of the traditional ordering and immediately notes reasons to question over-precise linear sequencing.	Fronting is treated separately from later breaking, retraction, and restoration.	The row is most useful as a concise statement of the standard order fronting > breaking/retraction > restoration.	The exact sequencing of all prehistoric changes remains contested even if this local order is widely assumed.	fronting; breaking; retraction; restoration	docs/references/hogg_vol1.txt	verified	The page belongs to the Toon chapter inside Hogg's volume; OCR /ag/ normalized to /æ/ in the quotation for readability.
SC043	Anglo Frisian Brightening	RingeTaylor2014	2014	§ 5.1.2, pp. 157-158	Stressed low vowels were nasalized when immediately followed by a nasal in the northern WGmc dialects	conditioning	Ringe and Taylor treat the nasal branch as the key exception to northern WGmc fronting and derive rounded outcomes like mona and comon from that path.	Low vowels are nasalized before immediate nasals; non-nasal environments feed fronting instead.	Treated as a shared northern WGmc development inherited by Old English rather than a late isolated OE innovation.	Rounding is presented as a later parallel development in diverging northern dialects rather than as the fronting event itself.	nasalization, fronting, and related changes	docs/references/ringe_taylor_linguistic_history_vol2.txt	verified	Page-safe locator from the local text witness.
SC043	Anglo Frisian Brightening	RingeTaylor2014	2014	§ 6.1.1, pp. 168-169	Since no specifically OE sound changes can be dated before the fronting, while one of the earliest must have followed it ... OE was already dialectally diverse when it became an identifiable dialect group.	chronology	Ringe and Taylor use dialect outcomes to argue that fronting is pre-breaking and already old enough to sit behind early OE dialect diversification.	West Saxon keeps lower outcomes while Kentish, Mercian, and Northumbrian show higher reflexes.	Fronting precedes breaking and belongs to the earliest recoverable OE prehistory.	They leave open whether much of the variable spread happened on the continent or in Britain.	fronting of low vowels	docs/references/ringe_taylor_linguistic_history_vol2.txt	verified	Good high-level chronology row for the dossier synthesis.
SC043	Anglo Frisian Brightening	RingeTaylor2014	2014	§ 6.3.1, pp. 189-190	retraction must have occurred subsequently to fronting and subsequently to breaking	interaction	Ringe and Taylor make the cleanest explicit argument for the relative order fronting > breaking > general retraction.	Retraction affects formerly fronted vowels before following back vowels after single consonants, geminates, or sC clusters.	Retraction is later than both fronting and breaking.	The discussion is framed against the alternative view that some vowels were never fronted at all.	general retraction of *æ	docs/references/ringe_taylor_linguistic_history_vol2.txt	verified	This row is especially useful for chapter-order planning.
SC043	Anglo Frisian Brightening	Fulk2018	2018	§ 4.12, p. 73	Elsewhere, a was fronted to æ ... This fronting is commonly referred to as Anglo-Frisian Brightening.	definition	Fulk provides the clearest compact definition, examples, and terminology statement for the dossier pilot.	Before nasal consonants a is nasalized and may later round; elsewhere it fronts to æ.	Presented as an Anglo-Frisian development prior to the early Old English changes in the next section.	Fulk notes several Old Frisian environments where a remains unchanged, so the Anglo-Frisian picture is not fully uniform.	Anglo-Frisian Brightening	docs/references/fulk_comparative_grammar_early_germanic.vision.txt	verified	Google Vision OCR witness used; the PDF was not needed for this row.
SC043	Anglo Frisian Brightening	Fulk2018	2018	§ 4.13, pp. 73-74	Before r plus any consonant ... æ and e are broken to ea and eo ... Before checked l the Anglian dialects show retraction rather than breaking of æ	interaction	Fulk's early OE section uses already-fronted æ as the input to breaking and records an Anglian retraction branch before checked l.	Breaking targets front vowels before rC, lC, and h; Anglian checked-l contexts can retract rather than break.	Breaking follows brightening and precedes later front-umlaut developments.	Dialectal retraction before checked l complicates any simple one-output account of the rule.	breaking; retraction	docs/references/fulk_comparative_grammar_early_germanic.vision.txt	verified	This row links SC043 directly to its highest-priority order-sensitive neighbors.
SC063	OE High Vowel Apocope												pilot_stub	pilot literature row for scaffold 01
