book_entry_id	canonical_change_id	display_name	historical_stage	current_order_or_orders	include_in_volume	entry_type	trace_occurrence_count	example_lexemes	literature_priority	notes	order_sensitivity_priority
BE001	SC002	Gm Simplification	Proto-Germanic	2	yes	historical_sound_change	2	dream, team	low		low
BE002	SC003	Rhotacism	Proto-Germanic	3	yes	historical_sound_change	7	deer, hoard, learn, berry, learn (3sg)	low		low
BE003	SC004	PWGmc Ai Monophthongization	Proto-West Germanic	4	yes	historical_sound_change	25	bone, deal, dough, flesh, ghost	medium		medium
BE004	SC005	NWGmc A To U Before M	Northwest Germanic	5	yes	historical_sound_change	1	shoulder	low	NWGmc-labeled rule remains inside the PWGmcChanges pipeline bundle; preserve bundle order but flag the historical label split.	high
BE005	SC006	PWGmc Early I Apocope	Proto-West Germanic	6	yes	historical_sound_change	9	thousand, bore (3sg), have, learn (3sg), lick (3sg)	low		low
BE006	SC007	PWGmc Final Or Lowering	Proto-West Germanic	7	yes	historical_sound_change	2	four, water	low		low
BE007	SC008	PWGmc Coronal W Assimilation	Proto-West Germanic	8	yes	historical_sound_change	1	four	low		low
BE008	SC009	PWGmc Ij Contraction	Proto-West Germanic	9	yes	historical_sound_change	1	friend	low		low
BE009	SC010	PWGmc J Gemination	Proto-West Germanic	10	yes	historical_sound_change	8	hedge, net, set, sit, will	high		low
BE010	SC011	PWGmc Syllabic J	Proto-West Germanic	11	yes	historical_sound_change	0		low		low
BE011	SC012	PWGmc L Th Voicing	Proto-West Germanic	12	yes	historical_sound_change	4	field, fold, gold, wold	low		low
BE012	SC013	PWGmc Dental Hardening	Proto-West Germanic	13	yes	historical_sound_change	4	lade, needle, find, cud	low		low
BE013	SC014	NWGmc Unstressed Ai Monophthongization	Northwest Germanic	14	yes	historical_sound_change	0		low		low
BE014	SC015	NWGmc I Lowering	Northwest Germanic	15	yes	historical_sound_change	4	nest, wether, world, meed	low		low
BE015	SC016	OE Ws Palatal Glide	Old English	16	yes	historical_sound_change	2	yoke, youth	low	The rule is labeled OE/West Saxon but is checkpointed before the main Old English section break in the sandbox.	high
BE016	SC017	NWGmc U Lowering	Northwest Germanic	17	yes	historical_sound_change	38	board, bore, bow, coat, corn	medium		medium
BE017	SC018	NWGmc Stressed Monosyllable O Raising	Northwest Germanic	18	yes	historical_sound_change	1	both	low		low
BE018	SC019	NWGmc Final Long O Raising	Northwest Germanic	19	yes	historical_sound_change	30	beech, bier, dew, hall, help	medium		medium
BE019	SC020	PGmc Final Z Deletion	Proto-Germanic	20	yes	historical_sound_change	113	beard, beaver, belly, birth, book	high	The cascade applies this PGmc-labeled rule in the NWGmc section; keep pipeline order but flag the earlier historical label.	high
BE020	SC021	NWGmc Unstressed O Raising	Northwest Germanic	21	yes	historical_sound_change	1	heaven	low		low
