# GENERATED FILE — DO NOT EDIT.
# Source: registry/sc_registry.tsv + registry/sc_inventory_notes.tsv + germanic.txt + rule_coverage_census
# Generator: Germanic/tools/generate_registry_views.py (run after editing sources).
# current_order is the ARCHIVAL inventory order (registry inventory_order),
# not the executable cascade position; executable positions come from
# oe_pipeline / cascade_order_manifest.tsv.
change_id	current_order	display_name	stage	trace_stage	rule_source_path	rule_source_anchor	foma_definition_raw	plain_description_draft	appears_in_compact_trace	firing_count	firing_lexemes	illustrative_lexemes	literature_status	order_sensitivity_status	notes	entry_type	include_in_volume	historical_stage	pipeline_stage	canonical_change_id	duplicate_group	is_reader_facing	review_note	needs_human_review
SC001	1	Proto Input	Proto-Germanic consonant inheritance	Proto-Germanic consonant inheritance	Germanic/fsts/germanic.txt	define EnglishProtoInput	define EnglishProtoInput pgrmWord;	Proto Input	no	0			not_started	not_started	sandbox stage ProtoInput applies EnglishProtoInput; support stage rather than a reader-facing sound-change label in the compact trace	support_stage	no	Technical	Proto-Germanic consonant inheritance	SC001		no	Input handoff stage feeding the cascade, not a historical sound change entry.	no
SC002	2	Gm Simplification	Proto-Germanic consonant inheritance	Proto-Germanic consonant inheritance	Germanic/fsts/germanic.txt	define PGmcGmSimplification	define PGmcGmSimplification [{*g} -> 0 || _ {*m}];	Gm Simplification	yes	2	dream, team		not_started	not_started	sandbox stage GmSimplification applies PGmcGmSimplification	historical_sound_change	yes	Proto-Germanic	Proto-Germanic consonant inheritance	SC002		yes		no
SC003	3	West Germanic rhotacism	West Germanic	West Germanic	Germanic/fsts/germanic.txt	define EAFRhotacism	define EAFRhotacism [ {*z} -> {*r} || EnglishStarVocalic _ ? ];	Rhotacism	yes	7	berry, deer, hoard, learn, meed, learn (iptv.2sg), learn (3sg)		not_started	not_started	sandbox stage Rhotacism applies EAFRhotacism	historical_sound_change	yes	West Germanic	West Germanic	SC003		yes	West Germanic rhotacism (R/T vol.2 §3.3.1 p.98; Hogg p.37; Crist2002 §6: parallel WGmc/NGmc innovation, non-uniform). Medial *z>*r; final *-z deleted (SC020), never rhotacized. Identifier EAFRhotacism retained as stable impl name; display stage is WGmc, not PGmc.	no
SC004	25	EAF Ai Monophthongization	Early Anglo-Frisian	Early Anglo-Frisian	Germanic/fsts/germanic.txt	define EAFAiMonophthongization	define EAFAiMonophthongization [ {*ái} -> {*ā} ];	EAF Ai Monophthongization	yes	23	bone, deal, dough, flesh, ghost, heal, heath, home, last, lead, loam, loath, mean, one, rope, sea, sheath, snow, soul, spread, stone, toe, token		not_started	not_started	Split from the former bundled PWGmcAiMonophthongization; stressed/root *ái → *ā only (Early Anglo-Frisian / North Sea Germanic, later, areally diffused; Versloot 2017). Unstressed *ai is the separate SC014. Executes in the EAF corridor after SC028 PNWGmcPreconsonantalXLoss. 24 stressed corpus applications (23 attested + roe *ráixōn unattested), incl. loam *láimą (stressed by its PROTOFORM). Carries the SC036 soul boundary. Former identifier PWGmcAiMonophthongization retained as a documented compatibility alias.	historical_sound_change	yes	Early Anglo-Frisian	Early Anglo-Frisian	SC004		yes		no
SC005	5	NWGmc A To U Before M	Proto-West Germanic developments	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PNWGmcAToUBeforeM	define PNWGmcAToUBeforeM [ {*a} -> {*u} || EnglishStarVocalic EnglishStarConsonant+ _ {*m} ({*i})? ({*z})? .#. ];	NWGmc A To U Before M	yes	1	shoulder		not_started	not_started		historical_sound_change	yes	Northwest Germanic	Proto-West Germanic developments	SC005		yes	NWGmc-labeled rule remains inside the PWGmcChanges pipeline bundle; preserve bundle order but flag the historical label split.	yes
SC006	6	PWGmc Early I Apocope	Proto-West Germanic developments	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcEarlyIApocope	define PWGmcEarlyIApocope [ {*i} -> 0 || PGmcStarStressedVowel PGmcStarConsonant+ PGmcStarVocalic PGmcStarConsonant+ _ .#., {*i} -> 0 || PGmcStarStressedVowel PGmcStarConsonant+ PGmcStarVocalic PGmcStarConsonant+ _ {*z} .#. ];	PWGmc Early I Apocope	yes	9	have, live, shoulder, thousand, make (3sg), bore (3sg), learn (3sg), lick (3sg), show (3sg)		not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Proto-West Germanic developments	SC006		yes		no
SC007	7	PWGmc Final Or Lowering	Proto-West Germanic developments	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcFinalOrLowering	define PWGmcFinalOrLowering [ {*ō} -> {*a} || _ {*r} .#. ];	PWGmc Final Or Lowering	yes	2	four, water		not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Proto-West Germanic developments	SC007		yes		no
SC008	8	PWGmc Coronal W Assimilation	Proto-West Germanic developments	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcCoronalWAssimilation	define PWGmcCoronalWAssimilation [ {*d} -> {*w} || _ {*w}, {*z} -> {*w} || _ {*w} ];	PWGmc Coronal W Assimilation	yes	2	four, you		not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Proto-West Germanic developments	SC008		yes		no
SC009	9	PWGmc Ij Contraction	Proto-West Germanic developments	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcIjContraction	define PWGmcIjContraction [ {*i} {*j} {*ō} -> {*iu} || _ EnglishStarConsonant, {*í} {*j} {*ō} -> {*íu} || _ EnglishStarConsonant ];	PWGmc Ij Contraction	yes	1	friend		not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Proto-West Germanic developments	SC009		yes		no
SC010	10	PWGmc J Gemination	Proto-West Germanic developments	Proto-West Germanic developments	Germanic/fsts/germanic.txt	define PWGmcJGemination	define PWGmcJGemination [ {*p} -> {*p} {*p} || EnglishStarShortVowel _ {*j}, {*b} -> {*b} {*b} || EnglishStarShortVowel _ {*j}, {*t} -> {*t} {*t} || EnglishStarShortVowel _ {*j}, {*d} -> {*d} {*d} || EnglishStarShortVowel _ {*j}, {*k} -> {*k} {*k} || EnglishStarShortVowel _ {*j}, {*g} -> {*g} {*g} || EnglishStarShortVowel _ {*j}, {*f} -> {*f} {*f} || EnglishStarShortVowel _ {*j}, {*s} -> {*s} {*s} || EnglishStarShortVowel _ {*j}, {*m} -> {*m} {*m} || EnglishStarShortVowel _ {*j}, {*n} -> {*n} {*n} || EnglishStarShortVowel _ {*j}, {*l} -> {*l} {*l} || EnglishStarShortVowel _ {*j}, {*ŋ} -> {*ŋ} {*ŋ} || EnglishStarShortVowel _ {*j}, {*x} -> {*x} {*x} || EnglishStarShortVowel _ {*j} ];	PWGmc J Gemination	yes	8	hedge, laugh, lung, net, set, sit, will		not_started	not_started		historical_sound_change	yes	Proto-West Germanic	Proto-West Germanic developments	SC010		yes		no
