ID	TOKENS	PROTOFORM	ALIGNMENT	IPA	COUNTERPART	COGIDS	DOCULECT	NOTE	STRUCTURE	BORROWING	CONCEPT	PROTO	GLOSSID
510	ɑ d ə r	*nadrō	ɑ d ə r ( - - )	ɑdər	adder	139	Dutch				adder	*nadrō	1
509	æ d ə	*nadrō	æ d ə r ( - - )	ædə	adder	139	English				adder	*nadrō	1
1933	n ǣ d r e	*nadrō	æ d ə r ( - - )	ædə	nǣdre	139	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			adder	*nadrō	1
508	ɔ t ə r	*nadrō	ɔ t ə r ( - - )	ɔtər	Otter	139	German				adder	*nadrō	1
1431	b ɑ k ə	*bakăną	b ɑ k ə - ( - - )	bɑkə	bakken	391	Dutch				bake	*bakăną	2
1430	b eɪ k	*bakăną	b eɪ k - - ( - - )	beɪk	bake	391	English				bake	*bakăną	2
1934	b a c a n	*bakăną	b eɪ k - - ( - - )	beɪk	bacan	391	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bake	*bakăną	2
1429	b a k ə n	*bakăną	b a k ə n ( - - )	bakən	backen	391	German	BOR	C V c v c		bake	*bakăną	2
314	b ɑ l	*balluz	b ɑ l ( - - )	bɑl	bal	87	Dutch				ball	*balluz	3
313	b ɔː l	*balluz	b ɔː l ( - - )	bɔːl	ball	87	English				ball	*balluz	3
1935	* b e a l l	*balluz	b ɔː l ( - - )	bɔːl	-	87	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh) | Unattested OE; reconstructed *beall.			ball	*balluz	3
312	b a l	*balluz	b a l ( - - )	bal	Ball	87	German		C V C		ball	*balluz	3
521	b ɑ n	*banną	b ɑ n ( - - )	bɑn	ban	142	Dutch				ban	*banną	4
520	b æ n	*banną	b æ n ( - - )	bæn	ban	142	English				ban	*banną	4
1936	b a n n a n	*banną	b æ n ( - - )	bæn	bannan	142	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			ban	*banną	4
519	b a n	*banną	b a n ( - - )	ban	Bann	142	German		C V C		ban	*banną	4
221	b ɛ r x	*bergą	b ɛ r x ( - - )	bɛrx	berg	61	Dutch				barrow	*bergą	5
220	b æ r əʊ	*bergą	b æ r əʊ ( - - )	bærəʊ	barrow	61	English				barrow	*bergą	5
1937	b e o r g	*bergą	b æ r əʊ ( - - )	bærəʊ	beorg	61	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			barrow	*bergą	5
219	b ɛ r k	*bergą	b ɛ r k ( - - )	bɛrk	Berg	61	German				barrow	*bergą	5
1634	b ɑ s t	*bastą	b ɑ s t ( - - )	bɑst	bast	448	Dutch				bast	*bastą	6
1633	b æ s t	*bastą	b æ s t ( - - )	bæst	bast	448	English				bast	*bastą	6
1938	b æ s t	*bastą	b æ s t ( - - )	bæst	bæst	448	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bast	*bastą	6
1632	b a s t	*bastą	b a s t ( - - )	bast	Bast	448	German		C V C C		bast	*bastą	6
1313	b ɑ t	*baθą	b ɑ t ( - - )	bɑt	bad	360	Dutch				bath	*baθą	7
1312	b ɑː θ	*baθą	b ɑː θ ( - - )	bɑːθ	bath	360	English				bath	*baθą	7
1939	b æ þ	*baθą	b ɑː θ ( - - )	bɑːθ	bæþ	360	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			bath	*baθą	7
1311	b aː d	*baθą	b aː d ( - - )	baːt	Bad	360	German				bath	*baθą	7
1177	b aː r t	*bardăz	b aː r t ( - - )	baːrt	baard	322	Dutch				beard	*bardăz	8
1176	b ɪə d	*bardăz	b ɪə - d ( - - )	bɪəd	beard	322	English				beard	*bardăz	8
1940	b e a r d	*bardăz	b ɪə - d ( - - )	bɪəd	beard	322	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			beard	*bardăz	8
1175	b aː r t	*bardăz	b aː r t ( - - )	baːrt	Bart	322	German		C V C C		beard	*bardăz	8
1854	b eː v ə r	*bebruz	b eː v ə r ( - - )	beːvər	bever	508	Dutch				beaver	*bebruz	9
1853	b iː v ə	*bebruz	b iː v ə r ( - - )	biːvə	beaver	508	English				beaver	*bebruz	9
1941	b e f e r	*bebruz	b iː v ə r ( - - )	biːvə	befer	508	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			beaver	*bebruz	9
1852	b iː b ə r	*bebruz	b iː b ə r ( - - )	biːbər	Biber	508	German				beaver	*bebruz	9
1865	b øː k ə b oː m	*bōkō	b øː k ( ə b oː m )	bøːkəboːm	beukeboom	511	Dutch				beech	*bōkō	10
1864	b iː ʧ	*bōkō	b iː ʧ ( - - - - )	biːʧ	beech	511	English				beech	*bōkō	10
1942	b ē ċ e	*bōkō	b iː ʧ ( - - - - )	biːʧ	bēċe	511	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			beech	*bōkō	10
1863	b uː x ə	*bōkō	b uː x ( ə - - - )	buːxə	Buche	511	German				beech	*bōkō	10
1154	b ə ɣ ɪ n ə	*biginnăną	( b ə ) ɣ ɪ n ə - ( - - )	bəɣɪnə	beginnen	316	Dutch				begin	*biginnăną	11
1153	b ɪ ɡ ɪ n	*biginnăną	( b ɪ ) ɡ ɪ n - - ( - - )	bɪɡɪn	begin	316	English				begin	*biginnăną	11
1943	b e g i n n a n	*biginnăną	( b ɪ ) ɡ ɪ n - - ( - - )	bɪɡɪn	beginnan	316	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			begin	*biginnăną	11
1152	b ə ɡ ɪ n ə n	*biginnăną	( b ə ) ɡ ɪ n ə n ( - - )	bəɡɪnən	beginnen	316	German				begin	*biginnăną	11
266	x ə l oː v ə	*laubjăną	( x ə ) l oː v - ə - ( - - )	xəloːvə	geloven	73	Dutch				believe	*laubjăną	12
265	b ɪ l iː v	*laubjăną	( b ɪ ) l iː v - - - ( - - )	bɪliːv	believe	73	English				believe	*laubjăną	12
1944	b e l ī e f a n	*laubjăną	( b ɪ ) l iː v - - - ( - - )	bɪliːv	belīefan	73	Old_English	Source: Wiktionary etymology (template:inh) | Source: Wiktionary etymology (template:inh)			believe	*laubjăną	12
264	ɡ l au b ə n	*laubjăną	( ɡ - ) l au b - ə n ( - - )	ɡlaubən	glauben	73	German				believe	*laubjăną	12
1688	b ɑ l x	*balgiz	b ɑ l x ( - - )	bɑlx	balg	462	Dutch				belly	*balgiz	13
1687	b ɛ l ɪ	*balgiz	b ɛ l ɪ ( - - )	bɛlɪ	belly	462	English				belly	*balgiz	13
