final_i: 0

final_u: 0

final_ana: 86
  bake	bakăną	bacana	bacan
  begin	gennăną	gennana	beginnan
  believe	laubjăną	lōbġana	belīefan
  bid	beudăną	beudana	-
  bid	bidjăną	bidġana	-
  bind	bendăną	bendana	bindan
  bore	burōjăną	burēġana	borian
  bow	baugjăną	bugġana	boga
  bow	beugăną	beugana	boga
  break	brekăną	brecana	brecan
  breeches	brekăną	brecana	brēċ
  bring	brengăną	brengana	bringan
  brook	brūkăną	brūcana	brūcan
  burst	brestăną	brestana	berstan
  chew	kewwăną	cowwana	ċēowan
  climb	klembăną	clembana	climban
  drink	drenkăną	drencana	drincan
  drive	drībăną	drībana	drīfan
  eat	etăną	etana	etan
  fall	fallăną	fallana	feallan
  fare	farăną	farana	fær
  fight	fextăną	fehtana	feohtan
  find	fenθăną	fēþana	findan
  flee	fleuxăną	fleuhana	flēon
  fly	fleugăną	fleugana	flȳġe
  fold	falθăną	falþana	fealdan
  forlorn	leusăną	leusana	forloren
  freeze	freusăną	freusana	frēosan
  give	gebăną	gebana	giefan
  grave	grabăną	grabana	græf
  gripe	grīpăną	grīpana	grīpan
  handle	xandlōjăną	handlēġana	handle
  heal	xailjăną	hālġana	hǣlan
  help	xelpăną	helpana	help
  hew	xawwăną	hōwwana	hēawan
  hold	xaldăną	haldana	hold
  knead	knedăną	cnedana	cnedan
  lade	laθōjăną	laþēġana	hladan
  last	laistjăną	lāstġana	lǣstan
  laugh	lakăną	lacana	hlæhhan
  lead	laidjăną	lādġana	lēad
  let	lētăną	lētana	lǣtan
  lick	likkōjăną	liccēġana	liccian
  light	leuxtjăną	leuhtġana	lēoht
  make	makōjăną	macēġana	macian
  mean	mainjăną	mānġana	mǣnan
  read	rēdăną	rēdana	rǣdan
  ride	rīdăną	rīdana	rīdan
  run	rennăną	rennana	rinnan
  seek	sōkjăną	sucġana	sēċan
  send	sandjăną	sandġana	sendan
  set	satjăną	satġana	settan
  shear	skerăną	scerana	sċieran
  shine	skīnăną	scīnana	sċīnan
  shove	skeubăną	sceubana	sċūfan
  show	skawōjăną	scōwēġana	scēawian
  sing	sengwăną	sengwana	singan
  singe	sangjăną	sangġana	senġan
  sit	setjăną	setġana	sittan
  slay	slaxăną	slahana	slēan
  sleep	slēpăną	slēpana	slǣp
  span	spannăną	spannana	spann
  spin	spennăną	spennana	spinnan
  spread	spraidjăną	sprādġana	sprǣdan
  starve	sterbăną	sterbana	steorfan
  steal	stelăną	stelana	viedä
  still	stelljăną	stellġana	stille
  stretch	strakkjăną	straccġana	streċċan
  strew	strawjăną	strōwġana	strewian
  sunder	sundrōjăną	sundrēġana	sundor-
  sup	sūpăną	sūpana	sūpan
  swan	swanăz	swana	swan
  swell	swellăną	swellana	swellan
  swim	swemmăną	swemmana	swimman
  thrash	θreskăną	þrescana	þrescan
  tread	tredăną	tredana	tredan
  wade	wadăną	wadana	wadan
  warp	werpăną	werpana	wearp
  wash	waskăną	wascana	wascan
  wax	waxsăną	wahsana	weax
  weave	webăną	webana	wefan
  whine	wainōjăną	wānēġana	hwīnan
  wield	waldăną	waldana	wealdan
  will	waljăną	walġana	willan
  wind	wendăną	wendana	wind
  wring	wrengăną	wrengana	wringan

