beard | *bardăz | exp beard | afb *b*æ*r*d | ar *b*ea*r*d
berry | *bazją | exp berġe | afb *b*æ*r*j*ą | ar *b*ea*r*j*ą
calf | *kalbăz | exp cealf | afb *k*æ*l*b | ar *k*ea*l*b
fall | *fallăną | exp feallan | afb *f*æ*l*l*ă*n*ą | ar *f*ea*l*l*ă*n*ą
fern | *farnăn | exp fearn | afb *f*æ*r*n*ă*n | ar *f*ea*r*n*ă*n
flax | *flaxsą | exp fleax | afb *f*l*æ*x*s*ą | ar *f*l*ea*x*s*ą
fold | *falθăną | exp fealdan | afb *f*æ*l*θ*ă*n*ą | ar *f*ea*l*θ*ă*n*ą
gall | *gallą | exp ġealla | afb *g*æ*l*l*ą | ar *g*ea*l*l*ą
hair | *xazwăz | exp hǣr | afb *x*æ*r*w | ar *x*ea*r*w
hall | *xallō | exp heall | afb *x*æ*l*l*ō | ar *x*ea*l*l*ō
harm | *xarmăz | exp hearm | afb *x*æ*r*m | ar *x*ea*r*m
harvest | *xarbistuz | exp hærfest | afb *x*æ*r*b*i*s*t*u | ar *x*ea*r*b*i*s*t*u
malt | *maltăz | exp mealt | afb *m*æ*l*t | ar *m*ea*l*t
march | *markō | exp mearcian | afb *m*æ*r*k*ō | ar *m*ea*r*k*ō
might | *maxtiz | exp miht | afb *m*æ*x*t*i | ar *m*ea*x*t*i
night | *naxtz | exp niht | afb *n*æ*x*t | ar *n*ea*x*t
salt | *saltą | exp sealt | afb *s*æ*l*t*ą | ar *s*ea*l*t*ą
salve | *salbō | exp sealf | afb *s*æ*l*b*ō | ar *s*ea*l*b*ō
slay | *slaxăną | exp slēan | afb *s*l*æ*x*ă*n*ą | ar *s*l*ea*x*ă*n*ą
spar | *sparrōn | exp sperran | afb *s*p*æ*r*r*ō*n | ar *s*p*ea*r*r*ō*n
swallow | *swalgwōn | exp swelgan | afb *s*w*æ*l*g*w*ō*n | ar *s*w*ea*l*g*w*ō*n
warp | *warpą | exp wearp | afb *w*æ*r*p*ą | ar *w*ea*r*p*ą
wart | *warto | exp wearte | afb *w*æ*r*t*o | ar *w*ea*r*t*o
wax | *waxsą | exp weax | afb *w*æ*x*s*ą | ar *w*ea*x*s*ą
wax | *waxsăną | exp weax | afb *w*æ*x*s*ă*n*ą | ar *w*ea*x*s*ă*n*ą
wield | *waldăną | exp wealdan | afb *w*æ*l*d*ă*n*ą | ar *w*ea*l*d*ă*n*ą
will | *waljăną | exp willan | afb *w*æ*l*j*ă*n*ą | ar *w*ea*l*j*ă*n*ą
yarn | *garnăn | exp ġearn | afb *g*æ*r*n*ă*n | ar *g*ea*r*n*ă*n
