True i-umlaut misses (current bucket) — check if IUmlaut fired before orthography
*balgiz: proto_to_oe=*b*æ*ldʒ | surface=bealġ | expected=bielġ
*bazją: proto_to_oe=*b*ær*j*ɔ̆ | surface=bærġa | expected=berġe
*flaiskăz: proto_to_oe=*f*l*ā*s*k | surface=flāsc | expected=flǣsċ
*frijōndz: proto_to_oe=*f*r*ī*j*ō*n*d | surface=frīġōnd | expected=frēond
*xawwją: proto_to_oe=*x*æ*w*w*j*ɔ̆ | surface=hæwwġa | expected=hīeġ
*xailjăną: proto_to_oe=*x*ǣ*l*j*a*n | surface=hǣlġan | expected=hǣlan
*xendjō: proto_to_oe=ç*i*n*d*j*ō | surface=hindġō | expected=hindan
*laistjăną: proto_to_oe=*l*ǣ*s*t*j*a*n | surface=lǣstġan | expected=lǣstan
*laidjăną: proto_to_oe=*l*ǣ*d*j*a*n | surface=lǣdġan | expected=lēad
*mainjăną: proto_to_oe=*m*ǣ*n*j*a*n | surface=mǣnġan | expected=mǣnan
*natją: proto_to_oe=*n*æ*t*j*ɔ̆ | surface=nætġa | expected=net
*natilōn: proto_to_oe=*n*e*t*ī*l*ō*n | surface=netīlōn | expected=netle
*rugiz: proto_to_oe=*r*udʒ | surface=rūġ | expected=ryġe
*sai: proto_to_oe=*s*ā | surface=sā | expected=sǣ
*sandjăną: proto_to_oe=*s*æ*n*d*j*a*n | surface=sændġan | expected=sendan
*satjăną: proto_to_oe=*s*æ*t*j*a*n | surface=sætġan | expected=settan
*sangjăną: proto_to_oe=*s*a*nʤ*j*a*n | surface=sanġġan | expected=senġan
*setjăną: proto_to_oe=*s*i*t*j*a*n | surface=sitġan | expected=sittan
*spennilō: proto_to_oe=*s*p*i*n*n*ī*l*ō | surface=spinnīlō | expected=spindle
*spraidjăną: proto_to_oe=*s*p*r*ǣ*d*j*a*n | surface=sprǣdġan | expected=sprǣdan
*stelljăną: proto_to_oe=*s*t*ie*l*l*j*a*n | surface=stiellġan | expected=stille
*strakkjăną: proto_to_oe=*s*t*r*a*kʧ*j*a*n | surface=stracċġan | expected=streċċan
*strawjăną: proto_to_oe=*s*t*r*æ*w*j*a*n | surface=stræwġan | expected=strewian
*wainōjăną: proto_to_oe=*w*ā*n*ē*j*a*n | surface=wānēġan | expected=hwīnan
*waljăną: proto_to_oe=*w*ie*l*j*a*n | surface=wielġan | expected=willan
*weljōn: proto_to_oe=*w*ie*l*j*ō*n | surface=wielġōn | expected=willan
