current_proto,proposed_proto,doculects,concepts,sample_ipa,matching_proto_values,rows
*bainan,*bainą,Dutch/English/German,bone,bain; beːn; bəʊn,*bainan,3
*bakanan,*bakaną,Dutch/English/German,bake,bakən; beɪk; bɑkə,*bakanan,3
*bannan,*banną,Dutch/English/German,ban,ban; bæn; bɑn,*bannan,3
*baugjanan,*baugjaną,Dutch/English/German,bow,bœyɣə; bɔyɡən; bəʊ,*baugjanan,3
*bendanan,*bendaną,Dutch/English/German,bind,baɪnd; bɪndə; bɪndən,*bendanan,3
*beudanan,*beudaną,Dutch/English/German,bid,biːdə; biːtən; bɪd,*beudanan,3
*beuganan,*beuganą,Dutch/English/German,bow,biːɡən; bœyɣə; bəʊ,*beuganan,3
*bidjanan,*bidjaną,Dutch/English/German,bid,bɪd; bɪdə; bɪtən,*bidjanan,3
*brekanan,*brekaną,Dutch/English/German,break,breɪk; breːkə; brɛxən,*brekanan,3
*brenganan,*brenganą,Dutch/English/German,bring,brɛŋə; brɪŋ; brɪŋən,*brenganan,3
*brestanan,*brestaną,Dutch/English/German,burst,bɑrstə; bɛrstən; bɜːst,*brestanan,3
*brūkanan,*brūkaną,Dutch/English/German,brook,brauxən; brʊk; xəbrœykə,*brūkanan,3
*burōjanan,*burōjaną,Dutch/English/German,bore,boːrə; boːrən; bɔːr,*burōjanan,3
*drenkanan,*drenkaną,Dutch/English/German,drink,drɪŋk; drɪŋkə; trɪŋkən,*drenkanan,3
*drībanan,*drībaną,Dutch/English/German,drive,draɪv; drɛɪvə; traibən,*drībanan,3
*dōnan,*dōną,Dutch/English/German,do,duː; duːn; tuːn,*dōnan,3
*etanan,*etaną,Dutch/English/German,eat,eːtə; iːt; ɛsən,*etanan,3
*fallanan,*fallaną,Dutch/English/German,fall,falən; fɔːl; vɑlə,*fallanan,3
*falθanan,*falθaną,Dutch/English/German,fold,faltən; fəʊld; vɑuʋ,*falθanan,3
*faranan,*faraną,Dutch/English/German,fare,faːrən; fɛər; vaːrə,*faranan,3
*farnan,*farną,Dutch/English/German,fern,farn; fɜːn; vaːrə,*farnan,3
*fastēnan,*fastēną,Dutch/English/German,fast,fastən; fɑːst; vɑstə,*fastēnan,3
*fenθanan,*fenθaną,Dutch/English/German,find,faɪnd; fɪndən; vɪndə,*fenθanan,3
*fextanan,*fextaną,Dutch/English/German,fight,faɪt; fɛxtən; vɛxtə,*fextanan,3
*fleuganan,*fleuganą,Dutch/English/German,fly,flaɪ; fliːɡən; vliːɣə,*fleuganan,3
*fleuxanan,*fleuxaną,Dutch/English/German,flee,fliː; fliːən; vliːdə,*fleuxanan,3
*freusanan,*freusaną,Dutch/English/German,freeze,friːrən; friːz; vriːzə,*freusanan,3
*fulgēnan,*fulgēną,Dutch/English/German,follow,fɔləʊ; fɔlɡən; vɔlɣə,*fulgēnan,3
*garnan,*garną,Dutch/English/German,yarn,jɑːn; xaːrə; ɡarn,*garnan,3
*gebanan,*gebaną,Dutch/English/German,give,xeːvə; ɡeːbən; ɡɪv,*gebanan,3
*gennanan,*gennaną,Dutch/English/German,begin,bəɡɪnən; bəɣɪnə; bɪɡɪn,*gennanan,3
*grabanan,*grabaną,Dutch/English/German,grave,xraːvə; ɡraːbən; ɡrɑːv,*grabanan,3
*grīpanan,*grīpaną,Dutch/English/German,gripe,xrɛɪpə; ɡraifən; ɡraɪp,*grīpanan,3
*kewwanan,*kewwaną,Dutch/English/German,chew,kauən; kɑuʋə; ʧuː,*kewwanan,3
*klembanan,*klembaną,Dutch/English/German,climb,klaɪm; klɪmə; klɪmən,*klembanan,3
*knedanan,*knedaną,Dutch/English/German,knead,kneːdə; kneːtən; niːd,*knedanan,3
*kurnan,*kurną,Dutch/English/German,corn,koːrə; kɔrn; kɔːn,*kurnan,3
*laidjanan,*laidjaną,Dutch/English/German,lead,laitən; liːd; lɛɪdə,*laidjanan,3
*laistjanan,*laistjaną,English/German,last,laistən; lɑːst,*laistjanan,2
*lakanan,*lakaną,Dutch/English/German,laugh,laxən; lɑxə; lɑːf,*lakanan,3
*laubjanan,*laubjaną,Dutch/English/German,believe,bɪliːv; xəloːvə; ɡlaubən,*laubjanan,3
*laθōjanan,*laθōjaną,Dutch/English/German,lade,laːdə; laːdən; leɪd,*laθōjanan,3
*leusanan,*leusaną,Dutch/English/German,forlorn,fəlɔːn; fɛrliːrən; vərliːzə,*leusanan,3
*leuxtjanan,*leuxtjaną,Dutch/English/German,light,laɪt; lɔyxtən; lɪxtə,*leuxtjanan,3
*libēnan,*libēną,Dutch/English/German,live,laɪv; leːbən; leːvə,*libēnan,3
*likkōjanan,*likkōjaną,Dutch/English/German,lick,lɛkən; lɪk; lɪkə,*likkōjanan,3
*liznōjanan,*liznōjaną,English/German,learn,lɛrnən; lɜːn,*liznōjanan,2
*lētanan,*lētaną,Dutch/English/German,let,lasən; laːtə; lɛt,*lētanan,3
*līnan,*līną,Dutch/English/German,line,lainə; laɪn; lɛɪn,*līnan,3
*mainjanan,*mainjaną,Dutch/English/German,mean,mainən; meːnə; miːn,*mainjanan,3
*makōjanan,*makōjaną,Dutch/English/German,make,maxən; maːkə; meɪk,*makōjanan,3
*regnan,*regną,Dutch/English/German,rain,reɪn; reːɡən; reːɣə,*regnan,3
*rennanan,*rennaną,English/German,run,rɪnən; rʌn,*rennanan,2
*rēdanan,*rēdaną,Dutch/English/German,read,raːdɛn; raːtən; riːd,*rēdanan,3
*rīdanan,*rīdaną,Dutch/English/German,ride,raitən; raɪd; rɛɪdə,*rīdanan,3
*sandjanan,*sandjaną,Dutch/English/German,send,sɛnd; zɛndə; zɛndən,*sandjanan,3
*sangjanan,*sangjaną,Dutch/English/German,singe,sɪnʤ; zɛŋə; zɛŋən,*sangjanan,3
*satjanan,*satjaną,Dutch/English/German,set,sɛt; zɛtə; zɛt͡sən,*satjanan,3
*sengwanan,*sengwaną,Dutch/English/German,sing,sɪŋ; zɪŋə; zɪŋən,*sengwanan,3
*setjanan,*setjaną,Dutch/English/German,sit,sɪt; zɪtə; zɪt͡sən,*setjanan,3
*skawōjanan,*skawōjaną,Dutch/English/German,show,sxɑuʋə; ʃauən; ʃəʊ,*skawōjanan,3
*skeranan,*skeraną,Dutch/English/German,shear,sxeːrə; ʃeːrən; ʃɪər,*skeranan,3
*skeubanan,*skeubaną,Dutch/English/German,shove,sxœyvə; ʃiːbən; ʃʌv,*skeubanan,3
*skīnanan,*skīnaną,Dutch/English/German,shine,sxɛɪnə; ʃainən; ʃaɪn,*skīnanan,3
*slaxanan,*slaxaną,Dutch/English/German,slay,slaːn; sleɪ; ʃlaːɡən,*slaxanan,3
*slēpanan,*slēpaną,Dutch/English/German,sleep,slaːpə; sliːp; ʃlaːfən,*slēpanan,3
*smerwjanan,*smerwjaną,Dutch/English/German,smear,smeːrə; smɪər; ʃmiːrən,*smerwjanan,3
*spannanan,*spannaną,Dutch/English/German,span,spæn; spɑnə; ʃpanən,*spannanan,3
*sparēnan,*sparēną,Dutch/English/German,spare,spaːrə; spɛər; ʃpaːrən,*sparēnan,3
*spennanan,*spennaną,Dutch/English/German,spin,spɪn; spɪnə; ʃpɪnən,*spennanan,3
*spraidjanan,*spraidjaną,Dutch/English/German,spread,sprɛd; sprɛɪdə; ʃpraitən,*spraidjanan,3
*stelanan,*stelaną,Dutch/English/German,steal,steːlə; stiːl; ʃteːlən,*stelanan,3
*stelljanan,*stelljaną,Dutch/English/German,still,stɪl; stɪlə; ʃtɪlən,*stelljanan,3
*sterbanan,*sterbaną,Dutch/English/German,starve,stɑːv; stɛrvə; ʃtɛrbən,*sterbanan,3
